input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m10000_f1_no1.utv,1000,10000,2,0.026256,0.379578,0.002759,0.001220,0.409813,0.39,0.01,3044
input/test_n1000_m10000_f1_no2.utv,1000,10000,2,0.025647,0.382313,0.002567,0.000346,0.410873,0.40,0.00,3028
input/test_n1000_m10000_f1_no3.utv,1000,10000,2,0.025545,0.382546,0.002465,0.000391,0.410947,0.40,0.01,3028
input/test_n1000_m20000_f1_no1.utv,1000,20000,1,0.053304,0.791445,0.004566,0.001985,0.851300,0.82,0.03,4700
input/test_n1000_m20000_f1_no2.utv,1000,20000,1,0.052575,0.774062,0.004449,0.002135,0.833221,0.82,0.01,4720
input/test_n1000_m20000_f1_no3.utv,1000,20000,2,0.050847,0.766762,0.003693,0.000530,0.821832,0.80,0.02,4636
input/test_n1000_m30000_f1_no1.utv,1000,30000,2,0.079902,1.581782,0.006257,0.000724,1.668665,1.64,0.02,6116
input/test_n1000_m30000_f1_no2.utv,1000,30000,1,0.079236,1.351719,0.007753,0.003802,1.442510,1.41,0.03,6280
input/test_n1000_m30000_f1_no3.utv,1000,30000,1,0.081219,1.529986,0.008414,0.004127,1.623746,1.59,0.03,6212
input/test_n1000_m40000_f1_no1.utv,1000,40000,1,0.110922,4.394977,0.016798,0.007168,4.529865,4.50,0.03,7820
input/test_n1000_m40000_f1_no2.utv,1000,40000,1,0.109162,4.150268,0.017424,0.007396,4.284250,4.25,0.03,7880
input/test_n1000_m40000_f1_no3.utv,1000,40000,1,0.109918,4.242672,0.017746,0.007654,4.377990,4.34,0.04,7816
input/test_n1000_m50000_f1_no1.utv,1000,50000,2,0.145084,9.907100,0.021587,0.000859,10.074630,10.04,0.04,9312
input/test_n1000_m50000_f1_no2.utv,1000,50000,1,0.141015,9.756614,0.032072,0.013217,9.942918,9.89,0.05,9352
input/test_n1000_m50000_f1_no3.utv,1000,50000,1,0.140868,9.857128,0.033551,0.013291,10.044838,10.01,0.03,9332
input/test_n1000_m60000_f1_no1.utv,1000,60000,1,0.171638,13.989162,0.048421,0.019701,14.228922,14.17,0.06,10944
input/test_n1000_m60000_f1_no2.utv,1000,60000,2,0.172384,14.367564,0.031692,0.000836,14.572476,14.52,0.04,10820
input/test_n1000_m60000_f1_no3.utv,1000,60000,2,0.175382,14.048747,0.031416,0.000900,14.256445,14.22,0.04,10848
input/test_n1000_m70000_f1_no1.utv,1000,70000,2,0.203264,17.382276,0.040708,0.000899,17.627147,17.56,0.06,12384
input/test_n1000_m70000_f1_no2.utv,1000,70000,1,0.204214,17.396302,0.066005,0.025513,17.692034,17.62,0.08,12500
input/test_n1000_m70000_f1_no3.utv,1000,70000,1,0.201981,17.466928,0.064931,0.025577,17.759417,17.70,0.06,12488
input/test_n1000_m80000_f1_no1.utv,1000,80000,1,0.229434,20.151302,0.079785,0.031627,20.492148,20.44,0.05,14120
input/test_n1000_m80000_f1_no2.utv,1000,80000,2,0.235382,20.125745,0.050450,0.000859,20.412436,20.34,0.07,13972
input/test_n1000_m80000_f1_no3.utv,1000,80000,2,0.231054,20.176600,0.050236,0.001860,20.459750,20.39,0.07,13940
input/test_n1000_m90000_f1_no1.utv,1000,90000,2,0.265934,22.738218,0.059452,0.000854,23.064458,23.00,0.06,15528
input/test_n1000_m90000_f1_no2.utv,1000,90000,1,0.264908,22.731810,0.094474,0.037497,23.128689,23.07,0.06,15588
input/test_n1000_m90000_f1_no3.utv,1000,90000,1,0.266532,22.709131,0.094035,0.037276,23.106974,23.02,0.09,15628
input/test_n1000_m100000_f1_no1.utv,1000,100000,1,0.305817,25.212510,0.109656,0.043412,25.671395,25.58,0.09,17164
input/test_n1000_m100000_f1_no2.utv,1000,100000,1,0.292710,25.322903,0.108839,0.043517,25.767969,25.70,0.07,17192
input/test_n1000_m100000_f1_no3.utv,1000,100000,2,0.289849,25.349069,0.068365,0.000881,25.708164,25.63,0.08,17064
input/test_n1000_m110000_f1_no1.utv,1000,110000,2,0.323269,27.837003,0.077293,0.000968,28.238533,28.16,0.08,18632
input/test_n1000_m110000_f1_no2.utv,1000,110000,1,0.320468,27.889238,0.124271,0.048983,28.382960,28.29,0.09,18712
input/test_n1000_m110000_f1_no3.utv,1000,110000,1,0.330672,27.941285,0.123726,0.049312,28.444995,28.35,0.09,18816
input/test_n1000_m120000_f1_no1.utv,1000,120000,1,0.350997,30.441352,0.138730,0.055075,30.986154,30.89,0.09,20372
input/test_n1000_m120000_f1_no2.utv,1000,120000,1,0.355979,30.531355,0.140023,0.055333,31.082690,30.97,0.11,20300
input/test_n1000_m120000_f1_no3.utv,1000,120000,2,0.350720,30.577250,0.086345,0.000773,31.015088,30.91,0.10,20212
input/test_n1000_m130000_f1_no1.utv,1000,130000,1,0.386180,32.939132,0.152174,0.060994,33.538480,33.40,0.14,21860
input/test_n1000_m130000_f1_no2.utv,1000,130000,2,0.386802,32.982051,0.094620,0.000845,33.464318,33.34,0.13,21784
