input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m100000_f1_no1.utv,1000,100000,1,0.131459906,8.925763899,0.017592099,0.016011462,9.090827366,9.02,0.04,15952
input/test_n1000_m100000_f1_no2.utv,1000,100000,1,0.128510657,8.986122365,0.017703600,0.016061545,9.148398167,9.08,0.04,15972
input/test_n1000_m100000_f1_no3.utv,1000,100000,2,0.126909934,8.930963849,10.542667207,0.021058897,19.621599887,19.51,0.09,104268
input/test_n2000_m100000_f1_no1.utv,2000,100000,2,0.125375186,18.004080910,24.993872976,0.021160712,43.144489784,42.90,0.23,385768
input/test_n2000_m100000_f1_no2.utv,2000,100000,2,0.174647402,18.022889667,24.933561411,0.020587195,43.151685675,42.88,0.21,385764
input/test_n2000_m100000_f1_no3.utv,2000,100000,1,0.155647162,17.914687081,0.019302421,0.015796669,18.105433333,18.02,0.04,16264
input/test_n3000_m100000_f1_no1.utv,3000,100000,2,0.128376451,27.110200708,43.030735477,0.011674154,70.280986790,69.90,0.38,854852
input/test_n3000_m100000_f1_no2.utv,3000,100000,2,0.138921522,27.540296340,43.765473746,0.011678934,71.456370542,71.05,0.39,854852
input/test_n3000_m100000_f1_no3.utv,3000,100000,2,0.133103799,27.217366461,43.102785606,0.011630026,70.464885892,70.06,0.40,854848
input/test_n4000_m100000_f1_no1.utv,4000,100000,1,0.129086334,36.640990642,0.019011646,0.006446020,36.795534642,36.75,0.03,16724
input/test_n4000_m100000_f1_no2.utv,4000,100000,2,0.130824036,36.539181552,65.548354732,0.011949878,102.230310198,101.57,0.66,1511288
input/test_n4000_m100000_f1_no3.utv,4000,100000,1,0.131924823,36.667706350,0.018820889,0.006539848,36.824991910,36.76,0.05,16732
input/test_n5000_m100000_f1_no1.utv,5000,100000,2,0.125199671,46.043739510,92.557727778,0.011689996,138.738356955,137.66,1.11,2355356
input/test_n5000_m100000_f1_no2.utv,5000,100000,2,0.126878037,46.266411694,92.316884078,0.011742702,138.721916511,137.72,1.03,2355276
input/test_n5000_m100000_f1_no3.utv,5000,100000,1,0.127800330,45.964298865,0.019813686,0.006502293,46.118415174,46.08,0.03,17020
input/test_n6000_m100000_f1_no1.utv,6000,100000,1,0.130587123,55.428821435,0.020784211,0.006981005,55.587173774,55.54,0.03,17288
input/test_n6000_m100000_f1_no2.utv,6000,100000,2,0.130928819,55.191283560,123.199818567,0.011701383,178.533732329,177.09,1.47,3386844
input/test_n6000_m100000_f1_no3.utv,6000,100000,2,0.124958997,55.600891056,123.575723214,0.011705402,179.313278669,177.92,1.44,3386832
input/test_n7000_m100000_f1_no1.utv,7000,100000,1,0.127947990,64.489509113,0.021659449,0.007190822,64.646307374,64.60,0.04,17532
input/test_n7000_m100000_f1_no2.utv,7000,100000,1,0.129448651,65.468061817,0.021778533,0.007030984,65.626319985,65.58,0.04,17568
input/test_n7000_m100000_f1_no3.utv,7000,100000,1,0.130305490,64.600396896,0.021689709,0.007171470,64.759563565,64.71,0.05,17548
input/test_n8000_m100000_f1_no1.utv,8000,100000,2,0.132025133,73.600757627,198.294536383,0.009866792,272.037185935,269.48,2.62,6012312
input/test_n8000_m100000_f1_no2.utv,8000,100000,1,0.132735915,52.497251605,0.020748028,0.004778481,52.655514029,52.60,0.04,17772
input/test_n8000_m100000_f1_no3.utv,8000,100000,2,0.134601948,74.299403817,200.078467305,0.011797028,274.524270098,271.89,2.70,6012220
input/test_n9000_m100000_f1_no1.utv,9000,100000,1,0.129155054,82.665334788,0.022977826,0.007403237,82.824870905,82.78,0.05,17808
input/test_n9000_m100000_f1_no2.utv,9000,100000,1,0.128017819,84.332880774,0.023931303,0.007701902,84.492531798,84.45,0.05,18096
input/test_n9000_m100000_f1_no3.utv,9000,100000,1,0.129787254,82.626633482,0.023884373,0.007435860,82.787740969,82.74,0.05,18004
input/test_n10000_m100000_f1_no1.utv,10000,100000,1,0.128589771,91.134364781,0.024404313,0.007569295,91.294928160,91.25,0.05,18268
input/test_n10000_m100000_f1_no2.utv,10000,100000,2,0.131481003,92.184885274,292.987854073,0.011866799,385.316087149,381.39,4.03,9387724
input/test_n10000_m100000_f1_no3.utv,10000,100000,1,0.128058860,91.316947429,0.024497172,0.007585034,91.477088495,91.44,0.04,18288
input/test_n11000_m100000_f1_no1.utv,11000,100000,1,0.125576573,100.730959934,0.023685355,0.007735721,100.887957583,100.86,0.04,17904
input/test_n11000_m100000_f1_no2.utv,11000,100000,1,0.129963325,99.818854359,0.025142548,0.007917504,99.981877736,99.95,0.04,18456
input/test_n11000_m100000_f1_no3.utv,11000,100000,2,0.166232698,100.561994776,345.913697202,0.011824953,446.653749629,441.78,4.97,11355680
input/test_n12000_m100000_f1_no1.utv,12000,100000,2,0.127465190,110.446526495,403.183254582,0.011917811,513.769164078,508.07,5.86,13505336
input/test_n12000_m100000_f1_no2.utv,12000,100000,1,0.131860110,113.796993176,0.026484526,0.008072267,113.963410079,113.93,0.04,18816
input/test_n12000_m100000_f1_no3.utv,12000,100000,2,0.133586837,109.690992656,400.355650820,0.011875166,510.192105479,504.55,5.79,13508708
input/test_n13000_m100000_f1_no1.utv,13000,100000,1,0.131134011,119.483406901,0.027047443,0.008062310,119.649650665,119.62,0.04,19084
input/test_n13000_m100000_f1_no2.utv,13000,100000,0,0.127725376,119.977907103,0.000041242,0.005707077,120.111380798,120.09,0.04,12204
input/test_n13000_m100000_f1_no3.utv,13000,100000,1,0.130708414,121.708846403,0.027201287,0.008201567,121.874957671,121.86,0.03,19104
input/test_n14000_m100000_f1_no1.utv,14000,100000,1,0.135612347,129.306018125,0.028338600,0.008256392,129.478225464,129.45,0.04,19416
input/test_n14000_m100000_f1_no2.utv,14000,100000,2,0.128671039,128.971654029,523.444667436,0.011997850,652.556990354,644.91,7.85,18363784
input/test_n14000_m100000_f1_no3.utv,14000,100000,1,0.131833354,128.757761054,0.028223823,0.008441420,128.926259651,128.90,0.04,19500
input/test_n15000_m100000_f1_no1.utv,15000,100000,2,0.135218990,137.973756788,591.816089806,0.011955999,729.937021583,721.13,9.03,21054288
input/test_n15000_m100000_f1_no2.utv,15000,100000,1,0.140602292,137.219710631,0.028598566,0.008596120,137.397507609,137.37,0.04,19628
input/test_n15000_m100000_f1_no3.utv,15000,100000,1,0.131581746,135.542509784,0.027761218,0.007077163,135.708929911,135.70,0.03,19776
input/test_n16000_m100000_f1_no1.utv,16000,100000,2,0.146718470,147.600230577,662.630979730,0.011990984,810.389919761,800.62,10.02,23915296
input/test_n16000_m100000_f1_no2.utv,16000,100000,2,0.129745447,148.888203887,663.921819716,0.012069315,812.951838365,802.88,10.33,23931760
input/test_n16000_m100000_f1_no3.utv,16000,100000,2,0.132687322,149.174777763,663.383907999,0.012291996,812.703665080,802.59,10.38,23927272
input/test_n17000_m100000_f1_no1.utv,17000,100000,1,0.133245194,158.772109661,0.030830911,0.009021566,158.945207332,158.93,0.05,20388
input/test_n17000_m100000_f1_no2.utv,17000,100000,2,0.128803925,158.201443771,733.152935503,0.012035536,891.495218735,880.28,11.51,26960176
input/test_n17000_m100000_f1_no3.utv,17000,100000,2,0.129951685,159.463653366,736.229640352,0.012170237,895.835415640,884.57,11.56,26953812
input/test_n18000_m100000_f1_no1.utv,18000,100000,2,0.130105642,169.123629359,791.691786883,0.010312788,960.955834672,948.44,12.79,30138768
input/test_n18000_m100000_f1_no2.utv,18000,100000,1,0.133155515,167.980318300,0.031463197,0.009190659,168.154127671,168.14,0.05,20644
input/test_n18000_m100000_f1_no3.utv,18000,100000,2,0.127958145,168.321527557,805.704027212,0.012182181,974.165695095,961.69,12.80,30115244
input/test_n19000_m100000_f1_no1.utv,19000,100000,2,0.133109622,178.242055048,890.747529199,0.012090490,1069.134784359,1055.23,14.26,33551216
input/test_n19000_m100000_f1_no2.utv,19000,100000,2,0.133255459,177.309422305,890.323606922,0.012088015,1067.778372701,1053.94,14.19,33469696
input/test_n19000_m100000_f1_no3.utv,19000,100000,1,0.151221286,178.658634824,0.032729189,0.009819448,178.852404747,178.80,0.06,21028
input/test_n20000_m100000_f1_no1.utv,20000,100000,2,0.146040376,186.474691431,971.433881930,0.012136114,1158.066749851,1139.61,18.84,36969664
input/test_n20000_m100000_f1_no2.utv,20000,100000,2,0.151502373,186.872921091,902.968002540,0.009995748,1090.002421752,1072.38,17.83,36949180
input/test_n20000_m100000_f1_no3.utv,20000,100000,1,0.142817915,123.758323714,0.031638910,0.007607720,123.940388259,123.90,0.05,21348
