input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m100000_f1_no1.utv,1000,100000,1,0.155678995,2.512222882,0.017359995,0.006725818,2.691987690,2.62,0.04,17340
input/test_n1000_m100000_f1_no2.utv,1000,100000,1,0.147656064,2.505820387,0.017663936,0.006635199,2.677775586,2.62,0.03,17340
input/test_n1000_m100000_f1_no3.utv,1000,100000,2,0.177470120,2.477207083,0.009371808,0.000198423,2.664247434,2.56,0.05,17340
input/test_n2000_m100000_f1_no1.utv,2000,100000,2,0.147841498,5.212690278,0.010552334,0.000187922,5.371272032,5.30,0.04,17480
input/test_n2000_m100000_f1_no2.utv,2000,100000,2,0.154030266,5.172520196,0.010067427,0.000236534,5.336854423,5.26,0.04,17480
input/test_n2000_m100000_f1_no3.utv,2000,100000,1,0.150491676,5.214739030,0.018502463,0.006767888,5.390501057,5.32,0.04,17480
input/test_n3000_m100000_f1_no1.utv,3000,100000,2,0.158067587,7.958482788,0.010540382,0.000278824,8.127369581,8.04,0.06,17620
input/test_n3000_m100000_f1_no2.utv,3000,100000,2,0.155789284,7.969965543,0.010623916,0.000290625,8.136669368,8.06,0.05,17616
input/test_n3000_m100000_f1_no3.utv,3000,100000,2,0.155659525,7.981896470,0.010619745,0.000243393,8.148419133,8.08,0.04,17616
input/test_n4000_m100000_f1_no1.utv,4000,100000,1,0.296956069,10.837326538,0.020184468,0.007053473,11.161520548,10.95,0.04,17760
input/test_n4000_m100000_f1_no2.utv,4000,100000,2,0.155948403,10.765984595,0.011217001,0.000321867,10.933471866,10.86,0.05,17760
input/test_n4000_m100000_f1_no3.utv,4000,100000,1,0.157663309,10.714039167,0.019835798,0.006960130,10.898498404,10.83,0.04,17756
input/test_n5000_m100000_f1_no1.utv,5000,100000,2,0.154469719,13.492408468,0.011919158,0.000300896,13.659098241,13.58,0.06,17900
input/test_n5000_m100000_f1_no2.utv,5000,100000,2,0.163228071,13.594570776,0.011822698,0.000309676,13.769931221,13.68,0.06,17896
input/test_n5000_m100000_f1_no3.utv,5000,100000,1,0.379049589,13.560374559,0.020674890,0.007114661,13.967213699,13.67,0.04,17896
