input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m10000_f0_no1.utv,1000,10000,0,0,2,10,0.037674140,0.000582555,0.000052108,0.000684746,0.038993549,0.00,0.00,2516
input/test_n1000_m10000_f0_no2.utv,1000,10000,0,0,2,7,0.032484025,0.000668734,0.000054531,0.000808493,0.034015783,0.00,0.00,2516
input/test_n1000_m10000_f0_no3.utv,1000,10000,0,0,1,5,0.042971375,0.000454624,0.000052355,0.000732325,0.044210679,0.01,0.00,2516
input/test_n1000_m20000_f0_no1.utv,1000,20000,0,0,1,20,0.052386197,0.000805171,0.000053218,0.001356923,0.054601509,0.02,0.01,4300
input/test_n1000_m20000_f0_no2.utv,1000,20000,0,0,1,5,0.048116332,0.000775237,0.000045807,0.001076108,0.050013484,0.02,0.00,4304
input/test_n1000_m20000_f0_no3.utv,1000,20000,0,0,3,28,0.071051004,0.001623811,0.000053238,0.001177378,0.073905431,0.02,0.01,4304
input/test_n1000_m30000_f0_no1.utv,1000,30000,0,0,1,12,0.080618719,0.001212475,0.000048352,0.004122728,0.086002274,0.03,0.01,6084
input/test_n1000_m30000_f0_no2.utv,1000,30000,0,0,1,24,0.072438866,0.001084219,0.000038242,0.001689163,0.075250490,0.03,0.01,6088
input/test_n1000_m30000_f0_no3.utv,1000,30000,0,0,1,11,0.072150481,0.001062613,0.000034162,0.001596317,0.074843573,0.02,0.02,6088
input/test_n1000_m40000_f0_no1.utv,1000,40000,0,0,1,30,0.073243536,0.001441024,0.000046288,0.002265250,0.076996098,0.03,0.02,7872
input/test_n1000_m40000_f0_no2.utv,1000,40000,0,0,2,17,0.079059791,0.002308276,0.000049927,0.002261842,0.083679836,0.04,0.02,7872
input/test_n1000_m40000_f0_no3.utv,1000,40000,0,0,1,10,0.074666182,0.001573512,0.000047297,0.002204745,0.078491736,0.04,0.01,7868
input/test_n1000_m50000_f0_no1.utv,1000,50000,0,0,1,33,0.089543405,0.001846940,0.000049373,0.002918647,0.094358365,0.05,0.02,9556
input/test_n1000_m50000_f0_no2.utv,1000,50000,0,0,2,24,0.084133141,0.002798642,0.000048971,0.002882320,0.089863074,0.04,0.03,9560
input/test_n1000_m50000_f0_no3.utv,1000,50000,0,0,1,6,0.088531518,0.001847278,0.000033784,0.002820020,0.093232600,0.04,0.02,9560
input/test_n1000_m60000_f0_no1.utv,1000,60000,0,0,1,20,0.102174570,0.002478752,0.000051458,0.004959344,0.109664124,0.06,0.02,11120
input/test_n1000_m60000_f0_no2.utv,1000,60000,0,0,1,7,0.105561014,0.002470006,0.000046227,0.004310685,0.112387932,0.05,0.03,11124
