input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m100000_f2_no1.utv,1000,100000,2,0,9,0,0.185192147,0.022751189,0.022490511,0.000815719,0.231249566,0.14,0.06,17372
input/test_n1000_m100000_f2_no2.utv,1000,100000,2,0,6,0,0.175807614,0.020671263,0.032853597,0.000966593,0.230299067,0.15,0.05,17372
input/test_n1000_m100000_f2_no3.utv,1000,100000,2,0,6,0,0.173042531,0.015070587,0.025817541,0.000763025,0.214693684,0.14,0.04,17372
input/test_n2000_m100000_f2_no1.utv,2000,100000,2,0,9,0,0.180575526,0.036250998,0.033904232,0.000378220,0.251108976,0.16,0.06,17536
input/test_n2000_m100000_f2_no2.utv,2000,100000,2,0,8,0,0.201664551,0.026392878,0.025703272,0.000283512,0.254044213,0.15,0.05,17536
input/test_n2000_m100000_f2_no3.utv,2000,100000,2,0,10,0,0.165574576,0.031885423,0.026111623,0.000367703,0.223939325,0.16,0.04,17536
input/test_n3000_m100000_f2_no1.utv,3000,100000,2,0,9,0,0.170754946,0.030607039,0.025574280,0.000407835,0.227344100,0.15,0.05,17712
input/test_n3000_m100000_f2_no2.utv,3000,100000,2,0,12,0,0.171358170,0.037014170,0.026494171,0.000403646,0.235270157,0.16,0.04,17712
input/test_n3000_m100000_f2_no3.utv,3000,100000,2,0,9,0,0.174843390,0.030150484,0.026157638,0.000384487,0.231535999,0.16,0.04,17712
input/test_n4000_m100000_f2_no1.utv,4000,100000,2,0,18,0,0.168848769,0.053287848,0.028655825,0.000381917,0.251174359,0.17,0.05,17884
input/test_n4000_m100000_f2_no2.utv,4000,100000,2,0,10,0,0.172257855,0.020562370,0.013004106,0.000349626,0.206173957,0.12,0.05,17884
input/test_n4000_m100000_f2_no3.utv,4000,100000,2,0,12,0,0.179659505,0.026468380,0.012807716,0.000423340,0.219358941,0.13,0.06,17884
input/test_n5000_m100000_f2_no1.utv,5000,100000,2,0,13,0,0.265202452,0.026360838,0.016771067,0.000336199,0.308670556,0.13,0.05,18056
input/test_n5000_m100000_f2_no2.utv,5000,100000,2,0,9,0,0.151420466,0.017937465,0.011852220,0.000384490,0.181594641,0.10,0.05,18056
input/test_n5000_m100000_f2_no3.utv,5000,100000,2,0,10,0,0.145412857,0.019861630,0.011907472,0.000379891,0.177561850,0.11,0.04,18056
input/test_n6000_m100000_f2_no1.utv,6000,100000,2,0,12,0,0.146358967,0.023599865,0.012709196,0.000413012,0.183081040,0.12,0.04,18228
input/test_n6000_m100000_f2_no2.utv,6000,100000,2,0,13,0,0.141213836,0.024931811,0.012580103,0.000483321,0.179209071,0.12,0.04,18228
input/test_n6000_m100000_f2_no3.utv,6000,100000,2,0,17,0,0.141715234,0.031670028,0.012656480,0.000419897,0.186461639,0.12,0.04,18228
input/test_n7000_m100000_f2_no1.utv,7000,100000,0,0,26,31,0.149705966,0.044009639,0.000037992,0.007133840,0.200887437,0.12,0.04,18400
input/test_n7000_m100000_f2_no2.utv,7000,100000,2,0,18,0,0.144998973,0.033923561,0.013702044,0.000428350,0.193052928,0.13,0.04,18400
input/test_n7000_m100000_f2_no3.utv,7000,100000,2,0,15,0,0.147658638,0.028878192,0.013933562,0.000362721,0.190833113,0.12,0.04,18400
input/test_n8000_m100000_f2_no1.utv,8000,100000,2,0,19,0,0.142257318,0.036016862,0.015956050,0.000421348,0.194651578,0.13,0.04,18568
input/test_n8000_m100000_f2_no2.utv,8000,100000,2,0,14,0,0.144625580,0.027802697,0.015723113,0.000418344,0.188569734,0.11,0.05,18572
input/test_n8000_m100000_f2_no3.utv,8000,100000,2,0,16,0,0.142990689,0.030852515,0.015223010,0.000477404,0.189543618,0.13,0.04,18572
input/test_n9000_m100000_f2_no1.utv,9000,100000,2,0,20,0,0.144638637,0.038057341,0.018969082,0.000530389,0.202195449,0.13,0.04,18744
