input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m10000_f2_no1.utv,1000,10000,2,0,17,0,0.030848776,0.006841107,2.272084096,0.001641016,2.311414995,2.23,0.05,95808
input/test_n1000_m10000_f2_no2.utv,1000,10000,2,0,13,0,0.032715264,0.004949789,2.265445020,0.001800705,2.304910778,2.22,0.05,95812
input/test_n1000_m10000_f2_no3.utv,1000,10000,2,0,12,0,0.031964512,0.005194258,2.256341329,0.001630612,2.295130711,2.23,0.04,95808
input/test_n1000_m20000_f2_no1.utv,1000,20000,2,0,13,0,0.040830128,0.010437847,3.183038401,0.003131612,3.237437988,3.15,0.05,96772
input/test_n1000_m20000_f2_no2.utv,1000,20000,2,0,10,0,0.041183913,0.008370104,3.209735550,0.003197655,3.262487222,3.18,0.05,96768
input/test_n1000_m20000_f2_no3.utv,1000,20000,2,0,9,0,0.039420732,0.008129735,2.992805163,0.003255877,3.043611507,2.96,0.05,96772
input/test_n1000_m30000_f2_no1.utv,1000,30000,2,0,8,0,0.054304402,0.012872501,4.577572959,0.007620773,4.652370635,4.56,0.06,97712
input/test_n1000_m30000_f2_no2.utv,1000,30000,2,0,8,0,0.046871779,0.013167978,4.349613201,0.005308290,4.414961248,4.33,0.06,97712
input/test_n1000_m30000_f2_no3.utv,1000,30000,2,0,12,0,0.052543177,0.017596667,4.459960261,0.005282430,4.535382535,4.43,0.08,97712
input/test_n1000_m40000_f2_no1.utv,1000,40000,2,0,8,0,0.059860051,0.033800895,5.551552969,0.007350565,5.652564480,5.56,0.07,98656
input/test_n1000_m40000_f2_no2.utv,1000,40000,2,0,13,0,0.061970591,0.025235612,6.055890848,0.011536993,6.154634044,6.07,0.06,98652
input/test_n1000_m40000_f2_no3.utv,1000,40000,2,0,7,0,0.062567208,0.016660150,5.365886756,0.007281220,5.452395334,5.37,0.05,98656
input/test_n1000_m50000_f2_no1.utv,1000,50000,2,0,7,0,0.076600353,0.020385464,7.271381883,0.009500305,7.377868005,7.28,0.06,99592
input/test_n1000_m50000_f2_no2.utv,1000,50000,2,0,6,0,0.075242029,0.017947304,6.460012246,0.017297768,6.570499347,6.48,0.06,99596
