input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m100000_f2_no1.utv,1000,100000,2,0,9,0,0.157340769,0.049793865,10.412423923,0.015020717,10.634579274,10.53,0.06,15972
input/test_n1000_m100000_f2_no2.utv,1000,100000,2,0,7,0,0.141006504,0.040388843,10.349139678,0.014952137,10.545487162,10.46,0.05,15996
input/test_n1000_m100000_f2_no3.utv,1000,100000,2,0,6,0,0.187898305,0.036408232,10.401844942,0.014941774,10.641093253,10.51,0.05,15956
input/test_n2000_m100000_f2_no1.utv,2000,100000,2,0,8,0,0.152622935,0.045671595,24.362854554,0.015006293,24.576155377,24.48,0.06,16384
input/test_n2000_m100000_f2_no2.utv,2000,100000,2,0,8,0,0.143886302,0.045221903,24.205243050,0.014978136,24.409329391,24.34,0.05,16304
input/test_n2000_m100000_f2_no3.utv,2000,100000,2,0,9,0,0.133237361,0.050147282,24.210533947,0.015246202,24.409164792,24.34,0.04,16240
input/test_n3000_m100000_f2_no1.utv,3000,100000,2,0,9,0,0.136700003,0.050081854,41.520420162,0.005239549,41.712441568,41.65,0.04,16688
input/test_n3000_m100000_f2_no2.utv,3000,100000,2,0,11,0,0.144545701,0.058941588,41.602927789,0.005488195,41.811903273,41.73,0.06,16644
input/test_n3000_m100000_f2_no3.utv,3000,100000,2,0,9,0,0.136947834,0.050259800,41.516842182,0.005221915,41.709271731,41.64,0.05,16628
input/test_n4000_m100000_f2_no1.utv,4000,100000,2,0,20,0,0.145374161,0.100692747,63.724455684,0.005576918,63.976099510,63.90,0.05,17084
input/test_n4000_m100000_f2_no2.utv,4000,100000,2,0,11,0,0.142277696,0.059436108,63.032448021,0.005849566,63.240011391,63.17,0.05,16932
input/test_n4000_m100000_f2_no3.utv,4000,100000,2,0,13,0,0.134369626,0.068458719,63.066554631,0.005595946,63.274978922,63.22,0.04,16996
input/test_n5000_m100000_f2_no1.utv,5000,100000,2,0,14,0,0.146496840,0.073032450,88.591256849,0.005714557,88.816500696,88.75,0.06,17324
input/test_n5000_m100000_f2_no2.utv,5000,100000,2,0,12,0,0.142365197,0.064274764,88.502470809,0.005653280,88.714764050,88.66,0.05,17304
input/test_n5000_m100000_f2_no3.utv,5000,100000,2,0,11,0,0.148564778,0.060267359,88.045768801,0.005661335,88.260262273,88.20,0.06,17236
input/test_n6000_m100000_f2_no1.utv,6000,100000,2,0,12,0,0.147591661,0.064470491,116.818656755,0.005706195,117.036425102,116.97,0.05,17528
input/test_n6000_m100000_f2_no2.utv,6000,100000,2,0,14,0,0.134262711,0.074038916,118.668946163,0.005881132,118.883128922,118.84,0.04,17628
input/test_n6000_m100000_f2_no3.utv,6000,100000,2,0,16,0,0.132666895,0.082965733,117.985430612,0.005742878,118.206806118,118.15,0.05,17596
input/test_n7000_m100000_f2_no1.utv,7000,100000,0,0,18,33,0.369156282,0.087663081,0.000026510,0.005246042,0.462091915,0.15,0.06,11744
input/test_n7000_m100000_f2_no2.utv,7000,100000,2,0,18,0,0.150850548,0.092649937,137.320758344,0.004114630,137.568373459,137.51,0.06,17908
input/test_n7000_m100000_f2_no3.utv,7000,100000,2,0,16,0,0.151563213,0.083632858,152.363741977,0.005729725,152.604667773,152.56,0.06,17908
input/test_n8000_m100000_f2_no1.utv,8000,100000,2,0,19,0,0.139726752,0.096881494,188.384218504,0.005721276,188.626548026,188.57,0.06,18208
input/test_n8000_m100000_f2_no2.utv,8000,100000,2,0,16,0,0.146235831,0.083486383,187.852989534,0.005743671,188.088455419,188.06,0.04,18204
input/test_n8000_m100000_f2_no3.utv,8000,100000,2,0,19,0,0.133194974,0.098518703,189.549195822,0.006032457,189.786941956,189.73,0.06,18264
input/test_n9000_m100000_f2_no1.utv,9000,100000,2,0,18,0,0.141020622,0.092655003,230.749169154,0.005796945,230.988641724,230.96,0.05,18452
input/test_n9000_m100000_f2_no2.utv,9000,100000,2,0,16,0,0.157133358,0.084003455,230.105530466,0.005813368,230.352480647,230.32,0.06,18408
input/test_n9000_m100000_f2_no3.utv,9000,100000,2,0,19,0,0.138999120,0.097102139,230.654077155,0.005840207,230.896018621,230.87,0.06,18364
input/test_n10000_m100000_f2_no1.utv,10000,100000,2,0,20,0,0.144612408,0.103742924,276.307370149,0.007780147,276.563505628,276.54,0.06,18744
input/test_n10000_m100000_f2_no2.utv,10000,100000,2,0,29,0,0.156941830,0.144597992,277.206810178,0.005827722,277.514177722,277.48,0.08,18756
input/test_n10000_m100000_f2_no3.utv,10000,100000,2,0,18,0,0.146110634,0.092596369,273.818999506,0.005839213,274.063545722,274.04,0.05,18680
input/test_n11000_m100000_f2_no1.utv,11000,100000,2,0,23,0,0.182057331,0.116315024,325.508756959,0.005892565,325.813021879,325.79,0.06,19036
input/test_n11000_m100000_f2_no2.utv,11000,100000,2,0,18,0,0.144161840,0.093121887,324.274171963,0.005865377,324.517321067,324.52,0.05,18960
input/test_n11000_m100000_f2_no3.utv,11000,100000,2,0,19,0,0.142782480,0.097689873,322.236977075,0.005873773,322.483323201,322.48,0.06,19036
input/test_n12000_m100000_f2_no1.utv,12000,100000,2,0,22,0,0.150308363,0.110436419,377.562905479,0.013537123,377.837187384,377.85,0.05,19364
input/test_n12000_m100000_f2_no2.utv,12000,100000,2,0,24,0,0.134497771,0.121256765,378.628323093,0.005975511,378.890053140,378.91,0.05,19452
input/test_n12000_m100000_f2_no3.utv,12000,100000,2,0,26,0,0.146594108,0.130184137,379.823817652,0.005887738,380.106483635,380.12,0.05,19468
input/test_n13000_m100000_f2_no1.utv,13000,100000,2,0,20,0,0.187543014,0.101098099,436.500836119,0.006152467,436.795629699,436.78,0.06,19632
input/test_n13000_m100000_f2_no2.utv,13000,100000,2,0,23,0,0.145640711,0.115480296,428.152146270,0.004313214,428.417580491,428.44,0.05,19684
input/test_n13000_m100000_f2_no3.utv,13000,100000,2,0,28,0,0.141551114,0.138759949,434.602773883,0.006108137,434.889193083,434.92,0.06,19696
input/test_n14000_m100000_f2_no1.utv,14000,100000,2,0,27,0,0.140065592,0.132527147,495.216255989,0.006006740,495.494855468,495.53,0.06,20048
input/test_n14000_m100000_f2_no2.utv,14000,100000,2,0,24,0,0.146234012,0.118919106,495.087547940,0.006051544,495.358752602,495.39,0.06,19992
input/test_n14000_m100000_f2_no3.utv,14000,100000,2,0,19,0,0.322905780,0.097393982,493.091371929,0.006100741,493.517772432,493.30,0.09,19972
input/test_n15000_m100000_f2_no1.utv,15000,100000,2,0,27,0,0.146253603,0.133858862,560.201467004,0.006140272,560.487719741,560.54,0.07,20432
input/test_n15000_m100000_f2_no2.utv,15000,100000,2,0,29,0,0.157717705,0.140812849,559.497535529,0.006159856,559.802225939,559.84,0.07,20424
input/test_n15000_m100000_f2_no3.utv,15000,100000,2,0,26,0,0.157305034,0.128081138,556.240405642,0.006065054,556.531856868,556.56,0.08,20388
input/test_n16000_m100000_f2_no1.utv,16000,100000,2,0,31,0,0.146777373,0.153231142,627.672893098,0.016037989,627.988939602,628.00,0.06,20792
input/test_n16000_m100000_f2_no2.utv,16000,100000,2,0,25,0,0.138574462,0.124703437,625.753999093,0.006271946,626.023548938,626.11,0.05,20760
input/test_n16000_m100000_f2_no3.utv,16000,100000,2,0,25,0,0.132683751,0.121368925,574.218204603,0.004893954,574.477151233,574.56,0.03,20720
input/test_n17000_m100000_f2_no1.utv,17000,100000,2,0,25,0,0.130398412,0.120350708,689.250584079,0.006456682,689.507789881,689.61,0.05,21112
input/test_n17000_m100000_f2_no2.utv,17000,100000,2,0,26,0,0.131008298,0.126321419,689.483371166,0.006170691,689.746871574,689.86,0.04,21072
input/test_n17000_m100000_f2_no3.utv,17000,100000,2,0,29,0,0.132010183,0.139130031,692.816345633,0.006248578,693.093734425,693.20,0.04,21128
input/test_n18000_m100000_f2_no1.utv,18000,100000,2,0,38,0,0.135150404,0.177531857,768.143905439,0.006163529,768.462751229,768.59,0.04,21544
input/test_n18000_m100000_f2_no2.utv,18000,100000,2,0,28,0,0.146491149,0.135193892,759.288038508,0.006328908,759.576052457,759.68,0.05,21504
input/test_n18000_m100000_f2_no3.utv,18000,100000,2,0,26,0,0.139373675,0.125390771,762.455619317,0.006301616,762.726685379,762.86,0.03,21492
input/test_n19000_m100000_f2_no1.utv,19000,100000,2,0,34,0,0.270153686,0.160173136,806.144633019,0.004967435,806.579927276,806.58,0.04,21868
input/test_n19000_m100000_f2_no2.utv,19000,100000,2,0,26,0,0.151857199,0.127990730,845.055454115,0.006461727,845.341763771,845.47,0.05,21924
input/test_n19000_m100000_f2_no3.utv,19000,100000,2,0,30,0,0.291108748,0.141233171,831.905790840,0.006336159,832.344468918,832.33,0.04,21844
input/test_n20000_m100000_f2_no1.utv,20000,100000,2,0,31,0,0.134028862,0.147104070,905.884881795,0.006404578,906.172419305,906.34,0.05,22280
input/test_n20000_m100000_f2_no2.utv,20000,100000,2,0,38,0,0.144919325,0.176849123,909.382340657,0.006483212,909.710592317,909.87,0.04,22320
input/test_n20000_m100000_f2_no3.utv,20000,100000,2,0,37,0,0.142536008,0.175218560,914.716177219,0.006523256,915.040455043,915.20,0.05,22384
