input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m10000_f1_no1.utv,1000,10000,2,0,14,0,0.091332224,0.004838633,2.038836060,0.001269123,2.136276040,2.05,0.00,2504
input/test_n1000_m10000_f1_no2.utv,1000,10000,2,0,14,0,0.028973129,0.004879587,2.058784974,0.000954075,2.093591765,2.06,0.00,2508
input/test_n1000_m10000_f1_no3.utv,1000,10000,2,0,17,0,0.023675041,0.005746600,2.061531357,0.000964251,2.091917249,2.07,0.00,2520
input/test_n1000_m20000_f1_no1.utv,1000,20000,1,0,14,0,0.042189203,0.010213152,0.003636739,0.001821093,0.057860187,0.02,0.01,4008
input/test_n1000_m20000_f1_no2.utv,1000,20000,1,0,12,0,0.039050253,0.008884032,0.003461754,0.001846501,0.053242540,0.02,0.00,3992
input/test_n1000_m20000_f1_no3.utv,1000,20000,2,0,13,0,0.039963972,0.009537792,2.793557218,0.001897157,2.844956139,2.81,0.01,4016
input/test_n1000_m30000_f1_no1.utv,1000,30000,2,0,15,0,0.046373814,0.018335211,3.728336325,0.003260822,3.796306172,3.76,0.01,5544
input/test_n1000_m30000_f1_no2.utv,1000,30000,1,0,8,0,0.047766168,0.010280111,0.005124641,0.003204676,0.066375596,0.03,0.01,5516
input/test_n1000_m30000_f1_no3.utv,1000,30000,1,0,8,0,0.071058182,0.010288656,0.005115427,0.003191101,0.089653366,0.04,0.00,5544
input/test_n1000_m40000_f1_no1.utv,1000,40000,1,0,9,0,0.091500959,0.016004867,0.006898185,0.004679043,0.119083054,0.05,0.01,7024
input/test_n1000_m40000_f1_no2.utv,1000,40000,1,0,6,0,0.063573289,0.011219516,0.006704041,0.004698410,0.086195256,0.04,0.01,7032
input/test_n1000_m40000_f1_no3.utv,1000,40000,1,0,9,0,0.060821523,0.016051193,0.006687131,0.004941340,0.088501187,0.05,0.01,7024
input/test_n1000_m50000_f1_no1.utv,1000,50000,2,0,8,0,0.072051752,0.018593186,5.515304468,0.006360160,5.612309566,5.57,0.02,8460
input/test_n1000_m50000_f1_no2.utv,1000,50000,1,0,7,0,0.072688416,0.016522993,0.008399172,0.006250227,0.103860808,0.06,0.02,8464
input/test_n1000_m50000_f1_no3.utv,1000,50000,1,0,8,0,0.069904224,0.018604093,0.008417431,0.006294058,0.103219806,0.05,0.02,8472
input/test_n1000_m60000_f1_no1.utv,1000,60000,1,0,7,0,0.085529956,0.020499152,0.010391661,0.007954762,0.124375531,0.07,0.02,10048
input/test_n1000_m60000_f1_no2.utv,1000,60000,2,0,9,0,0.080565518,0.025416272,6.473160170,0.007969654,6.587111614,6.54,0.02,9972
input/test_n1000_m60000_f1_no3.utv,1000,60000,2,0,9,0,0.290037613,0.025565915,6.457863888,0.008008804,6.781476220,6.53,0.02,9996
input/test_n1000_m70000_f1_no1.utv,1000,70000,2,0,7,0,0.092872214,0.024155992,7.422309378,0.009740350,7.549077934,7.50,0.02,11496
input/test_n1000_m70000_f1_no2.utv,1000,70000,1,0,6,0,0.093239678,0.021048145,0.011919797,0.009642205,0.135849825,0.08,0.03,11460
input/test_n1000_m70000_f1_no3.utv,1000,70000,1,0,10,0,0.112888964,0.033134818,0.012126457,0.009662009,0.167812248,0.09,0.03,11536
input/test_n1000_m80000_f1_no1.utv,1000,80000,1,0,7,0,0.164521132,0.027959679,0.013658465,0.011582651,0.217721927,0.10,0.03,12924
input/test_n1000_m80000_f1_no2.utv,1000,80000,2,0,7,0,0.238618726,0.027930486,8.381305867,0.011418643,8.659273722,8.46,0.03,12924
input/test_n1000_m80000_f1_no3.utv,1000,80000,2,0,8,0,0.102545423,0.031664063,8.424862273,0.011486580,8.570558339,8.51,0.03,13024
input/test_n1000_m90000_f1_no1.utv,1000,90000,2,0,8,0,0.116446821,0.036097895,9.442256671,0.013277060,9.608078447,9.55,0.03,14492
input/test_n1000_m90000_f1_no2.utv,1000,90000,1,0,7,0,0.247820703,0.032051205,0.015918607,0.013608245,0.309398760,0.11,0.04,14424
input/test_n1000_m90000_f1_no3.utv,1000,90000,1,0,8,0,0.115828479,0.035979142,0.015762529,0.013553663,0.181123813,0.11,0.04,14500
input/test_n1000_m100000_f1_no1.utv,1000,100000,1,0,6,0,0.133853021,0.032108139,0.018120458,0.016826402,0.200908020,0.12,0.04,15996
input/test_n1000_m100000_f1_no2.utv,1000,100000,1,0,7,0,0.138609571,0.036133276,0.017768204,0.016876999,0.209388050,0.12,0.04,16008
input/test_n1000_m100000_f1_no3.utv,1000,100000,2,0,6,0,0.125642315,0.031972199,10.382200517,0.015069353,10.554884384,10.48,0.04,15988
input/test_n1000_m110000_f1_no1.utv,1000,110000,2,0,7,0,0.132143022,0.040197170,11.335297072,0.016779529,11.524416793,11.45,0.05,17416
input/test_n1000_m110000_f1_no2.utv,1000,110000,1,0,7,0,0.131310848,0.040643474,0.019616813,0.018707383,0.210278518,0.14,0.04,17456
input/test_n1000_m110000_f1_no3.utv,1000,110000,1,0,5,0,0.135081689,0.030181169,0.019653176,0.018811526,0.203727560,0.13,0.04,17508
input/test_n1000_m120000_f1_no1.utv,1000,120000,1,0,6,0,0.442347100,0.038992273,0.021957643,0.021137380,0.524434396,0.15,0.05,18976
input/test_n1000_m120000_f1_no2.utv,1000,120000,1,0,7,0,0.359214208,0.044924628,0.021740158,0.021528050,0.447407044,0.16,0.04,18936
input/test_n1000_m120000_f1_no3.utv,1000,120000,2,0,7,0,0.143807008,0.044843963,12.510202324,0.018789712,12.717643007,12.64,0.05,18988
input/test_n1000_m130000_f1_no1.utv,1000,130000,1,0,6,0,0.154936977,0.043161456,0.023847083,0.024509947,0.246455463,0.17,0.05,20508
input/test_n1000_m130000_f1_no2.utv,1000,130000,2,0,6,0,0.155357529,0.043421440,13.619381917,0.020612295,13.838773181,13.75,0.06,20520
input/test_n1000_m130000_f1_no3.utv,1000,130000,1,0,6,0,0.153545664,0.044113143,0.024337625,0.024472489,0.246468921,0.16,0.06,20576
input/test_n1000_m140000_f1_no1.utv,1000,140000,1,0,6,0,0.164516338,0.048211100,0.026121608,0.027687819,0.266536865,0.17,0.07,21980
input/test_n1000_m140000_f1_no2.utv,1000,140000,2,0,5,0,0.168274695,0.041132769,14.719761859,0.022638534,14.951807857,14.85,0.07,21960
input/test_n1000_m140000_f1_no3.utv,1000,140000,2,0,8,0,0.367764006,0.060907142,14.794410427,0.022687429,15.245769004,14.95,0.07,21988
input/test_n1000_m150000_f1_no1.utv,1000,150000,2,0,5,0,0.180622241,0.046399006,16.258711025,0.025020584,16.510752856,16.42,0.07,23388
input/test_n1000_m150000_f1_no2.utv,1000,150000,1,0,6,0,0.221491199,0.052986962,0.028319768,0.031680184,0.334478113,0.19,0.07,23440
input/test_n1000_m150000_f1_no3.utv,1000,150000,1,0,5,0,0.255061978,0.046924457,0.028690603,0.031743666,0.362420704,0.19,0.07,23444
input/test_n1000_m160000_f1_no1.utv,1000,160000,1,0,8,0,0.193875759,0.075703210,0.030970140,0.034842809,0.335391918,0.23,0.07,24920
input/test_n1000_m160000_f1_no2.utv,1000,160000,2,0,5,0,0.191128441,0.051357200,17.784626988,0.027915345,18.055027974,17.97,0.06,24860
input/test_n1000_m160000_f1_no3.utv,1000,160000,2,0,5,0,0.184037042,0.050235401,17.369930595,0.027003475,17.631206513,17.52,0.08,24984
input/test_n1000_m170000_f1_no1.utv,1000,170000,2,0,7,0,0.217996703,0.076633945,19.824417769,0.030586751,20.149635168,20.03,0.09,26556
input/test_n1000_m170000_f1_no2.utv,1000,170000,1,0,6,0,0.222931049,0.064595896,0.033506821,0.037847107,0.358880873,0.24,0.07,26476
input/test_n1000_m170000_f1_no3.utv,1000,170000,1,0,7,0,0.196490865,0.075851236,0.033659956,0.038079218,0.344081275,0.24,0.08,26388
input/test_n1000_m180000_f1_no1.utv,1000,180000,2,0,6,0,0.209303358,0.071833971,21.084593895,0.032968918,21.398700142,21.30,0.08,27956
input/test_n1000_m180000_f1_no2.utv,1000,180000,1,0,6,0,0.220261993,0.074493496,0.036437151,0.041895305,0.373087945,0.25,0.08,27864
input/test_n1000_m180000_f1_no3.utv,1000,180000,1,0,7,0,0.208255666,0.083309420,0.036482575,0.041859166,0.369906827,0.26,0.08,27940
input/test_n1000_m190000_f1_no1.utv,1000,190000,1,0,5,0,0.411444068,0.070611092,0.039959681,0.045508168,0.567523009,0.27,0.07,29448
input/test_n1000_m190000_f1_no2.utv,1000,190000,2,0,4,0,0.312217829,0.059089176,23.213595879,0.028786670,23.613689554,23.42,0.08,29388
input/test_n1000_m190000_f1_no3.utv,1000,190000,2,0,7,0,0.225229946,0.094107854,16.667824388,0.015883871,17.003046059,16.89,0.08,29368
input/test_n1000_m200000_f1_no1.utv,1000,200000,2,0,5,0,0.231449947,0.080310636,15.267359247,0.016580051,15.595699881,15.47,0.09,30944
input/test_n1000_m200000_f1_no2.utv,1000,200000,1,0,6,0,0.461982283,0.092740107,0.043449676,0.049660247,0.647832313,0.29,0.09,30928
input/test_n1000_m200000_f1_no3.utv,1000,200000,2,0,5,0,0.228252737,0.078688123,26.021246850,0.039895328,26.368083038,26.25,0.10,30916
