input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m100000_f1_no1.utv,1000,100000,1,0,6,0,0.204570290,0.032199295,0.018088267,0.016233419,0.271091271,0.12,0.04,15996
input/test_n1000_m100000_f1_no2.utv,1000,100000,1,0,7,0,0.131174484,0.036428728,0.017821255,0.015846257,0.201270724,0.12,0.04,16008
input/test_n1000_m100000_f1_no3.utv,1000,100000,2,0,6,0,0.126827902,0.031977989,10.385225325,0.015083318,10.559114534,10.48,0.05,15988
input/test_n2000_m100000_f1_no1.utv,2000,100000,2,0,12,0,0.129867211,0.059271146,24.359828699,0.015058015,24.564025071,24.50,0.04,16356
input/test_n2000_m100000_f1_no2.utv,2000,100000,2,0,11,0,0.127856940,0.055258885,24.614603491,0.015202229,24.812921545,24.75,0.04,16332
input/test_n2000_m100000_f1_no3.utv,2000,100000,1,0,11,0,0.125594073,0.054948914,0.019247439,0.015712660,0.215503086,0.14,0.04,16352
input/test_n3000_m100000_f1_no1.utv,3000,100000,2,0,11,0,0.128461584,0.056022213,41.845250163,0.005653483,42.035387443,41.98,0.04,16640
input/test_n3000_m100000_f1_no2.utv,3000,100000,2,0,11,0,0.124148755,0.055258187,41.436220194,0.005265356,41.620892492,41.57,0.04,16720
input/test_n3000_m100000_f1_no3.utv,3000,100000,2,0,10,0,0.128677874,0.051042183,41.453830086,0.005262061,41.638812204,41.58,0.04,16660
input/test_n4000_m100000_f1_no1.utv,4000,100000,1,0,12,0,0.125692293,0.060185392,0.018857323,0.006537340,0.211272348,0.14,0.04,16912
input/test_n4000_m100000_f1_no2.utv,4000,100000,2,0,13,0,0.137538932,0.064972751,62.262895690,0.005576216,62.470983589,62.41,0.03,16980
input/test_n4000_m100000_f1_no3.utv,4000,100000,1,0,12,0,0.135713793,0.060045242,0.019190882,0.006208151,0.221158068,0.14,0.04,16916
input/test_n5000_m100000_f1_no1.utv,5000,100000,2,0,15,0,0.123202975,0.074302690,87.366910719,0.005696825,87.570113209,87.53,0.04,17264
input/test_n5000_m100000_f1_no2.utv,5000,100000,2,0,12,0,0.125983299,0.061275555,87.960527470,0.005950253,88.153736577,88.10,0.05,17328
