input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m10000_f2_no1.utv,1000,10000,2,0,17,0,0.013118444,0.002412441,0.001216071,0.000150043,0.016896999,0.00,0.00,2512
input/test_n1000_m10000_f2_no2.utv,1000,10000,2,0,16,0,0.013252967,0.002259948,0.001254886,0.000095601,0.016863402,0.00,0.00,2508
input/test_n1000_m10000_f2_no3.utv,1000,10000,2,0,13,0,0.012932890,0.001882006,0.001220713,0.000095494,0.016131103,0.00,0.00,2512
input/test_n1000_m20000_f2_no1.utv,1000,20000,2,0,13,0,0.025886616,0.003493271,0.001840073,0.000109764,0.031329724,0.02,0.00,4296
input/test_n1000_m20000_f2_no2.utv,1000,20000,2,0,11,0,0.026635214,0.003061179,0.001860494,0.000097769,0.031654656,0.02,0.00,4296
input/test_n1000_m20000_f2_no3.utv,1000,20000,2,0,10,0,0.025314789,0.002752657,0.001849867,0.000106697,0.030024010,0.02,0.00,4292
input/test_n1000_m30000_f2_no1.utv,1000,30000,2,0,10,0,0.042948433,0.004081210,0.002613047,0.000101206,0.049743896,0.03,0.01,6084
input/test_n1000_m30000_f2_no2.utv,1000,30000,2,0,10,0,0.042670840,0.004172347,0.002626283,0.000131601,0.049601071,0.02,0.02,6084
input/test_n1000_m30000_f2_no3.utv,1000,30000,2,0,13,0,0.037955119,0.005152589,0.002605916,0.000115937,0.045829561,0.03,0.01,6084
input/test_n1000_m40000_f2_no1.utv,1000,40000,2,0,9,0,0.053590611,0.004895049,0.003391313,0.000103826,0.061980799,0.03,0.02,7864
input/test_n1000_m40000_f2_no2.utv,1000,40000,2,0,14,0,0.053965634,0.007346579,0.003401150,0.000114698,0.064828061,0.04,0.02,7872
input/test_n1000_m40000_f2_no3.utv,1000,40000,2,0,8,0,0.054818819,0.004415393,0.003416849,0.000145611,0.062796672,0.04,0.01,7868
input/test_n1000_m50000_f2_no1.utv,1000,50000,2,0,9,0,0.063120161,0.006049131,0.004198468,0.000107764,0.073475524,0.04,0.02,9552
input/test_n1000_m50000_f2_no2.utv,1000,50000,2,0,7,0,0.066266578,0.004905213,0.004201064,0.000120857,0.075493712,0.05,0.02,9552
input/test_n1000_m50000_f2_no3.utv,1000,50000,2,0,7,0,0.065639145,0.004803899,0.004217675,0.000124844,0.074785563,0.05,0.02,9552
input/test_n1000_m60000_f2_no1.utv,1000,60000,2,0,8,0,0.079558325,0.006506005,0.005049221,0.000119917,0.091233468,0.05,0.03,11120
