input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m100000_f2_no1.utv,1000,100000,2,0,10,0,0.134582086,0.013772648,0.009553993,0.000184543,0.158093270,0.11,0.04,17368
input/test_n1000_m100000_f2_no2.utv,1000,100000,2,0,7,0,0.144019167,0.010077217,0.009495137,0.000172893,0.163764414,0.11,0.05,17364
input/test_n1000_m100000_f2_no3.utv,1000,100000,2,0,7,0,0.150800779,0.010186067,0.009614219,0.000169471,0.170770536,0.11,0.05,17368
input/test_n2000_m100000_f2_no1.utv,2000,100000,2,0,10,0,0.166815944,0.015049383,0.010166449,0.000205156,0.192236932,0.11,0.05,17536
input/test_n2000_m100000_f2_no2.utv,2000,100000,2,0,9,0,0.152442668,0.013656996,0.010110908,0.000197964,0.176408536,0.11,0.03,17532
input/test_n2000_m100000_f2_no3.utv,2000,100000,2,0,11,0,0.157349919,0.016586314,0.010305599,0.000163241,0.184405073,0.12,0.04,17536
input/test_n3000_m100000_f2_no1.utv,3000,100000,2,0,10,0,0.150022136,0.015531128,0.010789621,0.000197139,0.176540024,0.10,0.05,17708
input/test_n3000_m100000_f2_no2.utv,3000,100000,2,0,13,0,0.162780530,0.019752441,0.010904859,0.000211570,0.193649400,0.11,0.04,17712
input/test_n3000_m100000_f2_no3.utv,3000,100000,2,0,10,0,0.167416320,0.015698324,0.011273186,0.000214627,0.194602457,0.11,0.06,17708
input/test_n4000_m100000_f2_no1.utv,4000,100000,2,0,19,0,0.156597411,0.029375834,0.011544642,0.000250030,0.197767917,0.12,0.05,17880
input/test_n4000_m100000_f2_no2.utv,4000,100000,2,0,11,0,0.156906770,0.017983236,0.011463454,0.000301237,0.186654697,0.11,0.05,17880
input/test_n4000_m100000_f2_no3.utv,4000,100000,2,0,13,0,0.152712223,0.020398966,0.011405967,0.000283206,0.184800362,0.11,0.05,17880
input/test_n5000_m100000_f2_no1.utv,5000,100000,2,0,14,0,0.154667473,0.022754106,0.012216955,0.000278330,0.189916864,0.12,0.04,18052
input/test_n5000_m100000_f2_no2.utv,5000,100000,2,0,10,0,0.176240167,0.016608972,0.012157427,0.000334317,0.205340883,0.10,0.07,18048
input/test_n5000_m100000_f2_no3.utv,5000,100000,2,0,11,0,0.154265196,0.018233158,0.011864331,0.000312099,0.184674784,0.12,0.04,18052
input/test_n6000_m100000_f2_no1.utv,6000,100000,2,0,13,0,0.498409517,0.021749345,0.013024670,0.000365546,0.533549078,0.11,0.04,18224
input/test_n6000_m100000_f2_no2.utv,6000,100000,2,0,14,0,0.160812294,0.023356873,0.012742078,0.000396019,0.197307264,0.12,0.05,18220
input/test_n6000_m100000_f2_no3.utv,6000,100000,2,0,18,0,0.152293784,0.029274900,0.012864032,0.000368652,0.194801368,0.12,0.04,18224
input/test_n7000_m100000_f2_no1.utv,7000,100000,0,0,25,31,0.159093265,0.038765082,0.000034664,0.007258838,0.205151849,0.13,0.04,18392
input/test_n7000_m100000_f2_no2.utv,7000,100000,2,0,19,0,0.163340930,0.032064379,0.013915591,0.000394421,0.209715321,0.12,0.06,18396
input/test_n7000_m100000_f2_no3.utv,7000,100000,2,0,16,0,0.153813845,0.027119222,0.014084184,0.000365864,0.195383115,0.12,0.05,18396
input/test_n8000_m100000_f2_no1.utv,8000,100000,2,0,20,0,0.157103904,0.034157043,0.016395184,0.000411205,0.208067336,0.14,0.04,18568
input/test_n8000_m100000_f2_no2.utv,8000,100000,2,0,15,0,0.147420734,0.025877543,0.015812053,0.000374512,0.189484842,0.12,0.04,18568
input/test_n8000_m100000_f2_no3.utv,8000,100000,2,0,17,0,0.333501125,0.029200706,0.015495978,0.000431271,0.378629080,0.12,0.07,18564
input/test_n9000_m100000_f2_no1.utv,9000,100000,2,0,21,0,0.172027335,0.035429557,0.019090423,0.000420805,0.226968120,0.14,0.06,18740
input/test_n9000_m100000_f2_no2.utv,9000,100000,2,0,18,0,0.155528223,0.030639733,0.018496028,0.000441424,0.205105408,0.13,0.04,18736
input/test_n9000_m100000_f2_no3.utv,9000,100000,2,0,18,0,0.157768040,0.030833448,0.019808509,0.000446666,0.208856663,0.13,0.05,18740
input/test_n10000_m100000_f2_no1.utv,10000,100000,2,0,18,0,0.156345662,0.032269680,0.024810749,0.000485136,0.213911227,0.15,0.03,18908
input/test_n10000_m100000_f2_no2.utv,10000,100000,2,0,29,0,0.159591027,0.050365200,0.025551757,0.000498763,0.236006747,0.16,0.05,18912
input/test_n10000_m100000_f2_no3.utv,10000,100000,2,0,17,0,0.294168420,0.029595522,0.024330295,0.000456318,0.348550555,0.13,0.05,18908
input/test_n11000_m100000_f2_no1.utv,11000,100000,2,0,23,0,0.154028966,0.040828164,0.037009816,0.000517682,0.232384628,0.16,0.04,19084
input/test_n11000_m100000_f2_no2.utv,11000,100000,2,0,20,0,0.147423394,0.035387910,0.035726272,0.000546559,0.219084135,0.15,0.05,19084
input/test_n11000_m100000_f2_no3.utv,11000,100000,2,0,20,0,0.154201564,0.035525871,0.034518954,0.000494568,0.224740957,0.16,0.04,19084
input/test_n12000_m100000_f2_no1.utv,12000,100000,2,0,25,0,0.157547786,0.044162923,0.050388353,0.000551372,0.252650434,0.18,0.04,19256
input/test_n12000_m100000_f2_no2.utv,12000,100000,2,0,23,0,0.154989570,0.041035015,0.045297387,0.000545985,0.241867957,0.16,0.06,19252
