input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kB)
input/test_n1000_m10000_f2_no1.utv,1000,10000,2,0.025244121,0.003829702,2.027209488,0.001020627,2.057303938,2.03,0.00,2440
input/test_n1000_m10000_f2_no2.utv,1000,10000,2,0.035345159,0.003004281,2.028279346,0.000966567,2.067595353,2.04,0.00,2416
input/test_n1000_m10000_f2_no3.utv,1000,10000,2,0.025609412,0.003203223,2.025464758,0.000951779,2.055229172,2.03,0.00,2420
input/test_n1000_m20000_f2_no1.utv,1000,20000,2,0.039395213,0.005835437,2.748512677,0.001895473,2.795638800,2.77,0.00,3928
input/test_n1000_m20000_f2_no2.utv,1000,20000,2,0.039887745,0.005467185,2.737144191,0.001919212,2.784418333,2.75,0.01,3924
input/test_n1000_m20000_f2_no3.utv,1000,20000,2,0.037758799,0.004137163,2.747062504,0.001905090,2.790863556,2.76,0.00,3904
input/test_n1000_m30000_f2_no1.utv,1000,30000,2,0.050918156,0.006889986,3.685393399,0.003256354,3.746457895,3.70,0.02,5412
input/test_n1000_m30000_f2_no2.utv,1000,30000,2,0.052654179,0.007550510,3.673134168,0.003268964,3.736607821,3.70,0.01,5380
input/test_n1000_m30000_f2_no3.utv,1000,30000,2,0.050763060,0.010353232,3.710099893,0.003294606,3.774510791,3.74,0.01,5464
input/test_n1000_m40000_f2_no1.utv,1000,40000,2,0.063586883,0.007025703,4.582712591,0.004770737,4.658095914,4.62,0.02,6916
input/test_n1000_m40000_f2_no2.utv,1000,40000,2,0.064109169,0.019800507,4.659255689,0.004793990,4.747959355,4.70,0.02,6972
input/test_n1000_m40000_f2_no3.utv,1000,40000,2,0.059621613,0.007388620,4.618655394,0.004756680,4.690422307,4.65,0.02,6904
input/test_n1000_m50000_f2_no1.utv,1000,50000,2,0.071616217,0.011502048,5.545495721,0.006345083,5.634959069,5.58,0.02,8396
input/test_n1000_m50000_f2_no2.utv,1000,50000,2,0.073380347,0.008788561,5.533841533,0.006355057,5.622365498,5.58,0.02,8348
input/test_n1000_m50000_f2_no3.utv,1000,50000,2,0.075472269,0.008146248,5.521193478,0.006339054,5.611151049,5.56,0.03,8376
input/test_n1000_m60000_f2_no1.utv,1000,60000,2,0.085716543,0.015311487,6.516732367,0.008023027,6.625783424,6.57,0.02,9944
input/test_n1000_m60000_f2_no2.utv,1000,60000,2,0.077991775,0.012355134,6.501874902,0.008040280,6.600262091,6.55,0.03,9880
input/test_n1000_m60000_f2_no3.utv,1000,60000,2,0.085493913,0.010496751,6.478062281,0.008014355,6.582067300,6.53,0.02,9896
input/test_n1000_m70000_f2_no1.utv,1000,70000,2,0.088630357,0.012137499,7.412998260,0.009663863,7.523429979,7.48,0.02,11432
input/test_n1000_m70000_f2_no2.utv,1000,70000,2,0.103571662,0.010686327,7.408047047,0.009837811,7.532142847,7.47,0.04,11348
input/test_n1000_m70000_f2_no3.utv,1000,70000,2,0.111521426,0.010476020,7.497576934,0.009955025,7.629529405,7.56,0.04,11436
input/test_n1000_m80000_f2_no1.utv,1000,80000,2,0.104793164,0.014742488,8.405972227,0.011663952,8.537171831,8.48,0.03,12856
input/test_n1000_m80000_f2_no2.utv,1000,80000,2,0.105958916,0.016699240,8.454254369,0.011653671,8.588566196,8.53,0.04,12904
input/test_n1000_m80000_f2_no3.utv,1000,80000,2,0.108377983,0.015040722,8.418103505,0.011624008,8.553146218,8.49,0.03,12880
input/test_n1000_m90000_f2_no1.utv,1000,90000,2,0.134690114,0.013850741,9.513323897,0.013341741,9.675206493,9.59,0.05,14364
input/test_n1000_m90000_f2_no2.utv,1000,90000,2,0.121323716,0.011550072,9.361910020,0.013377346,9.508161154,9.44,0.04,14344
input/test_n1000_m90000_f2_no3.utv,1000,90000,2,0.125555678,0.021253091,9.387999965,0.013317066,9.548125800,9.47,0.05,14372
input/test_n1000_m100000_f2_no1.utv,1000,100000,2,0.255467890,0.025013590,10.384848244,0.015084762,10.680414486,10.48,0.04,15884
input/test_n1000_m100000_f2_no2.utv,1000,100000,2,0.137620241,0.019501524,10.437156270,0.015097838,10.609375873,10.53,0.05,15896
input/test_n1000_m100000_f2_no3.utv,1000,100000,2,0.137935350,0.019751604,10.448974254,0.015159817,10.621821025,10.54,0.06,15868
