input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kB)
input/test_n1000_m100000_f0_no1.utv,1000,100000,0,0.138150507,9.440748428,0.000020931,0.014758856,9.593678722,9.51,0.04,11052
input/test_n1000_m100000_f0_no2.utv,1000,100000,0,0.129923229,9.438753954,0.000024194,0.014918659,9.583620036,9.52,0.03,11052
input/test_n1000_m100000_f0_no3.utv,1000,100000,0,0.122130032,9.537950929,0.000017355,0.014875889,9.674974205,9.61,0.04,11052
input/test_n2000_m100000_f0_no1.utv,2000,100000,0,0.127054724,19.402030447,0.000021905,0.014687666,19.543794742,19.48,0.04,11132
input/test_n2000_m100000_f0_no2.utv,2000,100000,0,0.128896713,19.515498891,0.000023664,0.014794079,19.659213347,19.59,0.04,11132
input/test_n2000_m100000_f0_no3.utv,2000,100000,0,0.126818039,19.488311580,0.000023504,0.014726439,19.629879562,19.57,0.03,11132
input/test_n3000_m100000_f0_no1.utv,3000,100000,0,0.127792364,30.100391042,0.000020352,0.014801341,30.243005099,30.18,0.04,11208
input/test_n3000_m100000_f0_no2.utv,3000,100000,0,0.132324876,30.201137309,0.000021198,0.014815017,30.348298400,30.28,0.04,11208
input/test_n3000_m100000_f0_no3.utv,3000,100000,0,0.127063620,30.049082055,0.000018797,0.014739126,30.190903598,30.13,0.04,11208
input/test_n4000_m100000_f0_no1.utv,4000,100000,0,0.126557391,41.518390525,0.000031997,0.005489494,41.650469407,41.60,0.03,11296
input/test_n4000_m100000_f0_no2.utv,4000,100000,0,0.130769944,41.854926319,0.000027202,0.005236755,41.990960220,41.93,0.03,11296
input/test_n4000_m100000_f0_no3.utv,4000,100000,0,0.224997845,41.381836408,0.000023995,0.005128343,41.611986591,41.45,0.05,11296
input/test_n5000_m100000_f0_no1.utv,5000,100000,0,0.127360846,53.398380625,0.000033435,0.005773350,53.531548256,53.48,0.04,11372
input/test_n5000_m100000_f0_no2.utv,5000,100000,0,0.128766902,53.655093887,0.000026482,0.005517694,53.789404965,53.73,0.04,11372
input/test_n5000_m100000_f0_no3.utv,5000,100000,0,0.127943101,53.275272455,0.000021735,0.005188577,53.408425868,53.35,0.04,11368
