input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kB)
input/test_n1000_m10000_f0_no1.utv,1000,10000,0,0.010668389,0.835233530,0.000022698,0.000926946,0.846851563,0.84,0.00,1512
input/test_n1000_m10000_f0_no2.utv,1000,10000,0,0.011133731,0.827749993,0.000016749,0.000904347,0.839804820,0.83,0.00,1512
input/test_n1000_m10000_f0_no3.utv,1000,10000,0,0.011493541,0.828726875,0.000015878,0.000899413,0.841135707,0.83,0.00,1508
input/test_n1000_m20000_f0_no1.utv,1000,20000,0,0.020448921,1.582082858,0.000016794,0.001813257,1.604361830,1.59,0.00,2676
input/test_n1000_m20000_f0_no2.utv,1000,20000,0,0.022645941,1.580240544,0.000021692,0.001852898,1.604761075,1.58,0.01,2672
input/test_n1000_m20000_f0_no3.utv,1000,20000,0,0.021310335,1.581334922,0.000015967,0.001812046,1.604473270,1.59,0.01,2672
input/test_n1000_m30000_f0_no1.utv,1000,30000,0,0.032231701,2.524836332,0.000016490,0.003157295,2.560241818,2.54,0.01,3832
input/test_n1000_m30000_f0_no2.utv,1000,30000,0,0.036353650,2.531195197,0.000016451,0.003164889,2.570730187,2.54,0.02,3828
input/test_n1000_m30000_f0_no3.utv,1000,30000,0,0.036124304,2.530763491,0.000016685,0.003148005,2.570052485,2.55,0.01,3832
input/test_n1000_m40000_f0_no1.utv,1000,40000,0,0.047306817,3.472105606,0.000026113,0.004697207,3.524135743,3.49,0.02,4988
input/test_n1000_m40000_f0_no2.utv,1000,40000,0,0.040054372,3.489152625,0.000019368,0.004637318,3.533863683,3.51,0.01,4988
input/test_n1000_m40000_f0_no3.utv,1000,40000,0,0.046130257,3.476618168,0.000016136,0.004632618,3.527397179,3.51,0.01,4988
input/test_n1000_m50000_f0_no1.utv,1000,50000,0,0.054450819,4.452052300,0.000023438,0.006245373,4.512771930,4.48,0.02,6052
input/test_n1000_m50000_f0_no2.utv,1000,50000,0,0.058063121,4.442125703,0.000023109,0.006202979,4.506414912,4.47,0.03,6052
input/test_n1000_m50000_f0_no3.utv,1000,50000,0,0.056220952,4.435209789,0.000019532,0.006210384,4.497660657,4.46,0.03,6056
input/test_n1000_m60000_f0_no1.utv,1000,60000,0,0.065073713,5.405759334,0.000023686,0.007989329,5.478846062,5.44,0.03,6992
input/test_n1000_m60000_f0_no2.utv,1000,60000,0,0.063215395,5.394977160,0.000028698,0.007897899,5.466119152,5.43,0.03,6992
input/test_n1000_m60000_f0_no3.utv,1000,60000,0,0.067644792,5.400884712,0.000028068,0.007966563,5.476524135,5.44,0.03,6992
input/test_n1000_m70000_f0_no1.utv,1000,70000,0,0.070476887,6.447892327,0.000026628,0.009635350,6.528031192,6.49,0.03,7928
input/test_n1000_m70000_f0_no2.utv,1000,70000,0,0.072572720,6.388877823,0.000022610,0.009524526,6.470997679,6.44,0.02,7924
input/test_n1000_m70000_f0_no3.utv,1000,70000,0,0.073413588,6.391318044,0.000030853,0.009590805,6.474353290,6.43,0.03,7928
input/test_n1000_m80000_f0_no1.utv,1000,80000,0,0.080877357,7.369396610,0.000028739,0.011312233,7.461614939,7.42,0.03,8864
input/test_n1000_m80000_f0_no2.utv,1000,80000,0,0.082655358,7.406165812,0.000027718,0.011367735,7.500216623,7.47,0.03,8868
input/test_n1000_m80000_f0_no3.utv,1000,80000,0,0.089173052,7.347848356,0.000024867,0.011316004,7.448362279,7.40,0.04,8868
