input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kB)
input/test_n1000_m100000_f1_no1.utv,1000,100000,1,0.123967077,0.015400023,0.017269800,0.015643446,0.172280346,0.09,0.04,15592
input/test_n1000_m100000_f1_no2.utv,1000,100000,1,0.122993833,0.015701145,0.016887999,0.015760890,0.171343867,0.09,0.04,15608
input/test_n1000_m100000_f1_no3.utv,1000,100000,2,0.115485309,0.018730513,10.233970801,0.015069033,10.383255656,10.32,0.04,15588
input/test_n2000_m100000_f1_no1.utv,2000,100000,2,0.119505261,0.027593267,23.424838790,0.015192977,23.587130295,23.53,0.03,15900
input/test_n2000_m100000_f1_no2.utv,2000,100000,2,0.122712715,0.029115408,23.546204952,0.015217807,23.713250882,23.65,0.04,15876
input/test_n2000_m100000_f1_no3.utv,2000,100000,1,0.125216718,0.034527699,0.018379771,0.015947407,0.194071595,0.13,0.04,15896
input/test_n3000_m100000_f1_no1.utv,3000,100000,2,0.125682124,0.032050993,39.743364785,0.015160424,39.916258326,39.85,0.05,16088
input/test_n3000_m100000_f1_no2.utv,3000,100000,2,0.283508991,0.032143205,39.721003877,0.015456686,40.052112759,39.83,0.04,16172
input/test_n3000_m100000_f1_no3.utv,3000,100000,2,0.123577420,0.030925277,39.770763212,0.015292165,39.940558074,39.87,0.05,16108
input/test_n4000_m100000_f1_no1.utv,4000,100000,1,0.164470859,0.039076494,0.020085918,0.006331643,0.229964914,0.12,0.03,16332
input/test_n4000_m100000_f1_no2.utv,4000,100000,2,0.121886592,0.043519323,58.527632965,0.005533879,58.698572759,58.65,0.04,16404
input/test_n4000_m100000_f1_no3.utv,4000,100000,1,0.115219372,0.036655514,0.019945771,0.006565022,0.178385679,0.11,0.04,16336
input/test_n5000_m100000_f1_no1.utv,5000,100000,2,0.123696777,0.044411922,81.577689466,0.005527298,81.751325463,81.70,0.05,16580
input/test_n5000_m100000_f1_no2.utv,5000,100000,2,0.118196941,0.036996383,81.992287890,0.005594009,82.153075223,82.12,0.04,16636
input/test_n5000_m100000_f1_no3.utv,5000,100000,1,0.131898632,0.053713147,0.021418168,0.006773478,0.213803425,0.13,0.05,16576
input/test_n6000_m100000_f1_no1.utv,6000,100000,1,0.124609344,0.049957415,0.021713946,0.006595750,0.202876455,0.13,0.04,16796
input/test_n6000_m100000_f1_no2.utv,6000,100000,2,0.121589392,0.034582443,108.086206179,0.005603179,108.247981193,108.22,0.04,16800
input/test_n6000_m100000_f1_no3.utv,6000,100000,2,0.122792941,0.036530313,107.306739539,0.005551315,107.471614108,107.44,0.04,16784
input/test_n7000_m100000_f1_no1.utv,7000,100000,1,0.121511044,0.046282952,0.022494490,0.006727651,0.197016137,0.13,0.04,17008
input/test_n7000_m100000_f1_no2.utv,7000,100000,1,0.119283585,0.048638311,0.022464323,0.006739951,0.197126170,0.13,0.04,17040
input/test_n7000_m100000_f1_no3.utv,7000,100000,1,0.126734759,0.053337223,0.022446569,0.006743595,0.209262146,0.13,0.04,17016
input/test_n8000_m100000_f1_no1.utv,8000,100000,2,0.122255003,0.053890295,172.710031103,0.005698108,172.891874509,172.89,0.04,17236
input/test_n8000_m100000_f1_no2.utv,8000,100000,1,0.126308731,0.052653709,0.023614347,0.006852893,0.209429680,0.13,0.05,17224
input/test_n8000_m100000_f1_no3.utv,8000,100000,2,0.121170410,0.063801118,172.800579769,0.006004904,172.991556201,172.98,0.04,17260
input/test_n9000_m100000_f1_no1.utv,9000,100000,1,0.139106970,0.066492330,0.023636539,0.006794702,0.236030541,0.14,0.06,17112
input/test_n9000_m100000_f1_no2.utv,9000,100000,1,0.119842407,0.062760473,0.024429804,0.007036947,0.214069631,0.15,0.03,17428
input/test_n9000_m100000_f1_no3.utv,9000,100000,1,0.123179088,0.064438026,0.024143691,0.006726130,0.218486935,0.15,0.04,17356
input/test_n10000_m100000_f1_no1.utv,10000,100000,1,0.121871755,0.063117768,0.025244657,0.007113708,0.217347888,0.16,0.03,17552
input/test_n10000_m100000_f1_no2.utv,10000,100000,2,0.120764843,0.062229956,248.895326988,0.004568100,249.082889887,249.10,0.04,17560
input/test_n10000_m100000_f1_no3.utv,10000,100000,1,0.123811600,0.061376926,0.025439264,0.006866590,0.217494380,0.14,0.05,17576
input/test_n11000_m100000_f1_no1.utv,11000,100000,1,0.120623828,0.089069569,0.023977039,0.006815799,0.240486235,0.17,0.04,17040
input/test_n11000_m100000_f1_no2.utv,11000,100000,1,0.123706243,0.063589622,0.025712439,0.007145201,0.220153505,0.15,0.04,17716
input/test_n11000_m100000_f1_no3.utv,11000,100000,2,0.126531699,0.064657634,296.496903905,0.005755694,296.693848932,296.72,0.04,17808
input/test_n12000_m100000_f1_no1.utv,12000,100000,2,0.129116066,0.079833008,344.074358738,0.005820327,344.289128139,344.34,0.04,18036
input/test_n12000_m100000_f1_no2.utv,12000,100000,1,0.122990390,0.070516908,0.026914054,0.007202922,0.227624274,0.15,0.05,18004
input/test_n12000_m100000_f1_no3.utv,12000,100000,2,0.123950044,0.063014935,343.266249429,0.005802785,343.459017193,343.52,0.04,17932
input/test_n13000_m100000_f1_no1.utv,13000,100000,1,0.126486533,0.059596955,0.027693206,0.007297622,0.221074316,0.14,0.05,18192
input/test_n13000_m100000_f1_no2.utv,13000,100000,0,0.119580854,163.878084932,0.000039219,0.005687062,164.003392067,164.00,0.03,11676
input/test_n13000_m100000_f1_no3.utv,13000,100000,1,0.121301903,0.069709746,0.028088454,0.007252052,0.226352155,0.15,0.04,18200
input/test_n14000_m100000_f1_no1.utv,14000,100000,1,0.124919950,0.068516547,0.028584342,0.007925730,0.229946569,0.17,0.03,18424
input/test_n14000_m100000_f1_no2.utv,14000,100000,2,0.120264086,0.066354472,445.096941795,0.005863991,445.289424344,445.39,0.04,18416
input/test_n14000_m100000_f1_no3.utv,14000,100000,1,0.121972550,0.076240529,0.029054378,0.007553692,0.234821149,0.16,0.04,18484
input/test_n15000_m100000_f1_no1.utv,15000,100000,2,0.121792557,0.077745348,507.446352486,0.005900090,507.651790481,507.76,0.05,18668
input/test_n15000_m100000_f1_no2.utv,15000,100000,1,0.124450979,0.058719432,0.029363488,0.007647322,0.220181221,0.15,0.04,18600
input/test_n15000_m100000_f1_no3.utv,15000,100000,1,0.120808595,0.081204368,0.029731598,0.007719910,0.239464471,0.17,0.04,18740
input/test_n16000_m100000_f1_no1.utv,16000,100000,2,0.122110045,0.084867219,563.060790635,0.005887397,563.273655296,563.41,0.04,18884
