input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kB)
input/test_n1000_m10000_f1_no1.utv,1000,10000,2,0.011625360,0.004456918,0.001176406,0.000138373,0.017397057,0.01,0.00,1896
input/test_n1000_m10000_f1_no2.utv,1000,10000,2,0.011297460,0.005214974,0.001159111,0.000103019,0.017774564,0.01,0.00,1896
input/test_n1000_m10000_f1_no3.utv,1000,10000,2,0.011905455,0.004880567,0.001145741,0.000088531,0.018020294,0.01,0.00,1900
input/test_n1000_m20000_f1_no1.utv,1000,20000,1,0.022700518,0.008767412,0.002940036,0.000941224,0.035349190,0.02,0.00,3364
input/test_n1000_m20000_f1_no2.utv,1000,20000,1,0.022513429,0.008785421,0.002949412,0.000935413,0.035183675,0.02,0.00,3364
input/test_n1000_m20000_f1_no3.utv,1000,20000,2,0.022540138,0.008173400,0.001734306,0.000087729,0.032535573,0.02,0.00,3368
input/test_n1000_m30000_f1_no1.utv,1000,30000,2,0.034115907,0.018589985,0.002474379,0.000088892,0.055269163,0.03,0.01,4844
input/test_n1000_m30000_f1_no2.utv,1000,30000,1,0.033959170,0.011255115,0.004267153,0.001474095,0.050955533,0.03,0.01,4840
input/test_n1000_m30000_f1_no3.utv,1000,30000,1,0.034224481,0.007619765,0.004259644,0.001473131,0.047577021,0.03,0.01,4840
input/test_n1000_m40000_f1_no1.utv,1000,40000,1,0.048688844,0.013124606,0.005723141,0.002049689,0.069586280,0.04,0.02,6316
input/test_n1000_m40000_f1_no2.utv,1000,40000,1,0.045656112,0.010079934,0.005702658,0.002034378,0.063473082,0.04,0.01,6312
input/test_n1000_m40000_f1_no3.utv,1000,40000,1,0.047972523,0.017298098,0.005717428,0.002034158,0.073022207,0.05,0.01,6316
input/test_n1000_m50000_f1_no1.utv,1000,50000,2,0.061271565,0.014312256,0.004022045,0.000091402,0.079697268,0.05,0.02,7692
input/test_n1000_m50000_f1_no2.utv,1000,50000,1,0.058632051,0.011327904,0.007089971,0.002607620,0.079657546,0.06,0.01,7692
input/test_n1000_m50000_f1_no3.utv,1000,50000,1,0.057143648,0.023110741,0.007075031,0.002864588,0.090194008,0.07,0.01,7692
