input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kB)
input/test_n1000_m100000_f0_no1.utv,1000,100000,0,0.212838845,20.113625033,0.000094531,0.005977652,20.332536061,20.19,0.06,13936
input/test_n1000_m100000_f0_no2.utv,1000,100000,0,0.124946979,20.087903681,0.000027652,0.005682178,20.218560490,20.17,0.03,13940
input/test_n1000_m100000_f0_no3.utv,1000,100000,0,0.150123648,20.187893881,0.000029722,0.005718077,20.343765328,20.26,0.06,13940
input/test_n2000_m100000_f0_no1.utv,2000,100000,0,0.145236311,41.937230083,0.000031853,0.005701944,42.088200191,42.02,0.05,14104
input/test_n2000_m100000_f0_no2.utv,2000,100000,0,0.163534498,42.371244714,0.000030678,0.005725257,42.540535147,42.45,0.05,14104
input/test_n2000_m100000_f0_no3.utv,2000,100000,0,0.142861650,42.032657536,0.000032074,0.005983706,42.181534966,42.11,0.05,14100
input/test_n3000_m100000_f0_no1.utv,3000,100000,0,0.150332084,66.578896079,0.000037188,0.005912209,66.735177560,66.68,0.05,14268
input/test_n3000_m100000_f0_no2.utv,3000,100000,0,0.143088429,65.867325356,0.000051813,0.006202886,66.016668484,65.95,0.04,14268
input/test_n3000_m100000_f0_no3.utv,3000,100000,0,0.121395351,65.959671102,0.000037332,0.006173042,66.087276827,66.04,0.05,14264
input/test_n4000_m100000_f0_no1.utv,4000,100000,0,0.151367286,91.041875740,0.000053285,0.006283987,91.199580298,91.14,0.05,14432
input/test_n4000_m100000_f0_no2.utv,4000,100000,0,0.170863761,90.303010006,0.000031597,0.005779951,90.479685315,90.40,0.04,14432
input/test_n4000_m100000_f0_no3.utv,4000,100000,0,0.123332703,91.887863928,0.000034286,0.005860987,92.017091904,91.98,0.05,14432
input/test_n5000_m100000_f0_no1.utv,5000,100000,0,0.123898192,117.961090817,0.000031098,0.005951259,118.090971366,118.05,0.05,14596
input/test_n5000_m100000_f0_no2.utv,5000,100000,0,0.151003107,117.864767001,0.000047123,0.006294308,118.022111539,117.97,0.06,14592
input/test_n5000_m100000_f0_no3.utv,5000,100000,0,0.138128550,116.664804460,0.000060541,0.006285766,116.809279317,116.77,0.04,14592
input/test_n6000_m100000_f0_no1.utv,6000,100000,0,0.139587928,143.790497497,0.000035442,0.006340559,143.936461426,143.91,0.04,14760
input/test_n6000_m100000_f0_no2.utv,6000,100000,0,0.135521197,144.656017376,0.000032486,0.006012925,144.797583984,144.77,0.04,14756
input/test_n6000_m100000_f0_no3.utv,6000,100000,0,0.146955260,144.525924629,0.000036706,0.006409676,144.679326271,144.63,0.06,14756
input/test_n7000_m100000_f0_no1.utv,7000,100000,0,0.136114593,171.867412359,0.000034502,0.006233522,172.009794976,171.98,0.04,14920
input/test_n7000_m100000_f0_no2.utv,7000,100000,0,0.140733210,175.891179960,0.000030770,0.006205723,176.038149663,176.00,0.06,14920
input/test_n7000_m100000_f0_no3.utv,7000,100000,0,0.148039028,172.512583635,0.000035333,0.014282537,172.674940533,172.62,0.05,14920
input/test_n8000_m100000_f0_no1.utv,8000,100000,0,0.167548817,200.926372866,0.000032984,0.006256232,201.100210899,201.05,0.06,15116
input/test_n8000_m100000_f0_no2.utv,8000,100000,0,0.151728673,198.545846083,0.000040259,0.006558714,198.704173729,198.64,0.06,15112
input/test_n8000_m100000_f0_no3.utv,8000,100000,0,0.122679359,197.933146822,0.000043752,0.006638683,198.062508616,198.06,0.04,15116
input/test_n9000_m100000_f0_no1.utv,9000,100000,0,0.135015476,231.633422331,0.000038056,0.011079324,231.779555187,231.77,0.04,15404
input/test_n9000_m100000_f0_no2.utv,9000,100000,0,0.172209343,188.764877164,0.000040805,0.004085860,188.941213172,188.88,0.05,15400
input/test_n9000_m100000_f0_no3.utv,9000,100000,0,0.133194926,225.414742148,0.000035574,0.006418164,225.554390812,225.55,0.04,15404
input/test_n10000_m100000_f0_no1.utv,10000,100000,0,0.142555231,251.381216931,0.000033272,0.006497136,251.530302570,251.53,0.03,15696
input/test_n10000_m100000_f0_no2.utv,10000,100000,0,0.142616058,253.854121785,0.000039960,0.006943949,254.003721752,253.99,0.05,15692
input/test_n10000_m100000_f0_no3.utv,10000,100000,0,0.117729902,252.972594511,0.000034658,0.006551237,253.096910308,253.11,0.04,15692
