input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kB)
input/test_n1000_m10000_f1_no1.utv,1000,10000,2,0.050913301,0.233674452,0.001213423,0.000108039,0.285909215,0.24,0.00,2184
input/test_n1000_m10000_f1_no2.utv,1000,10000,2,0.030569245,0.235831502,0.001185711,0.000108334,0.267694792,0.24,0.00,2184
input/test_n1000_m10000_f1_no3.utv,1000,10000,2,0.029026594,0.236013838,0.001172099,0.000103026,0.266315557,0.23,0.00,2184
input/test_n1000_m20000_f1_no1.utv,1000,20000,1,0.048652922,0.480725736,0.003075691,0.001001930,0.533456279,0.49,0.01,3968
input/test_n1000_m20000_f1_no2.utv,1000,20000,1,0.059928191,0.478873103,0.003068872,0.001007512,0.542877678,0.49,0.00,3968
input/test_n1000_m20000_f1_no3.utv,1000,20000,2,0.073465614,0.478989312,0.001832719,0.000112955,0.554400600,0.49,0.01,3968
input/test_n1000_m30000_f1_no1.utv,1000,30000,2,0.052176498,0.716605994,0.002608070,0.000103440,0.771494002,0.73,0.01,5756
input/test_n1000_m30000_f1_no2.utv,1000,30000,1,0.059360496,0.722125150,0.004517216,0.001558599,0.787561461,0.74,0.01,5752
input/test_n1000_m30000_f1_no3.utv,1000,30000,1,0.053672318,0.712187397,0.004508675,0.001552281,0.771920671,0.74,0.01,5752
input/test_n1000_m40000_f1_no1.utv,1000,40000,1,0.076322822,0.960976350,0.005973195,0.002131363,1.045403730,1.00,0.02,7540
input/test_n1000_m40000_f1_no2.utv,1000,40000,1,0.075318441,0.961166542,0.005958289,0.002123496,1.044566768,0.99,0.02,7540
input/test_n1000_m40000_f1_no3.utv,1000,40000,1,0.066598923,0.961105790,0.005975828,0.002122749,1.035803290,0.99,0.02,7544
input/test_n1000_m50000_f1_no1.utv,1000,50000,2,0.086865179,1.192341873,0.004214279,0.000120282,1.283541613,1.22,0.03,9224
input/test_n1000_m50000_f1_no2.utv,1000,50000,1,0.086675945,1.211074539,0.007486325,0.002705067,1.307941876,1.26,0.02,9224
input/test_n1000_m50000_f1_no3.utv,1000,50000,1,0.086962041,1.204432453,0.007452342,0.002700456,1.301547292,1.25,0.03,9224
input/test_n1000_m60000_f1_no1.utv,1000,60000,1,0.094786357,1.445426372,0.008952590,0.003293118,1.552458437,1.49,0.03,10792
input/test_n1000_m60000_f1_no2.utv,1000,60000,2,0.140932418,1.436573043,0.005037999,0.000142654,1.582686114,1.48,0.02,10792
input/test_n1000_m60000_f1_no3.utv,1000,60000,2,0.088866306,1.476651161,0.005028573,0.000124293,1.570670333,1.52,0.03,10788
input/test_n1000_m70000_f1_no1.utv,1000,70000,2,0.106466834,1.683194425,0.005948790,0.000143241,1.795753290,1.74,0.03,12356
input/test_n1000_m70000_f1_no2.utv,1000,70000,1,0.114467527,1.693716684,0.010567632,0.003956001,1.822707844,1.75,0.04,12356
input/test_n1000_m70000_f1_no3.utv,1000,70000,1,0.114573224,1.680331713,0.010694837,0.003938123,1.809537897,1.74,0.04,12352
input/test_n1000_m80000_f1_no1.utv,1000,80000,1,0.113908578,1.923383482,0.012161767,0.004541451,2.053995278,1.99,0.03,13916
input/test_n1000_m80000_f1_no2.utv,1000,80000,2,0.118189087,1.952776041,0.006854593,0.000146504,2.077966225,2.02,0.03,13912
input/test_n1000_m80000_f1_no3.utv,1000,80000,2,0.130399591,1.922339131,0.006829165,0.000162367,2.059730254,1.99,0.04,13912
input/test_n1000_m90000_f1_no1.utv,1000,90000,2,0.141010515,2.188943594,0.007967628,0.000148477,2.338070214,2.27,0.04,15480
input/test_n1000_m90000_f1_no2.utv,1000,90000,1,0.135989316,2.190269544,0.014017922,0.005330032,2.345606814,2.26,0.05,15480
input/test_n1000_m90000_f1_no3.utv,1000,90000,1,0.126293704,2.207965829,0.014272195,0.005403978,2.353935706,2.28,0.04,15480
input/test_n1000_m100000_f1_no1.utv,1000,100000,1,0.127716087,2.508861976,0.017028280,0.006545056,2.660151399,2.61,0.04,17040
input/test_n1000_m100000_f1_no2.utv,1000,100000,1,0.128275942,2.493298612,0.016782893,0.006994972,2.645352419,2.59,0.05,17044
