input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kB)
input/test_n1000_m10000_f2_no1.utv,1000,10000,2,0.045190454,0.006150111,0.001244016,0.000415166,0.052999747,0.00,0.00,1916
input/test_n1000_m10000_f2_no2.utv,1000,10000,2,0.033816231,0.005648894,0.001204941,0.000136485,0.040806551,0.01,0.00,1916
input/test_n1000_m10000_f2_no3.utv,1000,10000,2,0.028390326,0.004872741,0.001174940,0.000103719,0.034541726,0.01,0.00,1916
input/test_n1000_m20000_f2_no1.utv,1000,20000,2,0.045716102,0.009934160,0.001734786,0.000114628,0.057499676,0.03,0.00,3380
input/test_n1000_m20000_f2_no2.utv,1000,20000,2,0.041543183,0.008758959,0.001747867,0.000116636,0.052166645,0.02,0.00,3380
input/test_n1000_m20000_f2_no3.utv,1000,20000,2,0.042137642,0.006736581,0.001738030,0.000128372,0.050740625,0.02,0.00,3380
input/test_n1000_m30000_f2_no1.utv,1000,30000,2,0.053335238,0.011570277,0.002510282,0.000127986,0.067543783,0.03,0.01,4856
input/test_n1000_m30000_f2_no2.utv,1000,30000,2,0.050919823,0.013803251,0.002492251,0.000125148,0.067340473,0.03,0.01,4856
input/test_n1000_m30000_f2_no3.utv,1000,30000,2,0.052817910,0.016464387,0.002504161,0.000115182,0.071901640,0.04,0.01,4856
input/test_n1000_m40000_f2_no1.utv,1000,40000,2,0.079743217,0.019201405,0.003280412,0.000105371,0.102330405,0.04,0.02,6328
input/test_n1000_m40000_f2_no2.utv,1000,40000,2,0.076169566,0.026619379,0.003281600,0.000115604,0.106186149,0.06,0.01,6328
input/test_n1000_m40000_f2_no3.utv,1000,40000,2,0.066011592,0.009343479,0.003281452,0.000115105,0.078751628,0.03,0.01,6332
input/test_n1000_m50000_f2_no1.utv,1000,50000,2,0.089746046,0.020631783,0.004070467,0.000120045,0.114568341,0.06,0.02,7704
input/test_n1000_m50000_f2_no2.utv,1000,50000,2,0.073492858,0.016762787,0.004078020,0.000114014,0.094447679,0.05,0.01,7708
input/test_n1000_m50000_f2_no3.utv,1000,50000,2,0.088565812,0.013504015,0.004081684,0.000110169,0.106261680,0.05,0.02,7708
input/test_n1000_m60000_f2_no1.utv,1000,60000,2,0.090197117,0.022030752,0.004859995,0.000122875,0.117210739,0.07,0.02,8956
input/test_n1000_m60000_f2_no2.utv,1000,60000,2,0.100624629,0.019297494,0.004897880,0.000120659,0.124940662,0.06,0.04,8952
input/test_n1000_m60000_f2_no3.utv,1000,60000,2,0.091493915,0.016756248,0.004889470,0.000118937,0.113258570,0.07,0.01,8952
input/test_n1000_m70000_f2_no1.utv,1000,70000,2,0.100364359,0.026519059,0.005741768,0.000132121,0.132757307,0.08,0.02,10204
input/test_n1000_m70000_f2_no2.utv,1000,70000,2,0.107509660,0.016146186,0.005705976,0.000109886,0.129471708,0.07,0.03,10208
input/test_n1000_m70000_f2_no3.utv,1000,70000,2,0.105528546,0.019958649,0.005723602,0.000121380,0.131332177,0.07,0.02,10204
input/test_n1000_m80000_f2_no1.utv,1000,80000,2,0.119789719,0.024632915,0.006537504,0.000119446,0.151079584,0.08,0.04,11452
input/test_n1000_m80000_f2_no2.utv,1000,80000,2,0.109747319,0.021880520,0.006563580,0.000131408,0.138322827,0.08,0.03,11452
input/test_n1000_m80000_f2_no3.utv,1000,80000,2,0.110363474,0.022213248,0.006876724,0.000137594,0.139591040,0.09,0.03,11456
input/test_n1000_m90000_f2_no1.utv,1000,90000,2,0.143905320,0.022476727,0.007420461,0.000144876,0.173947384,0.09,0.03,12704
input/test_n1000_m90000_f2_no2.utv,1000,90000,2,0.140861826,0.020885024,0.007468173,0.000133730,0.169348753,0.09,0.04,12708
input/test_n1000_m90000_f2_no3.utv,1000,90000,2,0.123479950,0.033694127,0.007472455,0.000124046,0.164770578,0.11,0.03,12708
input/test_n1000_m100000_f2_no1.utv,1000,100000,2,0.138438023,0.038723961,0.008467874,0.000160819,0.185790677,0.10,0.05,13952
input/test_n1000_m100000_f2_no2.utv,1000,100000,2,0.136490444,0.036821077,0.008404189,0.000158599,0.181874309,0.12,0.04,13952
input/test_n1000_m100000_f2_no3.utv,1000,100000,2,0.134725218,0.038452042,0.008409230,0.000162665,0.181749155,0.11,0.04,13952
input/test_n1000_m110000_f2_no1.utv,1000,110000,2,0.150691524,0.027993983,0.009473611,0.000162722,0.188321840,0.11,0.05,15208
input/test_n1000_m110000_f2_no2.utv,1000,110000,2,0.168857328,0.023380681,0.009653839,0.000156445,0.202048293,0.11,0.05,15208
input/test_n1000_m110000_f2_no3.utv,1000,110000,2,0.154885489,0.037301375,0.009454468,0.000138979,0.201780311,0.12,0.05,15208
input/test_n1000_m120000_f2_no1.utv,1000,120000,2,0.170706167,0.031958046,0.010790693,0.000178441,0.213633347,0.13,0.05,16456
input/test_n1000_m120000_f2_no2.utv,1000,120000,2,0.170812314,0.036848700,0.011225300,0.000146032,0.219032346,0.14,0.05,16452
input/test_n1000_m120000_f2_no3.utv,1000,120000,2,0.165993023,0.054275962,0.010805705,0.000138284,0.231212974,0.14,0.06,16456
input/test_n1000_m130000_f2_no1.utv,1000,130000,2,0.189090187,0.053025757,0.012850107,0.000168836,0.255134887,0.17,0.05,17704
input/test_n1000_m130000_f2_no2.utv,1000,130000,2,0.193626845,0.034055900,0.012404157,0.000209414,0.240296316,0.15,0.06,17708
input/test_n1000_m130000_f2_no3.utv,1000,130000,2,0.185020437,0.032694892,0.012581442,0.000169664,0.230466435,0.14,0.06,17708
input/test_n1000_m140000_f2_no1.utv,1000,140000,2,0.188431688,0.037498812,0.014414068,0.000134493,0.240479061,0.16,0.06,18956
input/test_n1000_m140000_f2_no2.utv,1000,140000,2,0.208104009,0.050969414,0.014961996,0.000166964,0.274202383,0.17,0.07,18956
input/test_n1000_m140000_f2_no3.utv,1000,140000,2,0.207946211,0.043588161,0.014333925,0.000153833,0.266022130,0.16,0.06,18952
input/test_n1000_m150000_f2_no1.utv,1000,150000,2,0.209351902,0.068506374,0.016673915,0.000169003,0.294701194,0.20,0.07,20204
