input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kB)
input/test_n1000_m100000_f0_no1.utv,1000,100000,0,0.164663791,0.420067642,0.000055648,0.005646878,0.590433959,0.49,0.05,13952
input/test_n1000_m100000_f0_no2.utv,1000,100000,0,0.166978485,0.416224963,0.000021012,0.005656981,0.588881441,0.51,0.05,13956
input/test_n1000_m100000_f0_no3.utv,1000,100000,0,0.153997304,0.412646224,0.000022237,0.005670235,0.572336000,0.50,0.04,13956
input/test_n2000_m100000_f0_no1.utv,2000,100000,0,0.137647712,0.632127433,0.000018385,0.005722165,0.775515695,0.72,0.03,14120
input/test_n2000_m100000_f0_no2.utv,2000,100000,0,0.154506163,0.624428618,0.000024945,0.005980129,0.784939855,0.71,0.04,14124
input/test_n2000_m100000_f0_no3.utv,2000,100000,0,0.152513699,0.628858752,0.000020666,0.005737462,0.787130579,0.71,0.05,14124
input/test_n3000_m100000_f0_no1.utv,3000,100000,0,0.152857859,0.791582855,0.000018096,0.005732306,0.950191116,0.86,0.06,14296
input/test_n3000_m100000_f0_no2.utv,3000,100000,0,0.163099877,0.793046681,0.000022030,0.005755510,0.961924098,0.87,0.06,14296
input/test_n3000_m100000_f0_no3.utv,3000,100000,0,0.151116520,0.800986326,0.000020611,0.005834132,0.957957589,0.87,0.06,14296
input/test_n4000_m100000_f0_no1.utv,4000,100000,0,0.145826289,0.964553070,0.000017658,0.005861041,1.116258058,1.05,0.04,14464
input/test_n4000_m100000_f0_no2.utv,4000,100000,0,0.140923681,0.950981173,0.000024279,0.005840301,1.097769434,1.02,0.05,14464
input/test_n4000_m100000_f0_no3.utv,4000,100000,0,0.148795525,0.943428015,0.000038002,0.005814153,1.098075695,1.02,0.05,14464
input/test_n5000_m100000_f0_no1.utv,5000,100000,0,0.143335565,1.098991041,0.000032184,0.005999660,1.248358450,1.18,0.04,14636
input/test_n5000_m100000_f0_no2.utv,5000,100000,0,0.153530393,1.103751752,0.000047431,0.005976031,1.263305607,1.18,0.05,14640
input/test_n5000_m100000_f0_no3.utv,5000,100000,0,0.160252191,1.088145460,0.000027588,0.005922729,1.254347968,1.16,0.07,14636
input/test_n6000_m100000_f0_no1.utv,6000,100000,0,0.160194660,1.226545443,0.000056457,0.006008354,1.392804914,1.30,0.06,14812
input/test_n6000_m100000_f0_no2.utv,6000,100000,0,0.140794666,1.220082611,0.000054374,0.006043440,1.366975091,1.30,0.03,14812
input/test_n6000_m100000_f0_no3.utv,6000,100000,0,0.151924785,1.218681238,0.000025510,0.006002767,1.376634300,1.29,0.06,14812
input/test_n7000_m100000_f0_no1.utv,7000,100000,0,0.141682656,1.344356595,0.000023328,0.006117317,1.492179896,1.42,0.04,14984
input/test_n7000_m100000_f0_no2.utv,7000,100000,0,0.161163594,1.360280770,0.000031154,0.006127344,1.527602862,1.43,0.05,14980
input/test_n7000_m100000_f0_no3.utv,7000,100000,0,0.146310054,1.344998914,0.000041593,0.006107616,1.497458177,1.42,0.05,14980
input/test_n8000_m100000_f0_no1.utv,8000,100000,0,0.151375020,1.473990245,0.000040170,0.006254379,1.631659814,1.55,0.04,15184
input/test_n8000_m100000_f0_no2.utv,8000,100000,0,0.144225974,1.496709348,0.000022754,0.006208527,1.647166603,1.57,0.05,15184
input/test_n8000_m100000_f0_no3.utv,8000,100000,0,0.145141950,1.458165558,0.000075399,0.006219851,1.609602758,1.54,0.05,15184
input/test_n9000_m100000_f0_no1.utv,9000,100000,0,0.156090612,1.573358352,0.000045022,0.006369413,1.735863399,1.65,0.05,15484
input/test_n9000_m100000_f0_no2.utv,9000,100000,0,0.151742916,1.565721469,0.000022923,0.006313389,1.723800697,1.63,0.06,15480
input/test_n9000_m100000_f0_no3.utv,9000,100000,0,0.140317381,1.569240407,0.000041349,0.006398818,1.715997955,1.64,0.04,15480
input/test_n10000_m100000_f0_no1.utv,10000,100000,0,0.143670486,1.684288235,0.000028412,0.007241715,1.835228848,1.76,0.05,15784
input/test_n10000_m100000_f0_no2.utv,10000,100000,0,0.135242693,1.685290903,0.000022632,0.006470719,1.827026947,1.77,0.04,15784
