input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kB)
input/test_n1000_m100000_f1_no1.utv,1000,100000,1,0.144832653,2.504161401,0.016410551,0.006722271,2.672126876,2.60,0.04,17040
input/test_n1000_m100000_f1_no2.utv,1000,100000,1,0.144843965,2.490204321,0.017298973,0.006532831,2.658880090,2.58,0.05,17040
input/test_n1000_m100000_f1_no3.utv,1000,100000,2,0.149555878,2.514255466,0.008426751,0.000146537,2.672384632,2.60,0.04,17044
input/test_n2000_m100000_f1_no1.utv,2000,100000,2,0.142284995,5.255874266,0.009108397,0.000230139,5.407497797,5.34,0.04,17184
input/test_n2000_m100000_f1_no2.utv,2000,100000,2,0.144771263,5.295423406,0.009026669,0.000194407,5.449415745,5.37,0.05,17184
input/test_n2000_m100000_f1_no3.utv,2000,100000,1,0.157520097,5.259911500,0.017527303,0.006783346,5.441742246,5.36,0.04,17184
input/test_n3000_m100000_f1_no1.utv,3000,100000,2,0.166070217,8.073143567,0.009656012,0.000239931,8.249109727,8.15,0.04,17324
input/test_n3000_m100000_f1_no2.utv,3000,100000,2,0.139644317,8.144213667,0.009633735,0.000255780,8.293747499,8.23,0.04,17324
input/test_n3000_m100000_f1_no3.utv,3000,100000,2,0.143254226,8.095843302,0.009632742,0.000244314,8.248974584,8.18,0.04,17320
input/test_n4000_m100000_f1_no1.utv,4000,100000,1,0.144184608,10.906901490,0.019402178,0.007371503,11.077859779,11.01,0.04,17460
input/test_n4000_m100000_f1_no2.utv,4000,100000,2,0.144303370,10.953571726,0.010234556,0.000355233,11.108464885,11.05,0.04,17460
input/test_n4000_m100000_f1_no3.utv,4000,100000,1,0.137274116,10.894125889,0.019304278,0.007135743,11.057840026,10.99,0.04,17464
input/test_n5000_m100000_f1_no1.utv,5000,100000,2,0.141958107,13.736178288,0.010847355,0.000324586,13.889308336,13.82,0.05,17604
input/test_n5000_m100000_f1_no2.utv,5000,100000,2,0.144138355,13.914279798,0.011132370,0.000343822,14.069894345,14.00,0.04,17600
input/test_n5000_m100000_f1_no3.utv,5000,100000,1,0.147154494,13.771545241,0.020279636,0.007339077,13.946318448,13.87,0.06,17604
input/test_n6000_m100000_f1_no1.utv,6000,100000,1,0.143747009,16.535377971,0.020879774,0.007427610,16.707432364,16.64,0.04,17740
input/test_n6000_m100000_f1_no2.utv,6000,100000,2,0.149673226,16.754470137,0.011453887,0.000423125,16.916020375,16.85,0.05,17744
input/test_n6000_m100000_f1_no3.utv,6000,100000,2,0.143350784,16.713824518,0.011738864,0.000362368,16.869276534,16.81,0.03,17740
