input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kB)
input/test_n1000_m10000_f0_no1.utv,1000,10000,0,0.026397754,0.016959473,0.000019182,0.000935003,0.044311412,0.02,0.00,1520
input/test_n1000_m10000_f0_no2.utv,1000,10000,0,0.025235403,0.017089750,0.000018004,0.000926919,0.043270076,0.02,0.00,1516
input/test_n1000_m10000_f0_no3.utv,1000,10000,0,0.031111506,0.016883231,0.000017970,0.000924768,0.048937475,0.02,0.00,1520
input/test_n1000_m20000_f0_no1.utv,1000,20000,0,0.038808051,0.032912179,0.000020989,0.001869369,0.073610588,0.04,0.00,2680
input/test_n1000_m20000_f0_no2.utv,1000,20000,0,0.033901634,0.033539339,0.000018953,0.001848489,0.069308415,0.04,0.00,2676
input/test_n1000_m20000_f0_no3.utv,1000,20000,0,0.054421132,0.033141691,0.000017747,0.001843731,0.089424301,0.04,0.00,2676
input/test_n1000_m30000_f0_no1.utv,1000,30000,0,0.046237099,0.053620261,0.000016412,0.003195329,0.103069101,0.07,0.01,3840
input/test_n1000_m30000_f0_no2.utv,1000,30000,0,0.062876478,0.053540756,0.000028282,0.003232774,0.119678290,0.07,0.01,3840
input/test_n1000_m30000_f0_no3.utv,1000,30000,0,0.047435450,0.053506501,0.000021820,0.003210994,0.104174765,0.07,0.01,3840
input/test_n1000_m40000_f0_no1.utv,1000,40000,0,0.058468411,0.074381347,0.000017231,0.004681634,0.137548623,0.10,0.01,4996
input/test_n1000_m40000_f0_no2.utv,1000,40000,0,0.064792603,0.074144828,0.000015570,0.004687805,0.143640806,0.09,0.01,4996
input/test_n1000_m40000_f0_no3.utv,1000,40000,0,0.074071069,0.073930219,0.000016556,0.004960211,0.152978055,0.09,0.01,4996
input/test_n1000_m50000_f0_no1.utv,1000,50000,0,0.066089273,0.095032895,0.000020205,0.006262916,0.167405289,0.12,0.02,6060
input/test_n1000_m50000_f0_no2.utv,1000,50000,0,0.066831988,0.095052113,0.000017877,0.006253120,0.168155098,0.12,0.02,6064
input/test_n1000_m50000_f0_no3.utv,1000,50000,0,0.253134710,0.095405107,0.000017582,0.006279404,0.354836803,0.12,0.02,6060
input/test_n1000_m60000_f0_no1.utv,1000,60000,0,0.078508417,0.116087926,0.000022536,0.007921138,0.202540017,0.16,0.02,7000
input/test_n1000_m60000_f0_no2.utv,1000,60000,0,0.077322203,0.116232395,0.000019447,0.007874243,0.201448288,0.15,0.02,7000
input/test_n1000_m60000_f0_no3.utv,1000,60000,0,0.076726189,0.116797071,0.000019713,0.007876372,0.201419345,0.15,0.02,7000
input/test_n1000_m70000_f0_no1.utv,1000,70000,0,0.096566139,0.137724616,0.000020400,0.009518578,0.243829733,0.18,0.02,7932
input/test_n1000_m70000_f0_no2.utv,1000,70000,0,0.087728374,0.137990049,0.000019244,0.009509006,0.235246673,0.19,0.02,7936
input/test_n1000_m70000_f0_no3.utv,1000,70000,0,0.086227735,0.137810487,0.000017929,0.009536809,0.233592960,0.18,0.03,7936
input/test_n1000_m80000_f0_no1.utv,1000,80000,0,0.097529335,0.159769113,0.000018681,0.011187603,0.268504732,0.21,0.03,8876
input/test_n1000_m80000_f0_no2.utv,1000,80000,0,0.101380601,0.158781541,0.000016893,0.011205936,0.271384971,0.21,0.03,8876
input/test_n1000_m80000_f0_no3.utv,1000,80000,0,0.094270800,0.160023808,0.000017526,0.011246776,0.265558910,0.20,0.04,8872
input/test_n1000_m90000_f0_no1.utv,1000,90000,0,0.124936642,0.180900029,0.000022322,0.012952996,0.318811989,0.24,0.03,9808
input/test_n1000_m90000_f0_no2.utv,1000,90000,0,0.109034441,0.182704312,0.000023683,0.012964912,0.304727348,0.25,0.02,9808
input/test_n1000_m90000_f0_no3.utv,1000,90000,0,0.112343203,0.181774581,0.000021198,0.012947551,0.307086533,0.24,0.03,9808
input/test_n1000_m100000_f0_no1.utv,1000,100000,0,0.122667444,0.202917060,0.000019883,0.014613426,0.340217813,0.27,0.04,10744
input/test_n1000_m100000_f0_no2.utv,1000,100000,0,0.114963435,0.203698929,0.000016922,0.014672212,0.333351498,0.27,0.04,10748
