input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kB)
input/test_n1000_m100000_f2_no1.utv,1000,100000,2,0.123905039,0.024748189,10.134381591,0.014869181,10.297904000,10.23,0.04,15612
input/test_n1000_m100000_f2_no2.utv,1000,100000,2,0.117673875,0.019281603,10.189732475,0.014915104,10.341603057,10.28,0.04,15628
input/test_n1000_m100000_f2_no3.utv,1000,100000,2,0.115015267,0.019395981,10.131453205,0.014836611,10.280701064,10.21,0.04,15596
input/test_n2000_m100000_f2_no1.utv,2000,100000,2,0.124677849,0.025037357,23.335074414,0.015084757,23.499874377,23.44,0.03,16008
input/test_n2000_m100000_f2_no2.utv,2000,100000,2,0.117677898,0.026028599,23.193944808,0.015017141,23.352668446,23.29,0.04,15932
input/test_n2000_m100000_f2_no3.utv,2000,100000,2,0.119641960,0.024433250,23.345813946,0.015055926,23.504945082,23.44,0.04,15872
input/test_n3000_m100000_f2_no1.utv,3000,100000,2,0.120982121,0.033045243,39.896888158,0.005264628,40.056180150,40.00,0.04,16284
input/test_n3000_m100000_f2_no2.utv,3000,100000,2,0.132446382,0.033393099,39.433286007,0.005510502,39.604635990,39.54,0.04,16240
input/test_n3000_m100000_f2_no3.utv,3000,100000,2,0.121692255,0.025592417,39.694305423,0.005236125,39.846826220,39.78,0.04,16236
input/test_n4000_m100000_f2_no1.utv,4000,100000,2,0.133937766,0.056971668,59.469234857,0.005507492,59.665651783,59.59,0.05,16652
input/test_n4000_m100000_f2_no2.utv,4000,100000,2,0.124768191,0.038805116,58.997708953,0.005798084,59.167080344,59.11,0.04,16512
input/test_n4000_m100000_f2_no3.utv,4000,100000,2,0.129414804,0.041468373,59.065417565,0.005496943,59.241797685,59.18,0.04,16572
input/test_n5000_m100000_f2_no1.utv,5000,100000,2,0.119339580,0.044201514,81.974421753,0.005614449,82.143577296,82.09,0.05,16868
input/test_n5000_m100000_f2_no2.utv,5000,100000,2,0.138678446,0.039152107,81.857868324,0.005618965,82.041317842,81.96,0.06,16836
input/test_n5000_m100000_f2_no3.utv,5000,100000,2,0.134831986,0.038279331,82.718407605,0.005751960,82.897270882,82.83,0.06,16784
input/test_n6000_m100000_f2_no1.utv,6000,100000,2,0.118315953,0.038812236,108.190717692,0.005680142,108.353526023,108.32,0.04,17032
input/test_n6000_m100000_f2_no2.utv,6000,100000,2,0.143540360,0.051363319,110.246776169,0.110457480,110.552137328,110.38,0.07,17136
