input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kB)
input/test_n1000_m10000_f0_no1.utv,1000,10000,0,0.039872472,0.633500774,0.000058981,0.000893649,0.674325876,0.64,0.00,1528
input/test_n1000_m10000_f0_no2.utv,1000,10000,0,0.040362462,0.642660833,0.000024164,0.000874560,0.683922019,0.65,0.00,1528
input/test_n1000_m10000_f0_no3.utv,1000,10000,0,0.030135131,0.652339736,0.000019592,0.000871074,0.683365533,0.65,0.00,1528
input/test_n1000_m20000_f0_no1.utv,1000,20000,0,0.035051509,1.396866049,0.000021273,0.001801671,1.433740502,1.41,0.00,2692
input/test_n1000_m20000_f0_no2.utv,1000,20000,0,0.155511838,1.392363382,0.000025456,0.001836500,1.549737176,1.40,0.00,2688
input/test_n1000_m20000_f0_no3.utv,1000,20000,0,0.035124563,1.387605248,0.000022044,0.001823730,1.424575585,1.40,0.00,2692
input/test_n1000_m30000_f0_no1.utv,1000,30000,0,0.042870006,2.352246186,0.000018039,0.003144784,2.398279015,2.37,0.01,3848
input/test_n1000_m30000_f0_no2.utv,1000,30000,0,0.046503200,2.351259723,0.000020817,0.003155334,2.400939074,2.37,0.01,3848
input/test_n1000_m30000_f0_no3.utv,1000,30000,0,0.049433555,2.351630776,0.000026568,0.003167618,2.404258517,2.37,0.01,3848
input/test_n1000_m40000_f0_no1.utv,1000,40000,0,0.060928054,3.335483608,0.000027478,0.004690930,3.401130070,3.36,0.01,5008
input/test_n1000_m40000_f0_no2.utv,1000,40000,0,0.060476546,3.308659959,0.000021846,0.004637234,3.373795585,3.34,0.01,5012
input/test_n1000_m40000_f0_no3.utv,1000,40000,0,0.078964964,3.312173586,0.000018873,0.004628152,3.395785575,3.34,0.01,5012
input/test_n1000_m50000_f0_no1.utv,1000,50000,0,0.103300445,4.300470443,0.000026127,0.006184557,4.409981572,4.33,0.02,6072
input/test_n1000_m50000_f0_no2.utv,1000,50000,0,0.075292310,4.292064096,0.000018480,0.006204808,4.373579694,4.32,0.02,6076
input/test_n1000_m50000_f0_no3.utv,1000,50000,0,0.068273068,4.298948776,0.000021268,0.006211648,4.373454760,4.34,0.01,6076
input/test_n1000_m60000_f0_no1.utv,1000,60000,0,0.092524050,5.276734748,0.000023009,0.007818572,5.377100379,5.32,0.02,7012
input/test_n1000_m60000_f0_no2.utv,1000,60000,0,0.075947470,5.262251536,0.000024400,0.007818673,5.346042079,5.30,0.02,7012
input/test_n1000_m60000_f0_no3.utv,1000,60000,0,0.253921604,5.260274692,0.000022606,0.008061040,5.522279942,5.30,0.02,7008
input/test_n1000_m70000_f0_no1.utv,1000,70000,0,0.091079173,6.290528955,0.000020176,0.009474025,6.391102329,6.33,0.03,7948
input/test_n1000_m70000_f0_no2.utv,1000,70000,0,0.749335880,6.256077110,0.000025337,0.009445622,7.014883949,6.30,0.02,7944
input/test_n1000_m70000_f0_no3.utv,1000,70000,0,0.089144484,6.264048355,0.000025515,0.009452853,6.362671207,6.31,0.03,7948
input/test_n1000_m80000_f0_no1.utv,1000,80000,0,0.268043021,7.274766291,0.000021085,0.011140042,7.553970439,7.32,0.03,8884
input/test_n1000_m80000_f0_no2.utv,1000,80000,0,0.102294163,7.319099440,0.000019152,0.011139309,7.432552064,7.38,0.03,8884
input/test_n1000_m80000_f0_no3.utv,1000,80000,0,0.100481938,7.266010908,0.000020453,0.011120952,7.377634251,7.33,0.02,8884
input/test_n1000_m90000_f0_no1.utv,1000,90000,0,0.115532782,8.292786394,0.000024146,0.012843552,8.421186874,8.35,0.03,9824
input/test_n1000_m90000_f0_no2.utv,1000,90000,0,0.129910312,8.329129861,0.000021800,0.012836722,8.471898695,8.39,0.04,9824
input/test_n1000_m90000_f0_no3.utv,1000,90000,0,0.328772016,8.329645149,0.000019214,0.012839972,8.671276351,8.40,0.03,9824
input/test_n1000_m100000_f0_no1.utv,1000,100000,0,0.121704849,9.421574764,0.000020973,0.014687389,9.557987975,9.49,0.04,10756
input/test_n1000_m100000_f0_no2.utv,1000,100000,0,0.120138358,9.322450083,0.000025056,0.014656726,9.457270223,9.38,0.05,10756
input/test_n1000_m100000_f0_no3.utv,1000,100000,0,0.124630200,9.340938768,0.000021407,0.014608997,9.480199372,9.41,0.04,10756
input/test_n1000_m110000_f0_no1.utv,1000,110000,0,0.148827918,10.456364192,0.000019529,0.016481926,10.621693565,10.53,0.04,11696
input/test_n1000_m110000_f0_no2.utv,1000,110000,0,0.128564353,10.442728356,0.000024872,0.016389002,10.587706583,10.52,0.04,11700
input/test_n1000_m110000_f0_no3.utv,1000,110000,0,0.136733844,10.478400672,0.000024486,0.016426710,10.631585712,10.55,0.04,11696
input/test_n1000_m120000_f0_no1.utv,1000,120000,0,0.153941687,11.557504608,0.000025492,0.018293557,11.729765344,11.64,0.06,12636
input/test_n1000_m120000_f0_no2.utv,1000,120000,0,0.149292790,11.462324523,0.000026861,0.018188875,11.629833049,11.56,0.04,12632
input/test_n1000_m120000_f0_no3.utv,1000,120000,0,0.145424136,11.485688231,0.000025852,0.018235895,11.649374114,11.57,0.04,12636
input/test_n1000_m130000_f0_no1.utv,1000,130000,0,0.145656267,12.565654326,0.000033339,0.020189647,12.731533579,12.66,0.05,13572
input/test_n1000_m130000_f0_no2.utv,1000,130000,0,0.262451175,12.674652157,0.000030798,0.020430313,12.957564443,12.77,0.05,13572
input/test_n1000_m130000_f0_no3.utv,1000,130000,0,0.165478589,12.568788459,0.000024622,0.020359106,12.754650776,12.67,0.05,13576
input/test_n1000_m140000_f0_no1.utv,1000,140000,0,0.483370422,13.801463333,0.000027711,0.022122699,14.306984165,13.91,0.05,14508
input/test_n1000_m140000_f0_no2.utv,1000,140000,0,0.159836293,13.744524597,0.000028338,0.022380029,13.926769257,13.83,0.07,14512
input/test_n1000_m140000_f0_no3.utv,1000,140000,0,0.162310307,13.734428357,0.000028202,0.022089705,13.918856571,13.82,0.07,14508
input/test_n1000_m150000_f0_no1.utv,1000,150000,0,0.183102102,15.019979561,0.000031956,0.024175594,15.227289213,15.13,0.06,15444
