input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kB)
input/test_n1000_m100000_f0_no1.utv,1000,100000,0,0.129221369,9.461503729,0.000024756,0.015022071,9.605771925,9.53,0.04,10756
input/test_n1000_m100000_f0_no2.utv,1000,100000,0,0.152840263,9.347381934,0.000034165,0.014922510,9.515178872,9.43,0.02,10756
input/test_n1000_m100000_f0_no3.utv,1000,100000,0,0.123327530,9.387824372,0.000031702,0.014799889,9.525983493,9.46,0.04,10756
input/test_n2000_m100000_f0_no1.utv,2000,100000,0,0.137950092,19.105519246,0.000028792,0.015141125,19.258639255,19.18,0.04,10856
input/test_n2000_m100000_f0_no2.utv,2000,100000,0,0.751605788,19.386334754,0.000038150,0.015222372,20.153201064,19.46,0.04,10856
input/test_n2000_m100000_f0_no3.utv,2000,100000,0,0.123416147,19.018234464,0.000030948,0.015333419,19.157014978,19.09,0.04,10856
input/test_n3000_m100000_f0_no1.utv,3000,100000,0,0.121884044,28.868153490,0.000025853,0.005431657,28.995495044,28.94,0.04,10952
input/test_n3000_m100000_f0_no2.utv,3000,100000,0,0.122292729,28.819152877,0.000020856,0.005152840,28.946619302,28.88,0.04,10952
input/test_n3000_m100000_f0_no3.utv,3000,100000,0,0.144974683,28.625287646,0.000025747,0.005139839,28.775427915,28.69,0.04,10956
input/test_n4000_m100000_f0_no1.utv,4000,100000,0,0.139287517,38.454907231,0.000025880,0.005145335,38.599365963,38.53,0.04,11040
input/test_n4000_m100000_f0_no2.utv,4000,100000,0,0.135718790,38.165113589,0.000024310,0.005124056,38.305980745,38.24,0.05,11044
input/test_n4000_m100000_f0_no3.utv,4000,100000,0,0.123412550,38.295290799,0.000024581,0.005144493,38.423872423,38.36,0.04,11044
input/test_n5000_m100000_f0_no1.utv,5000,100000,0,0.136129722,48.171750251,0.000030416,0.005767360,48.313677749,48.26,0.03,11140
