input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,algorithm,user,system,maximum resident set size (kB)
input/test_n1000_m10000_f1_no1.utv,1000,10000,2,0,12,0,0.019854265,0.004524291,0.001033324,0.000165798,0.005723413,0.00,0.00,2852
input/test_n1000_m10000_f1_no2.utv,1000,10000,2,0,13,0,0.016188230,0.004455964,0.001062595,0.000112596,0.005631155,0.00,0.00,2852
input/test_n1000_m10000_f1_no3.utv,1000,10000,2,0,17,0,0.017097687,0.004888072,0.001004637,0.000131811,0.006024520,0.00,0.00,2852
input/test_n1000_m20000_f1_no1.utv,1000,20000,1,0,14,0,0.027692211,0.009291405,0.002790866,0.001016009,0.013098280,0.02,0.00,5260
input/test_n1000_m20000_f1_no2.utv,1000,20000,1,0,12,0,0.036286141,0.008491976,0.002647253,0.000971135,0.012110364,0.01,0.00,5256
input/test_n1000_m20000_f1_no3.utv,1000,20000,2,0,12,0,0.024546588,0.008035405,0.001479619,0.000194997,0.009710021,0.01,0.00,5264
input/test_n1000_m30000_f1_no1.utv,1000,30000,2,0,13,0,0.029576897,0.013005515,0.002067953,0.000147541,0.015221009,0.02,0.00,7676
input/test_n1000_m30000_f1_no2.utv,1000,30000,1,0,7,0,0.030556938,0.010393683,0.004218017,0.001439657,0.016051357,0.02,0.00,7672
input/test_n1000_m30000_f1_no3.utv,1000,30000,1,0,6,0,0.029209609,0.011134273,0.004383462,0.001551179,0.017068914,0.02,0.00,7676
input/test_n1000_m40000_f1_no1.utv,1000,40000,1,0,7,0,0.034026804,0.015161910,0.005226776,0.001956077,0.022344763,0.03,0.00,10088
input/test_n1000_m40000_f1_no2.utv,1000,40000,1,0,7,0,0.037648093,0.014747054,0.005142623,0.001948001,0.021837678,0.03,0.00,10080
input/test_n1000_m40000_f1_no3.utv,1000,40000,1,0,8,0,0.037729388,0.014910913,0.005196273,0.002013846,0.022121032,0.03,0.00,10088
input/test_n1000_m50000_f1_no1.utv,1000,50000,2,0,5,0,0.040585592,0.017727417,0.003417975,0.000163125,0.021308517,0.03,0.00,12396
input/test_n1000_m50000_f1_no2.utv,1000,50000,1,0,5,0,0.042517850,0.017341776,0.006975918,0.002486041,0.026803735,0.03,0.00,12392
input/test_n1000_m50000_f1_no3.utv,1000,50000,1,0,8,0,0.035829791,0.019297247,0.006930413,0.002537441,0.028765101,0.04,0.00,12400
input/test_n1000_m60000_f1_no1.utv,1000,60000,1,0,6,0,0.043086673,0.022579011,0.007649150,0.002980866,0.033209027,0.05,0.00,14580
input/test_n1000_m60000_f1_no2.utv,1000,60000,2,0,8,0,0.054973372,0.024619125,0.004139978,0.000129355,0.028888458,0.04,0.00,14584
input/test_n1000_m60000_f1_no3.utv,1000,60000,2,0,10,0,0.037937209,0.025547455,0.004014855,0.000161577,0.029723887,0.04,0.00,14580
input/test_n1000_m70000_f1_no1.utv,1000,70000,2,0,6,0,0.042343093,0.027776299,0.004705759,0.000167297,0.032649355,0.05,0.00,16772
input/test_n1000_m70000_f1_no2.utv,1000,70000,1,0,5,0,0.044780554,0.026721336,0.010255701,0.003934949,0.040911986,0.06,0.00,16768
input/test_n1000_m70000_f1_no3.utv,1000,70000,1,0,9,0,0.047719245,0.030683565,0.010249024,0.003924483,0.044857072,0.06,0.00,16772
input/test_n1000_m80000_f1_no1.utv,1000,80000,1,0,6,0,0.050456062,0.033704037,0.011051278,0.004273750,0.049029065,0.06,0.00,18956
input/test_n1000_m80000_f1_no2.utv,1000,80000,2,0,5,0,0.048117167,0.033171551,0.005635343,0.000197994,0.039004888,0.06,0.00,18956
input/test_n1000_m80000_f1_no3.utv,1000,80000,2,0,5,0,0.049478788,0.032647952,0.005525484,0.000191903,0.038365339,0.05,0.00,18960
input/test_n1000_m90000_f1_no1.utv,1000,90000,2,0,6,0,0.047248486,0.041707152,0.006474304,0.000224593,0.048406049,0.06,0.01,21148
input/test_n1000_m90000_f1_no2.utv,1000,90000,1,0,3,0,0.054863767,0.039183326,0.013613655,0.005450255,0.058247236,0.08,0.00,21144
input/test_n1000_m90000_f1_no3.utv,1000,90000,1,0,6,0,0.051827094,0.040553397,0.012750442,0.005117273,0.058421112,0.08,0.00,21148
input/test_n1000_m100000_f1_no1.utv,1000,100000,1,0,4,0,0.037394992,0.045841667,0.019161412,0.008754468,0.073757547,0.09,0.01,23332
input/test_n1000_m100000_f1_no2.utv,1000,100000,1,0,5,0,0.037031692,0.046875208,0.020509736,0.008969108,0.076354052,0.09,0.01,23332
input/test_n1000_m100000_f1_no3.utv,1000,100000,2,0,4,0,0.038330730,0.045271907,0.007847621,0.001212282,0.054331810,0.08,0.01,23332
input/test_n1000_m110000_f1_no1.utv,1000,110000,2,0,4,0,0.058886954,0.053936289,0.009899722,0.000266117,0.064102128,0.09,0.01,25524
input/test_n1000_m110000_f1_no2.utv,1000,110000,1,0,4,0,0.061258474,0.053369012,0.020964955,0.008447016,0.082780983,0.11,0.00,25520
input/test_n1000_m110000_f1_no3.utv,1000,110000,1,0,4,0,0.059516163,0.052708248,0.021417993,0.008320315,0.082446556,0.11,0.00,25520
input/test_n1000_m120000_f1_no1.utv,1000,120000,1,0,5,0,0.061039527,0.062136478,0.029932021,0.011911315,0.103979814,0.13,0.01,27708
input/test_n1000_m120000_f1_no2.utv,1000,120000,1,0,5,0,0.066871656,0.061992894,0.030122550,0.011556915,0.103672359,0.13,0.01,27704
input/test_n1000_m120000_f1_no3.utv,1000,120000,2,0,4,0,0.065159824,0.060029842,0.013278161,0.000230649,0.073538652,0.10,0.01,27708
input/test_n1000_m130000_f1_no1.utv,1000,130000,1,0,5,0,0.069361960,0.070154360,0.030516712,0.012653210,0.113324282,0.14,0.01,29900
input/test_n1000_m130000_f1_no2.utv,1000,130000,2,0,5,0,0.065930172,0.069297976,0.014822845,0.000299678,0.084420499,0.12,0.00,29896
input/test_n1000_m130000_f1_no3.utv,1000,130000,1,0,5,0,0.065737801,0.068883238,0.028957855,0.011876001,0.109717094,0.14,0.01,29892
input/test_n1000_m140000_f1_no1.utv,1000,140000,1,0,5,0,0.069149377,0.077646638,0.034190172,0.014357155,0.126193965,0.16,0.01,32084
input/test_n1000_m140000_f1_no2.utv,1000,140000,2,0,4,0,0.069035119,0.073894366,0.017839181,0.000232775,0.091966322,0.13,0.01,32084
input/test_n1000_m140000_f1_no3.utv,1000,140000,2,0,8,0,0.072117548,0.083840146,0.017162561,0.000243024,0.101245731,0.13,0.01,32084
input/test_n1000_m150000_f1_no1.utv,1000,150000,2,0,5,0,0.076128245,0.085460919,0.020860026,0.000202689,0.106523634,0.14,0.01,34272
input/test_n1000_m150000_f1_no2.utv,1000,150000,1,0,4,0,0.073389110,0.083108997,0.040250515,0.017589846,0.140949358,0.18,0.01,34268
input/test_n1000_m150000_f1_no3.utv,1000,150000,1,0,5,0,0.076485075,0.085734753,0.040320892,0.018342717,0.144398362,0.18,0.01,34268
input/test_n1000_m160000_f1_no1.utv,1000,160000,1,0,5,0,0.073194435,0.091225463,0.046820120,0.019489082,0.157534665,0.20,0.01,36456
input/test_n1000_m160000_f1_no2.utv,1000,160000,2,0,3,0,0.077684829,0.087661586,0.023368578,0.000289192,0.111319356,0.15,0.01,36456
input/test_n1000_m160000_f1_no3.utv,1000,160000,2,0,4,0,0.074410958,0.090899731,0.023624401,0.000228015,0.114752147,0.15,0.02,36452
input/test_n1000_m170000_f1_no1.utv,1000,170000,2,0,5,0,0.080658839,0.097985312,0.026479365,0.000280227,0.124744904,0.16,0.02,38640
input/test_n1000_m170000_f1_no2.utv,1000,170000,1,0,6,0,0.079577760,0.101098743,0.057752153,0.023305615,0.182156511,0.23,0.01,38648
input/test_n1000_m170000_f1_no3.utv,1000,170000,1,0,5,0,0.076099157,0.098082765,0.061177075,0.022922855,0.182182695,0.22,0.01,38644
input/test_n1000_m180000_f1_no1.utv,1000,180000,2,0,5,0,0.084781094,0.104458712,0.029318334,0.000284463,0.134061509,0.18,0.01,40832
input/test_n1000_m180000_f1_no2.utv,1000,180000,1,0,5,0,0.082857934,0.107344699,0.058733990,0.025175937,0.191254626,0.24,0.01,40832
