input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,algorithm,user,system,maximum resident set size (kB)
input/test_n1000_m100000_f2_no1.utv,1000,100000,2,0,8,0,0.125580967,0.051111706,0.008002406,0.000645277,0.059759389,0.08,0.00,23332
input/test_n1000_m100000_f2_no2.utv,1000,100000,2,0,5,0,0.054316888,0.047116968,0.007569680,0.000281032,0.054967680,0.08,0.01,23328
input/test_n1000_m100000_f2_no3.utv,1000,100000,2,0,7,0,0.056417279,0.049251480,0.007712453,0.000319975,0.057283908,0.07,0.01,23336
input/test_n2000_m100000_f2_no1.utv,2000,100000,2,0,9,0,0.038562799,0.052230529,0.008401279,0.000310121,0.060941929,0.09,0.00,23504
input/test_n2000_m100000_f2_no2.utv,2000,100000,2,0,6,0,0.057126773,0.048752439,0.008848649,0.000266049,0.057867137,0.08,0.01,23500
input/test_n2000_m100000_f2_no3.utv,2000,100000,2,0,9,0,0.063230944,0.053650860,0.008950689,0.000310961,0.062912510,0.08,0.01,23504
input/test_n3000_m100000_f2_no1.utv,3000,100000,2,0,9,0,0.054300894,0.053267753,0.009504246,0.000309862,0.063081861,0.09,0.00,23672
input/test_n3000_m100000_f2_no2.utv,3000,100000,2,0,10,0,0.055762811,0.054874934,0.009394481,0.000301755,0.064571170,0.09,0.00,23676
input/test_n3000_m100000_f2_no3.utv,3000,100000,2,0,10,0,0.053747897,0.054618735,0.009547784,0.000371071,0.064537590,0.08,0.01,23672
input/test_n4000_m100000_f2_no1.utv,4000,100000,2,0,19,0,0.063525934,0.071635828,0.009931536,0.000393949,0.081961313,0.11,0.00,23848
input/test_n4000_m100000_f2_no2.utv,4000,100000,2,0,11,0,0.063850037,0.056952381,0.010150781,0.000337246,0.067440408,0.08,0.01,23844
input/test_n4000_m100000_f2_no3.utv,4000,100000,2,0,11,0,0.060689667,0.057375596,0.009841477,0.000380111,0.067597184,0.09,0.01,23848
input/test_n5000_m100000_f2_no1.utv,5000,100000,2,0,12,0,0.059093416,0.058703675,0.010445094,0.000358294,0.069507063,0.09,0.00,24012
input/test_n5000_m100000_f2_no2.utv,5000,100000,2,0,11,0,0.062185824,0.061345455,0.011399495,0.000346373,0.073091323,0.09,0.01,24016
input/test_n5000_m100000_f2_no3.utv,5000,100000,2,0,10,0,0.054650267,0.055797862,0.010209102,0.000368371,0.066375335,0.09,0.00,24016
input/test_n6000_m100000_f2_no1.utv,6000,100000,2,0,12,0,0.059658867,0.058093125,0.011204014,0.000700066,0.069997205,0.09,0.01,24188
input/test_n6000_m100000_f2_no2.utv,6000,100000,2,0,15,0,0.070272528,0.067848219,0.012209957,0.000494621,0.080552797,0.10,0.01,24188
input/test_n6000_m100000_f2_no3.utv,6000,100000,2,0,13,0,0.058380878,0.062116810,0.011137483,0.000406132,0.073660425,0.10,0.01,24192
input/test_n7000_m100000_f2_no1.utv,7000,100000,0,0,18,33,0.057338837,0.067837306,0.000033057,0.006677361,0.074547724,0.10,0.01,24360
input/test_n7000_m100000_f2_no2.utv,7000,100000,2,0,17,0,0.059701661,0.068025709,0.012367281,0.000493371,0.080886361,0.10,0.00,24356
input/test_n7000_m100000_f2_no3.utv,7000,100000,2,0,19,0,0.053232426,0.070147782,0.011994625,0.000393266,0.082535673,0.11,0.00,24364
input/test_n8000_m100000_f2_no1.utv,8000,100000,2,0,19,0,0.053873289,0.070208041,0.014434475,0.000424009,0.085066525,0.11,0.01,24528
input/test_n8000_m100000_f2_no2.utv,8000,100000,2,0,17,0,0.053867729,0.068002133,0.013717484,0.000483029,0.082202646,0.10,0.01,24532
input/test_n8000_m100000_f2_no3.utv,8000,100000,2,0,21,0,0.057143268,0.075105683,0.013700718,0.000461374,0.089267775,0.12,0.00,24532
input/test_n9000_m100000_f2_no1.utv,9000,100000,2,0,20,0,0.055773563,0.073189691,0.016766767,0.000537970,0.090494428,0.11,0.01,24704
input/test_n9000_m100000_f2_no2.utv,9000,100000,2,0,17,0,0.063118204,0.067572039,0.016450082,0.000480368,0.084502489,0.11,0.00,24700
input/test_n9000_m100000_f2_no3.utv,9000,100000,2,0,19,0,0.061969589,0.070935261,0.018019915,0.000443572,0.089398748,0.12,0.00,24704
input/test_n10000_m100000_f2_no1.utv,10000,100000,2,0,20,0,0.038844789,0.073326382,0.022099446,0.000528899,0.095954727,0.12,0.01,24880
input/test_n10000_m100000_f2_no2.utv,10000,100000,2,0,30,0,0.063315843,0.088663635,0.022496662,0.000532676,0.111692973,0.14,0.00,24872
input/test_n10000_m100000_f2_no3.utv,10000,100000,2,0,16,0,0.057690851,0.065345755,0.021281418,0.000479851,0.087107024,0.11,0.01,24872
input/test_n11000_m100000_f2_no1.utv,11000,100000,2,0,23,0,0.064559019,0.079740021,0.032048525,0.000556755,0.112345301,0.13,0.01,25048
input/test_n11000_m100000_f2_no2.utv,11000,100000,2,0,17,0,0.145304651,0.068944043,0.031193874,0.000559773,0.100697690,0.12,0.00,25052
input/test_n11000_m100000_f2_no3.utv,11000,100000,2,0,20,0,0.065145927,0.073194157,0.029794493,0.000484010,0.103472660,0.13,0.00,25048
input/test_n12000_m100000_f2_no1.utv,12000,100000,2,0,26,0,0.126035016,0.084723556,0.043672309,0.000565331,0.128961196,0.15,0.00,25220
input/test_n12000_m100000_f2_no2.utv,12000,100000,2,0,28,0,0.054428892,0.088443331,0.039844548,0.000572787,0.128860666,0.15,0.01,25220
input/test_n12000_m100000_f2_no3.utv,12000,100000,2,0,25,0,0.053774905,0.085335416,0.042472878,0.000621185,0.128429479,0.15,0.01,25216
input/test_n13000_m100000_f2_no1.utv,13000,100000,2,0,21,0,0.056687501,0.076332056,0.062697439,0.000555688,0.139585183,0.16,0.01,25392
input/test_n13000_m100000_f2_no2.utv,13000,100000,2,0,31,0,0.055787472,0.094623422,0.059307408,0.000595005,0.154525835,0.18,0.00,25392
input/test_n13000_m100000_f2_no3.utv,13000,100000,2,0,28,0,0.068230994,0.088213096,0.057132363,0.000669490,0.146014949,0.16,0.01,25392
