input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,algorithm,user,system,maximum resident set size (kB)
input/test_n1000_m10000_f1_no1.utv,1000,10000,2,0,13,0,0.020586091,0.005806274,1.687971214,0.000951453,1.694728941,1.69,0.00,2196
input/test_n1000_m10000_f1_no2.utv,1000,10000,2,0,13,0,0.022924855,0.005918363,1.736334491,0.001100827,1.743353681,1.71,0.00,2192
input/test_n1000_m10000_f1_no3.utv,1000,10000,2,0,16,0,0.023021283,0.006969215,1.701096690,0.000906017,1.708971922,1.71,0.00,2208
input/test_n1000_m20000_f1_no1.utv,1000,20000,1,0,13,0,0.024308830,0.012100544,0.003854015,0.001775694,0.017730253,0.02,0.00,3964
input/test_n1000_m20000_f1_no2.utv,1000,20000,1,0,11,0,0.042008658,0.010225094,0.003799609,0.001820821,0.015845524,0.02,0.00,3964
input/test_n1000_m20000_f1_no3.utv,1000,20000,2,0,12,0,0.022770874,0.010726009,2.359157529,0.001791598,2.371675136,2.37,0.00,3968
input/test_n1000_m30000_f1_no1.utv,1000,30000,2,0,14,0,0.026543128,0.020204741,3.118212336,0.003236729,3.141653806,3.14,0.00,5756
input/test_n1000_m30000_f1_no2.utv,1000,30000,1,0,7,0,0.047683919,0.013086318,0.004610551,0.003006644,0.020703513,0.02,0.00,5756
input/test_n1000_m30000_f1_no3.utv,1000,30000,1,0,7,0,0.035891994,0.012737418,0.005042827,0.003027866,0.020808111,0.02,0.00,5752
input/test_n1000_m40000_f1_no1.utv,1000,40000,1,0,8,0,0.032677012,0.019028406,0.006073482,0.004487432,0.029589320,0.03,0.00,7536
input/test_n1000_m40000_f1_no2.utv,1000,40000,1,0,5,0,0.035023639,0.014124661,0.006381689,0.004329514,0.024835864,0.03,0.00,7536
input/test_n1000_m40000_f1_no3.utv,1000,40000,1,0,8,0,0.038338681,0.018622519,0.005888637,0.004518541,0.029029697,0.03,0.00,7540
input/test_n1000_m50000_f1_no1.utv,1000,50000,2,0,7,0,0.039106186,0.021773091,4.779175511,0.006219172,4.807167774,4.81,0.00,9224
input/test_n1000_m50000_f1_no2.utv,1000,50000,1,0,6,0,0.037814555,0.020958164,0.007883685,0.006018152,0.034860001,0.04,0.00,9224
input/test_n1000_m50000_f1_no3.utv,1000,50000,1,0,7,0,0.039097591,0.022756652,0.007281022,0.006231827,0.036269501,0.04,0.00,9224
