input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,algorithm,user,system,maximum resident set size (kB)
input/test_n1000_m100000_f0_no1.utv,1000,100000,0,0,1,6,0.131702642,0.022443081,0.000029295,0.017630127,0.040102503,0.06,0.01,17040
input/test_n1000_m100000_f0_no2.utv,1000,100000,0,0,1,7,0.060656177,0.021438317,0.000029752,0.017286446,0.038754515,0.06,0.00,17036
input/test_n1000_m100000_f0_no3.utv,1000,100000,0,0,1,6,0.047816142,0.021225227,0.000026858,0.017697533,0.038949618,0.06,0.00,17040
input/test_n2000_m100000_f0_no1.utv,2000,100000,0,0,1,15,0.066186876,0.021683776,0.000026857,0.018141602,0.039852235,0.07,0.00,17144
input/test_n2000_m100000_f0_no2.utv,2000,100000,0,0,2,23,0.053195183,0.026856831,0.000033452,0.017911265,0.044801548,0.07,0.00,17148
input/test_n2000_m100000_f0_no3.utv,2000,100000,0,0,1,12,0.067153435,0.022564097,0.000027115,0.018328524,0.040919736,0.06,0.01,17144
input/test_n3000_m100000_f0_no1.utv,3000,100000,0,0,1,24,0.056109654,0.022945642,0.000026583,0.005777023,0.028749248,0.06,0.00,17268
input/test_n3000_m100000_f0_no2.utv,3000,100000,0,0,1,17,0.062821972,0.023364999,0.000028377,0.005721572,0.029114948,0.05,0.00,17264
input/test_n3000_m100000_f0_no3.utv,3000,100000,0,0,1,29,0.054052963,0.022500349,0.000026858,0.005647754,0.028174961,0.05,0.00,17264
input/test_n4000_m100000_f0_no1.utv,4000,100000,0,0,1,20,0.056410426,0.023445313,0.000027464,0.005799505,0.029272282,0.06,0.00,17372
input/test_n4000_m100000_f0_no2.utv,4000,100000,0,0,1,8,0.058572420,0.022111478,0.000026226,0.005583815,0.027721519,0.05,0.00,17372
input/test_n4000_m100000_f0_no3.utv,4000,100000,0,0,1,9,0.053925359,0.022677366,0.000025251,0.006086589,0.028789206,0.05,0.00,17372
input/test_n5000_m100000_f0_no1.utv,5000,100000,0,0,1,24,0.051263989,0.022381878,0.000030083,0.005879409,0.028291370,0.06,0.00,17480
input/test_n5000_m100000_f0_no2.utv,5000,100000,0,0,2,17,0.052688123,0.026856013,0.000025238,0.005442675,0.032323926,0.06,0.00,17480
input/test_n5000_m100000_f0_no3.utv,5000,100000,0,0,1,26,0.059739276,0.022160092,0.000031263,0.005531131,0.027722486,0.05,0.00,17484
input/test_n6000_m100000_f0_no1.utv,6000,100000,0,0,1,55,0.057120905,0.022309235,0.000043757,0.004843940,0.027196932,0.05,0.01,17592
input/test_n6000_m100000_f0_no2.utv,6000,100000,0,0,3,21,0.054791822,0.031697281,0.000033329,0.005604874,0.037335484,0.06,0.00,17592
input/test_n6000_m100000_f0_no3.utv,6000,100000,0,0,2,14,0.054037088,0.027243036,0.000023935,0.005659472,0.032926443,0.06,0.00,17592
input/test_n7000_m100000_f0_no1.utv,7000,100000,0,0,2,38,0.144648442,0.025420700,0.000031182,0.004735780,0.030187662,0.05,0.01,17696
input/test_n7000_m100000_f0_no2.utv,7000,100000,0,0,2,47,0.054723961,0.027970988,0.000034962,0.005794326,0.033800276,0.06,0.00,17692
input/test_n7000_m100000_f0_no3.utv,7000,100000,0,0,1,11,0.054052464,0.021804323,0.000022121,0.004940805,0.026767249,0.05,0.00,17700
input/test_n8000_m100000_f0_no1.utv,8000,100000,0,0,1,6,0.063827597,0.023456772,0.000024009,0.005834918,0.029315699,0.05,0.00,17808
input/test_n8000_m100000_f0_no2.utv,8000,100000,0,0,1,12,0.079683847,0.022659192,0.000022852,0.005868842,0.028550886,0.06,0.00,17808
input/test_n8000_m100000_f0_no3.utv,8000,100000,0,0,1,5,0.489556696,0.022549995,0.000025403,0.005753927,0.028329325,0.05,0.00,17812
input/test_n9000_m100000_f0_no1.utv,9000,100000,0,0,1,8,0.159898744,0.022470168,0.000021182,0.005325585,0.027816935,0.06,0.00,17920
input/test_n9000_m100000_f0_no2.utv,9000,100000,0,0,1,48,0.094543983,0.022805635,0.000032157,0.005771663,0.028609455,0.05,0.01,17924
input/test_n9000_m100000_f0_no3.utv,9000,100000,0,0,1,4,0.059403646,0.021647328,0.000024096,0.005862909,0.027534333,0.05,0.00,17924
