input file,nodes,edges,parse,finalization,relaxation,cleanup,total,user,system,maximum resident set size (kb)
test_n1000_m10000_f0_no1.utv,1000,10000,0.021762,0.000157,1.068776,0.001724,1.092812,1.09,0.00,2784
test_n1000_m10000_f0_no2.utv,1000,10000,0.021718,0.000165,1.083832,0.003636,1.109843,1.10,0.01,2780
test_n1000_m10000_f0_no3.utv,1000,10000,0.022690,0.000160,1.087104,0.001680,1.111954,1.10,0.01,2784
test_n1000_m20000_f0_no1.utv,1000,20000,0.040748,0.000181,2.190372,0.005706,2.237328,2.22,0.01,3744
test_n1000_m20000_f0_no2.utv,1000,20000,0.043028,0.000193,2.188657,0.003434,2.235644,2.22,0.01,3736
test_n1000_m20000_f0_no3.utv,1000,20000,0.041359,0.000186,2.189654,0.003376,2.234928,2.22,0.00,3716
test_n1000_m30000_f0_no1.utv,1000,30000,0.061815,0.000228,3.299165,0.005316,3.366877,3.34,0.02,4688
test_n1000_m30000_f0_no2.utv,1000,30000,0.060382,0.000223,3.297104,0.005254,3.363374,3.34,0.02,4620
test_n1000_m30000_f0_no3.utv,1000,30000,0.060990,0.000231,3.307103,0.005124,3.373801,3.35,0.02,4672
test_n1000_m40000_f0_no1.utv,1000,40000,0.081614,0.000262,4.441288,0.007050,4.530605,4.51,0.01,5628
test_n1000_m40000_f0_no2.utv,1000,40000,0.079909,0.000270,4.537672,0.007261,4.625508,4.59,0.03,5608
test_n1000_m40000_f0_no3.utv,1000,40000,0.080043,0.000255,4.551884,0.011765,4.644277,4.63,0.01,5660
test_n1000_m50000_f0_no1.utv,1000,50000,0.100660,0.000297,6.067171,0.010105,6.178650,6.15,0.02,6520
test_n1000_m50000_f0_no2.utv,1000,50000,0.100048,0.000313,6.048923,0.009903,6.159654,6.12,0.04,6492
test_n1000_m50000_f0_no3.utv,1000,50000,0.099649,0.000301,5.915266,0.009907,6.025548,6.00,0.02,6600
test_n1000_m60000_f0_no1.utv,1000,60000,0.120103,0.000329,9.897178,0.014752,10.032846,9.99,0.04,7428
test_n1000_m60000_f0_no2.utv,1000,60000,0.120363,0.000326,10.003086,0.015620,10.139845,10.09,0.04,7480
test_n1000_m60000_f0_no3.utv,1000,60000,0.119949,0.000325,9.656867,0.015300,9.792986,9.74,0.04,7428
test_n1000_m70000_f0_no1.utv,1000,70000,0.140062,0.000352,16.515085,0.022022,16.677998,16.62,0.05,8420
test_n1000_m70000_f0_no2.utv,1000,70000,0.139137,0.000314,16.290033,0.022431,16.452398,16.40,0.05,8472
test_n1000_m70000_f0_no3.utv,1000,70000,0.140475,0.000333,17.417372,0.024090,17.582712,17.53,0.04,8396
test_n1000_m80000_f0_no1.utv,1000,80000,0.166239,0.000338,28.071039,0.036159,28.274193,28.20,0.07,9356
test_n1000_m80000_f0_no2.utv,1000,80000,0.162471,0.000363,28.073616,0.032581,28.269497,28.22,0.04,9328
test_n1000_m80000_f0_no3.utv,1000,80000,0.164732,0.000370,28.924631,0.035085,29.125229,29.03,0.09,9316
test_n1000_m90000_f0_no1.utv,1000,90000,0.187538,0.000370,37.398933,0.048498,37.635880,37.55,0.08,10240
test_n1000_m90000_f0_no2.utv,1000,90000,0.191985,0.000356,37.357803,0.050113,37.600761,37.44,0.16,10312
test_n1000_m90000_f0_no3.utv,1000,90000,0.189558,0.000342,35.432468,0.047712,35.670528,35.58,0.08,10300
test_n1000_m100000_f0_no1.utv,1000,100000,0.202362,0.000353,47.100166,0.064927,47.368279,47.28,0.09,11232
test_n1000_m100000_f0_no2.utv,1000,100000,0.202545,0.000370,45.781765,0.061763,46.046856,45.98,0.06,11188
test_n1000_m100000_f0_no3.utv,1000,100000,0.205845,0.000330,45.822449,0.062879,46.091988,46.05,0.04,11220
test_n1000_m110000_f0_no1.utv,1000,110000,0.226294,0.000358,56.426537,0.073941,56.727558,56.65,0.08,12168
test_n1000_m110000_f0_no2.utv,1000,110000,0.223514,0.000338,56.133381,0.074127,56.431774,56.34,0.09,12168
test_n1000_m110000_f0_no3.utv,1000,110000,0.223281,0.000345,53.979431,0.075586,54.279167,54.19,0.08,12148
test_n1000_m120000_f0_no1.utv,1000,120000,0.242627,0.000343,61.690392,0.081679,62.015541,61.90,0.11,13104
test_n1000_m120000_f0_no2.utv,1000,120000,0.237881,0.000369,62.351238,0.085912,62.675781,62.61,0.06,13060
test_n1000_m120000_f0_no3.utv,1000,120000,0.239151,0.000321,62.986763,0.088685,63.315434,63.22,0.08,13084
test_n1000_m130000_f0_no1.utv,1000,130000,0.262967,0.000358,71.921867,0.103593,72.289284,72.16,0.13,14072
test_n1000_m130000_f0_no2.utv,1000,130000,0.263013,0.000374,74.279633,0.100372,74.643867,74.59,0.05,14096
test_n1000_m130000_f0_no3.utv,1000,130000,0.263367,0.000387,78.298813,0.105614,78.668549,78.58,0.08,14004
test_n1000_m140000_f0_no1.utv,1000,140000,0.284273,0.000402,81.553780,0.108527,81.947426,81.84,0.10,14980
test_n1000_m140000_f0_no2.utv,1000,140000,0.277437,0.000327,83.524757,0.117517,83.920479,83.79,0.12,14940
test_n1000_m140000_f0_no3.utv,1000,140000,0.286717,0.000410,81.501404,0.109378,81.898285,81.82,0.08,14980
test_n1000_m150000_f0_no1.utv,1000,150000,0.297946,0.000346,91.032845,0.130224,91.461823,91.39,0.07,15920
test_n1000_m150000_f0_no2.utv,1000,150000,0.305110,0.000363,91.906120,0.132912,92.344978,92.23,0.11,15944
