input file,nodes,edges,parse,finalization,relaxation,cleanup,total,user,system,maximum resident set size (kb)
test_n1000_m10000_f2_no1.utv,1000,10000,0.022667,0.000161,0.779767,0.001758,0.805538,0.80,0.00,2784
test_n1000_m10000_f2_no2.utv,1000,10000,0.021335,0.000164,0.775504,0.001782,0.799963,0.79,0.01,2796
test_n1000_m10000_f2_no3.utv,1000,10000,0.021905,0.000158,0.765610,0.001616,0.790361,0.78,0.00,2804
test_n1000_m20000_f2_no1.utv,1000,20000,0.040789,0.000189,1.588413,0.003396,1.633872,1.61,0.02,3720
test_n1000_m20000_f2_no2.utv,1000,20000,0.040815,0.000179,1.587136,0.003621,1.632981,1.62,0.01,3764
test_n1000_m20000_f2_no3.utv,1000,20000,0.041613,0.000194,1.894488,0.003600,1.941010,1.92,0.01,3780
test_n1000_m30000_f2_no1.utv,1000,30000,0.063047,0.000213,2.457335,0.005313,2.526827,2.49,0.03,4728
test_n1000_m30000_f2_no2.utv,1000,30000,0.061740,0.000226,2.937515,0.005658,3.006065,2.99,0.01,4636
test_n1000_m30000_f2_no3.utv,1000,30000,0.060376,0.000226,2.456806,0.005282,2.523608,2.51,0.01,4712
test_n1000_m40000_f2_no1.utv,1000,40000,0.080504,0.000263,3.387290,0.007170,3.476118,3.45,0.02,5644
test_n1000_m40000_f2_no2.utv,1000,40000,0.084140,0.000291,4.099468,0.007949,4.192810,4.16,0.02,5616
test_n1000_m40000_f2_no3.utv,1000,40000,0.080812,0.000276,3.372937,0.007212,3.462099,3.43,0.02,5596
test_n1000_m50000_f2_no1.utv,1000,50000,0.101191,0.000275,4.916697,0.010443,5.029549,4.99,0.03,6544
test_n1000_m50000_f2_no2.utv,1000,50000,0.101533,0.000269,5.390007,0.011180,5.504375,5.48,0.02,6548
test_n1000_m50000_f2_no3.utv,1000,50000,0.100149,0.000269,4.663162,0.011454,4.776323,4.74,0.03,6536
