input file,nodes,edges,parse,finalization,relaxation,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m10000_f0_no1.utv,1000,10000,0.023222,0.000089,1.252460,0.001802,1.277898,1.26,0.01,2784
input/test_n1000_m10000_f0_no2.utv,1000,10000,0.022771,0.000081,1.260409,0.001833,1.285396,1.27,0.01,2784
input/test_n1000_m10000_f0_no3.utv,1000,10000,0.022700,0.000076,1.266479,0.001833,1.291397,1.29,0.00,2784
input/test_n1000_m20000_f0_no1.utv,1000,20000,0.041048,0.000131,2.386163,0.003548,2.431256,2.40,0.02,3760
input/test_n1000_m20000_f0_no2.utv,1000,20000,0.041705,0.000148,2.382593,0.003515,2.428334,2.41,0.01,3728
input/test_n1000_m20000_f0_no3.utv,1000,20000,0.041423,0.000123,2.590320,0.003790,2.636112,2.63,0.00,3728
input/test_n1000_m30000_f0_no1.utv,1000,30000,0.061894,0.000240,4.067202,0.006056,4.135778,4.12,0.01,4644
input/test_n1000_m30000_f0_no2.utv,1000,30000,0.061350,0.000318,4.026588,0.005954,4.094602,4.08,0.01,4672
input/test_n1000_m30000_f0_no3.utv,1000,30000,0.061697,0.000223,3.973090,0.006097,4.041522,4.02,0.02,4704
input/test_n1000_m40000_f0_no1.utv,1000,40000,0.081940,0.000405,5.566427,0.009281,5.658577,5.63,0.02,5600
input/test_n1000_m40000_f0_no2.utv,1000,40000,0.081531,0.000341,5.664682,0.008491,5.755447,5.72,0.04,5600
input/test_n1000_m40000_f0_no3.utv,1000,40000,0.081368,0.000334,5.643575,0.008376,5.734059,5.70,0.02,5656
input/test_n1000_m50000_f0_no1.utv,1000,50000,0.102520,0.000451,7.681781,0.011098,7.796264,7.77,0.02,6580
input/test_n1000_m50000_f0_no2.utv,1000,50000,0.100230,0.000447,7.682538,0.012510,7.796208,7.76,0.03,6512
input/test_n1000_m50000_f0_no3.utv,1000,50000,0.104587,0.000438,8.018245,0.011907,8.135550,8.11,0.02,6560
input/test_n1000_m60000_f0_no1.utv,1000,60000,0.122244,0.000475,12.586138,0.017486,12.726786,12.67,0.05,7476
input/test_n1000_m60000_f0_no2.utv,1000,60000,0.122343,0.000507,13.481137,0.018444,13.622942,13.58,0.03,7512
input/test_n1000_m60000_f0_no3.utv,1000,60000,0.122353,0.000506,13.878451,0.018497,14.020212,13.98,0.04,7552
input/test_n1000_m70000_f0_no1.utv,1000,70000,0.143106,0.000526,20.929312,0.028604,21.101988,21.05,0.04,8412
input/test_n1000_m70000_f0_no2.utv,1000,70000,0.147044,0.000561,21.124020,0.026977,21.299025,21.24,0.05,8440
input/test_n1000_m70000_f0_no3.utv,1000,70000,0.142286,0.000540,20.070456,0.027184,20.240906,20.18,0.05,8468
input/test_n1000_m80000_f0_no1.utv,1000,80000,0.163809,0.000555,29.444252,0.039398,29.648464,29.58,0.06,9352
input/test_n1000_m80000_f0_no2.utv,1000,80000,0.162037,0.000557,29.376455,0.037981,29.577505,29.51,0.06,9336
input/test_n1000_m80000_f0_no3.utv,1000,80000,0.161876,0.000578,29.423923,0.038627,29.625477,29.58,0.04,9368
input/test_n1000_m90000_f0_no1.utv,1000,90000,0.182198,0.000571,39.597828,0.051546,39.832623,39.78,0.05,10300
input/test_n1000_m90000_f0_no2.utv,1000,90000,0.182179,0.000587,39.233509,0.052190,39.469032,39.38,0.08,10292
input/test_n1000_m90000_f0_no3.utv,1000,90000,0.184018,0.001645,39.710400,0.051997,39.948586,39.88,0.06,10316
input/test_n1000_m100000_f0_no1.utv,1000,100000,0.203768,0.000583,49.603794,0.067240,49.876366,49.78,0.09,11196
input/test_n1000_m100000_f0_no2.utv,1000,100000,0.203190,0.000584,49.726601,0.066516,49.997826,49.93,0.06,11200
input/test_n1000_m100000_f0_no3.utv,1000,100000,0.202541,0.000587,49.564411,0.067084,49.835552,49.75,0.08,11264
input/test_n1000_m110000_f0_no1.utv,1000,110000,0.232084,0.000585,59.353104,0.081640,59.667896,59.60,0.06,12192
input/test_n1000_m110000_f0_no2.utv,1000,110000,0.235395,0.000599,59.442936,0.078377,59.757839,59.65,0.10,12132
input/test_n1000_m110000_f0_no3.utv,1000,110000,0.233024,0.000583,59.872776,0.081315,60.188217,60.10,0.08,12152
input/test_n1000_m120000_f0_no1.utv,1000,120000,0.247668,0.000596,69.740746,0.095304,70.084808,70.00,0.08,13140
input/test_n1000_m120000_f0_no2.utv,1000,120000,0.250673,0.000594,69.595535,0.095849,69.943108,69.87,0.07,13116
input/test_n1000_m120000_f0_no3.utv,1000,120000,0.252567,0.000600,69.750542,0.095414,70.099548,69.98,0.12,13112
input/test_n1000_m130000_f0_no1.utv,1000,130000,0.271686,0.000607,80.101456,0.111827,80.486023,80.37,0.11,14052
input/test_n1000_m130000_f0_no2.utv,1000,130000,0.272773,0.000608,79.647385,0.110766,80.031975,79.91,0.12,14048
input/test_n1000_m130000_f0_no3.utv,1000,130000,0.263537,0.000606,79.677460,0.110974,80.053047,79.94,0.10,14116
input/test_n1000_m140000_f0_no1.utv,1000,140000,0.287781,0.000614,89.329018,0.125924,89.743767,89.62,0.12,14984
input/test_n1000_m140000_f0_no2.utv,1000,140000,0.283658,0.000603,89.273102,0.126354,89.684219,89.59,0.09,14960
input/test_n1000_m140000_f0_no3.utv,1000,140000,0.284546,0.000618,88.999901,0.127731,89.413216,89.33,0.08,14992
input/test_n1000_m150000_f0_no1.utv,1000,150000,0.303265,0.000598,98.337746,0.140820,98.782837,98.66,0.11,15928
input/test_n1000_m150000_f0_no2.utv,1000,150000,0.303428,0.000603,99.145790,0.140517,99.590790,99.45,0.13,15908
input/test_n1000_m150000_f0_no3.utv,1000,150000,0.304536,0.000802,98.928329,0.142201,99.376343,99.28,0.09,15924
input/test_n1000_m160000_f0_no1.utv,1000,160000,0.322981,0.000600,108.333092,0.158420,108.815582,108.72,0.09,16908
input/test_n1000_m160000_f0_no2.utv,1000,160000,0.324988,0.000615,110.354279,0.157820,110.838181,110.70,0.13,16928
input/test_n1000_m160000_f0_no3.utv,1000,160000,0.326734,0.000619,110.322182,0.160606,110.810677,110.65,0.16,16892
input/test_n1000_m170000_f0_no1.utv,1000,170000,0.343664,0.000607,120.441483,0.174787,120.960930,120.80,0.16,17804
input/test_n1000_m170000_f0_no2.utv,1000,170000,0.344846,0.000626,119.623390,0.175998,120.145271,119.97,0.17,17768
input/test_n1000_m170000_f0_no3.utv,1000,170000,0.341986,0.000615,119.894646,0.174567,120.412323,120.23,0.18,17804
input/test_n1000_m180000_f0_no1.utv,1000,180000,0.369360,0.000650,130.449844,0.193084,131.013489,130.90,0.10,18728
input/test_n1000_m180000_f0_no2.utv,1000,180000,0.382168,0.000652,130.804993,0.195647,131.384003,131.28,0.10,18728
input/test_n1000_m180000_f0_no3.utv,1000,180000,0.374071,0.000637,130.153458,0.188289,130.716873,130.60,0.12,18708
input/test_n1000_m190000_f0_no1.utv,1000,190000,0.384776,0.000618,140.022293,0.209977,140.618118,140.46,0.15,19680
input/test_n1000_m190000_f0_no2.utv,1000,190000,0.384382,0.000626,139.600235,0.206886,140.192566,140.02,0.17,19644
input/test_n1000_m190000_f0_no3.utv,1000,190000,0.383824,0.000637,138.416306,0.209251,139.010498,138.86,0.15,19704
input/test_n1000_m200000_f0_no1.utv,1000,200000,0.404737,0.000610,149.589996,0.227141,150.222961,150.05,0.17,20608
input/test_n1000_m200000_f0_no2.utv,1000,200000,0.411532,0.000623,143.737961,0.198141,144.348679,144.19,0.15,20640
input/test_n1000_m200000_f0_no3.utv,1000,200000,0.407821,0.000558,131.419983,0.196222,132.025055,131.88,0.14,20636
