input file,nodes,edges,parse,finalization,relaxation,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m100000_f0_no1.utv,1000,100000,0.204773,0.000402,36.651108,0.048161,36.904819,36.83,0.07,11280
input/test_n1000_m100000_f0_no2.utv,1000,100000,0.201523,0.000403,38.864098,0.055903,39.122288,39.03,0.09,11236
input/test_n1000_m100000_f0_no3.utv,1000,100000,0.203810,0.000449,40.072792,0.053221,40.330681,40.28,0.04,11244
input/test_n2000_m100000_f0_no1.utv,2000,100000,0.203515,0.000889,87.940491,0.060213,88.205551,88.12,0.08,11728
input/test_n2000_m100000_f0_no2.utv,2000,100000,0.205944,0.001066,97.455116,0.065123,97.727745,97.62,0.10,11716
input/test_n2000_m100000_f0_no3.utv,2000,100000,0.208472,0.001123,101.479477,0.067200,101.756767,101.67,0.08,11708
input/test_n3000_m100000_f0_no1.utv,3000,100000,0.212952,0.001770,162.058395,0.070801,162.344452,162.15,0.19,12268
input/test_n3000_m100000_f0_no2.utv,3000,100000,0.213406,0.001801,163.525986,0.071281,163.812897,163.68,0.13,12192
input/test_n3000_m100000_f0_no3.utv,3000,100000,0.216279,0.001794,165.094299,0.072534,165.385483,165.24,0.14,12196
input/test_n4000_m100000_f0_no1.utv,4000,100000,0.217387,0.002412,231.689331,0.035710,231.945374,231.82,0.12,12680
input/test_n4000_m100000_f0_no2.utv,4000,100000,0.218494,0.002394,232.507660,0.035733,232.764725,232.69,0.07,12708
input/test_n4000_m100000_f0_no3.utv,4000,100000,0.218706,0.002465,231.494690,0.035293,231.751724,231.66,0.09,12676
input/test_n5000_m100000_f0_no1.utv,5000,100000,0.221150,0.003123,302.216339,0.037197,302.478271,302.40,0.08,13176
input/test_n5000_m100000_f0_no2.utv,5000,100000,0.223436,0.003076,304.258911,0.037386,304.523315,304.45,0.07,13148
input/test_n5000_m100000_f0_no3.utv,5000,100000,0.222682,0.003121,305.014771,0.037688,305.278778,305.12,0.15,13204
input/test_n6000_m100000_f0_no1.utv,6000,100000,0.232555,0.003846,382.070404,0.039689,382.347015,382.24,0.11,13672
input/test_n6000_m100000_f0_no2.utv,6000,100000,0.224919,0.003782,380.940033,0.039549,381.208832,381.12,0.09,13664
input/test_n6000_m100000_f0_no3.utv,6000,100000,0.226626,0.003712,369.510254,0.037317,369.778717,369.70,0.08,13692
input/test_n7000_m100000_f0_no1.utv,7000,100000,0.223783,0.003640,371.090271,0.033222,371.351379,371.26,0.08,14216
input/test_n7000_m100000_f0_no2.utv,7000,100000,0.222442,0.003243,360.614471,0.031631,360.872284,360.80,0.06,14200
input/test_n7000_m100000_f0_no3.utv,7000,100000,0.221460,0.003227,355.472412,0.031515,355.729065,355.64,0.08,14184
input/test_n8000_m100000_f0_no1.utv,8000,100000,0.249924,0.003866,421.526794,0.032814,421.813843,421.71,0.10,14604
input/test_n8000_m100000_f0_no2.utv,8000,100000,0.231648,0.003902,418.967773,0.032849,419.236603,419.16,0.08,14640
input/test_n8000_m100000_f0_no3.utv,8000,100000,0.229697,0.003897,425.042877,0.032626,425.309570,425.23,0.07,14636
input/test_n9000_m100000_f0_no1.utv,9000,100000,0.229384,0.004243,501.913208,0.033909,502.181122,502.07,0.11,15160
input/test_n9000_m100000_f0_no2.utv,9000,100000,0.236041,0.004515,495.313538,0.033973,495.588501,495.51,0.07,15072
input/test_n9000_m100000_f0_no3.utv,9000,100000,0.229097,0.004238,515.080811,0.035306,515.349854,515.26,0.09,15112
input/test_n10000_m100000_f0_no1.utv,10000,100000,0.252791,0.004788,590.429749,0.036638,590.724426,590.66,0.06,15584
input/test_n10000_m100000_f0_no2.utv,10000,100000,0.243206,0.004781,588.377380,0.035130,588.660950,588.57,0.09,15568
input/test_n10000_m100000_f0_no3.utv,10000,100000,0.239421,0.004805,591.663452,0.037089,591.945129,591.83,0.11,15596
input/test_n11000_m100000_f0_no1.utv,11000,100000,0.243559,0.005305,672.100952,0.037643,672.387939,672.31,0.08,16080
input/test_n11000_m100000_f0_no2.utv,11000,100000,0.246385,0.005396,677.686890,0.036595,677.975769,677.89,0.08,16092
input/test_n11000_m100000_f0_no3.utv,11000,100000,0.242337,0.005479,653.472473,0.037745,653.758423,653.68,0.07,16060
input/test_n12000_m100000_f0_no1.utv,12000,100000,0.252050,0.005984,730.594788,0.037679,730.890991,730.81,0.08,16640
input/test_n12000_m100000_f0_no2.utv,12000,100000,0.255291,0.006202,750.790955,0.039031,751.091980,751.02,0.07,16548
input/test_n12000_m100000_f0_no3.utv,12000,100000,0.253929,0.006308,766.006226,0.037324,766.304260,766.23,0.07,16652
input/test_n13000_m100000_f0_no1.utv,13000,100000,0.246431,0.006648,829.817627,0.039908,830.111084,830.03,0.07,17048
input/test_n13000_m100000_f0_no2.utv,13000,100000,0.252850,0.006895,814.942810,0.038780,815.241638,815.13,0.10,17052
input/test_n13000_m100000_f0_no3.utv,13000,100000,0.246149,0.006587,802.616394,0.038911,802.908508,802.84,0.06,17080
input/test_n14000_m100000_f0_no1.utv,14000,100000,0.256597,0.007306,892.474121,0.040164,892.778625,892.67,0.11,17532
input/test_n14000_m100000_f0_no2.utv,14000,100000,0.250957,0.007213,888.943848,0.043124,889.245544,889.12,0.12,17544
input/test_n14000_m100000_f0_no3.utv,14000,100000,0.255833,0.007898,897.380920,0.041686,897.686768,897.61,0.07,17572
input/test_n15000_m100000_f0_no1.utv,15000,100000,0.268022,0.008264,1019.014709,0.040784,1019.332214,1019.25,0.08,18036
input/test_n15000_m100000_f0_no2.utv,15000,100000,0.250096,0.008012,982.801331,0.042710,983.102661,983.00,0.10,18028
input/test_n15000_m100000_f0_no3.utv,15000,100000,0.249396,0.008048,981.920105,0.040780,982.218811,982.14,0.08,18044
input/test_n16000_m100000_f0_no1.utv,16000,100000,0.249555,0.010526,1069.988281,0.041204,1070.290039,1070.21,0.07,18484
input/test_n16000_m100000_f0_no2.utv,16000,100000,0.254793,0.008770,1123.887085,0.043122,1124.194214,1124.12,0.06,18524
input/test_n16000_m100000_f0_no3.utv,16000,100000,0.254355,0.008715,1124.850342,0.041629,1125.155396,1125.08,0.08,18500
input/test_n17000_m100000_f0_no1.utv,17000,100000,0.253917,0.009753,1188.916138,0.044193,1189.224365,1189.16,0.06,19064
input/test_n17000_m100000_f0_no2.utv,17000,100000,0.258392,0.009871,1245.142090,0.045969,1245.456787,1245.36,0.10,18996
input/test_n17000_m100000_f0_no3.utv,17000,100000,0.259972,0.009730,1164.001587,0.043248,1164.315063,1164.22,0.08,18972
input/test_n18000_m100000_f0_no1.utv,18000,100000,0.263205,0.010912,1270.870117,0.043613,1271.188354,1271.10,0.08,19516
input/test_n18000_m100000_f0_no2.utv,18000,100000,0.266709,0.010793,1331.626953,0.044791,1331.949829,1331.87,0.08,19456
input/test_n18000_m100000_f0_no3.utv,18000,100000,0.255471,0.010304,1276.064819,0.043600,1276.374512,1276.31,0.06,19456
input/test_n19000_m100000_f0_no1.utv,19000,100000,0.261549,0.011416,1376.164917,0.044563,1376.482910,1376.39,0.09,19972
input/test_n19000_m100000_f0_no2.utv,19000,100000,0.263899,0.011348,1406.770996,0.048723,1407.095459,1406.99,0.10,19972
input/test_n19000_m100000_f0_no3.utv,19000,100000,0.267291,0.011239,1463.492065,0.048614,1463.819702,1463.74,0.08,20008
