input file,nodes,edges,parse,finalization,relaxation,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m10000_f0_no1.utv,1000,10000,0.022750,0.000159,1.073793,0.001549,1.098436,1.09,0.00,2784
input/test_n1000_m10000_f0_no2.utv,1000,10000,0.022051,0.000156,1.077544,0.001515,1.101426,1.10,0.00,2788
input/test_n1000_m10000_f0_no3.utv,1000,10000,0.022581,0.000160,1.095656,0.001541,1.120109,1.12,0.00,2764
input/test_n1000_m20000_f0_no1.utv,1000,20000,0.040839,0.000175,2.170775,0.003237,2.215261,2.21,0.00,3780
input/test_n1000_m20000_f0_no2.utv,1000,20000,0.040899,0.000177,2.180227,0.003191,2.224775,2.21,0.01,3728
input/test_n1000_m20000_f0_no3.utv,1000,20000,0.040515,0.000179,2.177956,0.003275,2.222168,2.21,0.01,3744
input/test_n1000_m30000_f0_no1.utv,1000,30000,0.060217,0.000211,3.272500,0.005084,3.338257,3.32,0.01,4648
input/test_n1000_m30000_f0_no2.utv,1000,30000,0.061160,0.000210,3.285584,0.005091,3.352374,3.32,0.02,4692
input/test_n1000_m30000_f0_no3.utv,1000,30000,0.060338,0.000208,3.298261,0.005171,3.364184,3.34,0.02,4640
input/test_n1000_m40000_f0_no1.utv,1000,40000,0.080898,0.000223,4.525930,0.007059,4.614361,4.57,0.04,5580
input/test_n1000_m40000_f0_no2.utv,1000,40000,0.082965,0.000224,4.585898,0.007108,4.676500,4.65,0.02,5676
input/test_n1000_m40000_f0_no3.utv,1000,40000,0.083997,0.000491,4.492895,0.007187,4.584907,4.55,0.03,5640
input/test_n1000_m50000_f0_no1.utv,1000,50000,0.098929,0.000238,6.624949,0.010213,6.734674,6.71,0.02,6580
input/test_n1000_m50000_f0_no2.utv,1000,50000,0.098453,0.000265,6.592548,0.010210,6.701760,6.67,0.02,6552
input/test_n1000_m50000_f0_no3.utv,1000,50000,0.099103,0.000246,6.512959,0.010308,6.622974,6.59,0.02,6536
input/test_n1000_m60000_f0_no1.utv,1000,60000,0.118567,0.000249,10.101856,0.015264,10.236288,10.19,0.04,7468
input/test_n1000_m60000_f0_no2.utv,1000,60000,0.119143,0.000251,10.178978,0.014535,10.313198,10.28,0.03,7488
input/test_n1000_m60000_f0_no3.utv,1000,60000,0.118501,0.000254,10.404256,0.015749,10.539071,10.48,0.05,7456
input/test_n1000_m70000_f0_no1.utv,1000,70000,0.138836,0.000331,15.695738,0.021218,15.856514,15.78,0.07,8416
input/test_n1000_m70000_f0_no2.utv,1000,70000,0.141613,0.000286,15.114719,0.022122,15.279113,15.23,0.04,8452
input/test_n1000_m70000_f0_no3.utv,1000,70000,0.140561,0.000254,14.880612,0.020996,15.042841,15.00,0.03,8420
input/test_n1000_m80000_f0_no1.utv,1000,80000,0.160040,0.000272,21.406946,0.028296,21.595884,21.54,0.05,9364
input/test_n1000_m80000_f0_no2.utv,1000,80000,0.157811,0.000260,21.462294,0.030565,21.651308,21.60,0.05,9408
input/test_n1000_m80000_f0_no3.utv,1000,80000,0.158379,0.000284,22.566357,0.031641,22.757044,22.70,0.05,9424
input/test_n1000_m90000_f0_no1.utv,1000,90000,0.181557,0.000291,31.069883,0.040525,31.292648,31.21,0.08,10308
input/test_n1000_m90000_f0_no2.utv,1000,90000,0.181654,0.000326,30.943272,0.042407,31.168016,31.12,0.05,10264
input/test_n1000_m90000_f0_no3.utv,1000,90000,0.181418,0.000292,31.893002,0.042757,32.117840,32.04,0.07,10268
input/test_n1000_m100000_f0_no1.utv,1000,100000,0.202662,0.000283,44.334908,0.061259,44.600086,44.52,0.08,11228
input/test_n1000_m100000_f0_no2.utv,1000,100000,0.202100,0.000343,46.267178,0.062172,46.532719,46.46,0.06,11252
input/test_n1000_m100000_f0_no3.utv,1000,100000,0.202822,0.000348,47.264870,0.062863,47.531742,47.47,0.06,11252
input/test_n1000_m110000_f0_no1.utv,1000,110000,0.234077,0.000363,57.350651,0.076620,57.662254,57.56,0.10,12152
input/test_n1000_m110000_f0_no2.utv,1000,110000,0.229431,0.000374,57.256615,0.075990,57.562824,57.42,0.14,12176
input/test_n1000_m110000_f0_no3.utv,1000,110000,0.232463,0.000375,57.717419,0.077231,58.027988,57.87,0.15,12136
input/test_n1000_m120000_f0_no1.utv,1000,120000,0.255803,0.000589,67.751106,0.090184,68.098114,67.94,0.15,13084
input/test_n1000_m120000_f0_no2.utv,1000,120000,0.252266,0.000367,67.740303,0.092727,68.086143,67.95,0.13,13176
input/test_n1000_m120000_f0_no3.utv,1000,120000,0.252614,0.000421,68.015144,0.092746,68.361343,68.22,0.14,13112
input/test_n1000_m130000_f0_no1.utv,1000,130000,0.277417,0.000379,77.768501,0.107358,78.154114,78.05,0.10,14116
input/test_n1000_m130000_f0_no2.utv,1000,130000,0.272060,0.000386,77.141701,0.104734,77.519279,77.41,0.10,14048
input/test_n1000_m130000_f0_no3.utv,1000,130000,0.274610,0.000380,77.218254,0.107241,77.600960,77.52,0.08,14040
input/test_n1000_m140000_f0_no1.utv,1000,140000,0.294410,0.000376,86.765251,0.121441,87.181923,87.07,0.10,14960
input/test_n1000_m140000_f0_no2.utv,1000,140000,0.292193,0.000326,87.763145,0.121812,88.177917,88.05,0.12,14964
input/test_n1000_m140000_f0_no3.utv,1000,140000,0.293357,0.000372,88.000999,0.122549,88.417793,88.32,0.10,14980
input/test_n1000_m150000_f0_no1.utv,1000,150000,0.327074,0.000352,96.722977,0.138423,97.189400,97.09,0.10,15880
input/test_n1000_m150000_f0_no2.utv,1000,150000,0.315519,0.000366,97.116371,0.135286,97.568077,97.46,0.11,15948
input/test_n1000_m150000_f0_no3.utv,1000,150000,0.316704,0.000369,96.795189,0.137839,97.250618,97.14,0.11,15936
input/test_n1000_m160000_f0_no1.utv,1000,160000,0.352177,0.000361,106.496574,0.153171,107.002792,106.86,0.14,16868
input/test_n1000_m160000_f0_no2.utv,1000,160000,0.333778,0.000389,106.728172,0.151851,107.214615,107.08,0.13,16868
input/test_n1000_m160000_f0_no3.utv,1000,160000,0.332217,0.000404,108.186798,0.155358,108.675247,108.56,0.12,16868
input/test_n1000_m170000_f0_no1.utv,1000,170000,0.363884,0.000374,118.066360,0.168703,118.599831,118.45,0.14,17772
input/test_n1000_m170000_f0_no2.utv,1000,170000,0.372133,0.000365,117.196068,0.170757,117.739777,117.61,0.12,17816
input/test_n1000_m170000_f0_no3.utv,1000,170000,0.351845,0.000377,117.397430,0.166352,117.916550,117.78,0.14,17808
input/test_n1000_m180000_f0_no1.utv,1000,180000,0.382890,0.000371,126.787804,0.186694,127.358231,127.22,0.13,18752
input/test_n1000_m180000_f0_no2.utv,1000,180000,0.374904,0.000462,126.810226,0.184221,127.370346,127.25,0.12,18752
input/test_n1000_m180000_f0_no3.utv,1000,180000,0.389192,0.000365,126.656898,0.184677,127.231552,127.10,0.13,18708
input/test_n1000_m190000_f0_no1.utv,1000,190000,0.396938,0.000383,136.379303,0.203904,136.980988,136.84,0.14,19736
input/test_n1000_m190000_f0_no2.utv,1000,190000,0.394991,0.000394,137.204788,0.201986,137.802643,137.64,0.15,19680
input/test_n1000_m190000_f0_no3.utv,1000,190000,0.409964,0.000410,137.547668,0.213264,138.171783,138.00,0.16,19692
input/test_n1000_m200000_f0_no1.utv,1000,200000,0.419568,0.000403,146.988495,0.216980,147.626007,147.48,0.14,20608
input/test_n1000_m200000_f0_no2.utv,1000,200000,0.430322,0.000374,146.657913,0.219110,147.308197,147.17,0.14,20620
input/test_n1000_m200000_f0_no3.utv,1000,200000,0.417823,0.000380,147.294159,0.220436,147.933258,147.82,0.11,20616
