input file,nodes,edges,parse,finalization,relaxation,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m100000_f0_no1.utv,1000,100000,0.215051,0.000284,39.005707,0.049783,39.271198,39.16,0.10,11220
input/test_n1000_m100000_f0_no2.utv,1000,100000,0.215194,0.000295,38.787785,0.051428,39.055119,38.93,0.12,11212
input/test_n1000_m100000_f0_no3.utv,1000,100000,0.211033,0.000272,41.803371,0.059735,42.074886,42.02,0.06,11244
input/test_n2000_m100000_f0_no1.utv,2000,100000,0.215412,0.000678,96.119781,0.060290,96.396675,96.32,0.07,11696
input/test_n2000_m100000_f0_no2.utv,2000,100000,0.212417,0.000691,97.848991,0.062456,98.125061,98.03,0.09,11708
input/test_n2000_m100000_f0_no3.utv,2000,100000,0.212076,0.000722,98.718010,0.063929,98.995255,98.93,0.06,11716
input/test_n3000_m100000_f0_no1.utv,3000,100000,0.213524,0.001087,153.749939,0.063993,154.029007,153.94,0.08,12220
input/test_n3000_m100000_f0_no2.utv,3000,100000,0.217769,0.001106,155.700119,0.065322,155.984756,155.89,0.09,12236
input/test_n3000_m100000_f0_no3.utv,3000,100000,0.214802,0.001114,155.626892,0.066801,155.910110,155.82,0.08,12208
input/test_n4000_m100000_f0_no1.utv,4000,100000,0.220950,0.001507,214.625153,0.030456,214.878601,214.78,0.10,12660
input/test_n4000_m100000_f0_no2.utv,4000,100000,0.219644,0.001488,216.339218,0.030578,216.591431,216.45,0.14,12704
input/test_n4000_m100000_f0_no3.utv,4000,100000,0.220000,0.001567,216.722275,0.030538,216.974884,216.82,0.16,12688
input/test_n5000_m100000_f0_no1.utv,5000,100000,0.230542,0.001947,279.329163,0.031030,279.593170,279.51,0.08,13192
input/test_n5000_m100000_f0_no2.utv,5000,100000,0.230509,0.001899,278.597290,0.032627,278.862823,278.77,0.09,13172
input/test_n5000_m100000_f0_no3.utv,5000,100000,0.231738,0.002134,280.830719,0.032634,281.097717,280.99,0.11,13220
input/test_n6000_m100000_f0_no1.utv,6000,100000,0.250970,0.002306,347.596619,0.032636,347.882935,347.79,0.08,13664
input/test_n6000_m100000_f0_no2.utv,6000,100000,0.244849,0.002295,346.484406,0.032208,346.764282,346.63,0.13,13664
input/test_n6000_m100000_f0_no3.utv,6000,100000,0.243546,0.002407,339.230255,0.029089,339.505707,339.34,0.16,13660
input/test_n7000_m100000_f0_no1.utv,7000,100000,0.242344,0.002460,333.788483,0.027812,334.061493,333.95,0.10,14156
input/test_n7000_m100000_f0_no2.utv,7000,100000,0.227302,0.002122,332.679718,0.025475,332.935028,332.85,0.08,14172
input/test_n7000_m100000_f0_no3.utv,7000,100000,0.231577,0.002084,330.463684,0.026549,330.724335,330.63,0.09,14116
input/test_n8000_m100000_f0_no1.utv,8000,100000,0.234454,0.002482,382.032440,0.026068,382.295929,382.20,0.09,14604
input/test_n8000_m100000_f0_no2.utv,8000,100000,0.232750,0.002433,391.577301,0.026284,391.839264,391.74,0.10,14656
input/test_n8000_m100000_f0_no3.utv,8000,100000,0.230674,0.002505,378.296570,0.026138,378.556305,378.48,0.08,14684
input/test_n9000_m100000_f0_no1.utv,9000,100000,0.236176,0.002880,437.247253,0.026774,437.513550,437.42,0.09,15124
input/test_n9000_m100000_f0_no2.utv,9000,100000,0.238927,0.002907,458.876587,0.027997,459.146790,459.04,0.10,15140
input/test_n9000_m100000_f0_no3.utv,9000,100000,0.236359,0.002764,461.171051,0.027604,461.438202,461.32,0.12,15160
input/test_n10000_m100000_f0_no1.utv,10000,100000,0.240683,0.003334,516.300415,0.028071,516.572937,516.50,0.07,15592
input/test_n10000_m100000_f0_no2.utv,10000,100000,0.239951,0.003304,520.115356,0.028179,520.387207,520.30,0.09,15664
input/test_n10000_m100000_f0_no3.utv,10000,100000,0.242042,0.003328,525.770386,0.028081,526.044312,525.95,0.09,15600
input/test_n11000_m100000_f0_no1.utv,11000,100000,0.246779,0.003841,559.282227,0.028512,559.561768,559.46,0.10,16096
input/test_n11000_m100000_f0_no2.utv,11000,100000,0.244036,0.003792,557.992126,0.027870,558.268311,558.15,0.11,16072
input/test_n11000_m100000_f0_no3.utv,11000,100000,0.252372,0.004205,587.308716,0.028821,587.594543,587.48,0.11,16088
input/test_n12000_m100000_f0_no1.utv,12000,100000,0.249560,0.004555,654.562439,0.028350,654.845337,654.76,0.08,16544
input/test_n12000_m100000_f0_no2.utv,12000,100000,0.245546,0.004575,625.174744,0.028260,625.453491,625.36,0.09,16580
input/test_n12000_m100000_f0_no3.utv,12000,100000,0.262325,0.004534,632.866760,0.029367,633.163452,633.10,0.06,16620
input/test_n13000_m100000_f0_no1.utv,13000,100000,0.262054,0.005473,715.417786,0.030339,715.716187,715.61,0.10,17012
input/test_n13000_m100000_f0_no2.utv,13000,100000,0.253894,0.005365,726.927185,0.030153,727.217102,727.10,0.12,17060
input/test_n13000_m100000_f0_no3.utv,13000,100000,0.256742,0.005312,714.887207,0.030204,715.179932,715.02,0.15,17048
input/test_n14000_m100000_f0_no1.utv,14000,100000,0.263965,0.006155,775.535461,0.029573,775.835571,775.56,0.28,17524
input/test_n14000_m100000_f0_no2.utv,14000,100000,0.257676,0.006114,793.594116,0.030986,793.889282,793.78,0.10,17508
input/test_n14000_m100000_f0_no3.utv,14000,100000,0.261864,0.006475,811.665527,0.030646,811.964966,811.86,0.10,17528
input/test_n15000_m100000_f0_no1.utv,15000,100000,0.267583,0.007117,836.175720,0.030596,836.481445,836.40,0.08,18036
input/test_n15000_m100000_f0_no2.utv,15000,100000,0.267803,0.007863,830.328674,0.030156,830.634949,830.58,0.04,18016
input/test_n15000_m100000_f0_no3.utv,15000,100000,0.268958,0.007650,833.294434,0.030306,833.601868,833.51,0.08,18016
input/test_n16000_m100000_f0_no1.utv,16000,100000,0.274001,0.009080,906.722961,0.030259,907.036804,906.91,0.12,18560
input/test_n16000_m100000_f0_no2.utv,16000,100000,0.262782,0.008507,909.217896,0.031237,909.520874,909.43,0.08,18544
input/test_n16000_m100000_f0_no3.utv,16000,100000,0.276272,0.008882,928.711060,0.031921,929.028625,928.95,0.08,18492
input/test_n17000_m100000_f0_no1.utv,17000,100000,0.273513,0.009485,1020.319092,0.032422,1020.634949,1020.55,0.08,19044
input/test_n17000_m100000_f0_no2.utv,17000,100000,0.269713,0.009825,1045.408325,0.033923,1045.722290,1045.61,0.11,19016
input/test_n17000_m100000_f0_no3.utv,17000,100000,0.271551,0.010050,1052.152710,0.032404,1052.467163,1052.37,0.09,19008
input/test_n18000_m100000_f0_no1.utv,18000,100000,0.281948,0.011142,1135.103394,0.034296,1135.431152,1135.37,0.06,19440
input/test_n18000_m100000_f0_no2.utv,18000,100000,0.280932,0.012613,1134.100342,0.034495,1134.428955,1134.35,0.07,19500
input/test_n18000_m100000_f0_no3.utv,18000,100000,0.272348,0.011193,1079.685181,0.033239,1080.002441,1079.92,0.08,19460
input/test_n19000_m100000_f0_no1.utv,19000,100000,0.273269,0.013010,1169.078369,0.033159,1169.398315,1169.10,0.29,19988
input/test_n19000_m100000_f0_no2.utv,19000,100000,0.275559,0.012303,1217.829590,0.035238,1218.153198,1218.07,0.08,19972
input/test_n19000_m100000_f0_no3.utv,19000,100000,0.269822,0.012407,1220.376831,0.032672,1220.692139,1220.62,0.07,20020
input/test_n20000_m100000_f0_no1.utv,20000,100000,0.300459,0.014137,1234.724365,0.030168,1235.069580,1234.97,0.09,20456
input/test_n20000_m100000_f0_no2.utv,20000,100000,0.272036,0.011143,1097.388916,0.030864,1097.703369,1097.61,0.09,20516
input/test_n20000_m100000_f0_no3.utv,20000,100000,0.266568,0.011052,1098.082275,0.028897,1098.389282,1098.31,0.07,20460
