input file,variables,constraints,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m10000_f2_no1.utv,1000,10000,0.022871,0.645689,,0.002360,0.670920,0.66,0.00,2368
input/test_n1000_m10000_f2_no2.utv,1000,10000,0.022587,0.658513,,0.001692,0.682792,0.68,0.00,2400
input/test_n1000_m10000_f2_no3.utv,1000,10000,0.022307,0.638269,,0.002444,0.663020,0.66,0.00,2456
input/test_n1000_m20000_f2_no1.utv,1000,20000,0.043804,1.614782,,0.005899,1.664485,1.64,0.02,3332
input/test_n1000_m20000_f2_no2.utv,1000,20000,0.043733,1.637697,,0.003694,1.685124,1.68,0.01,3356
input/test_n1000_m20000_f2_no3.utv,1000,20000,0.044328,1.682180,,0.003756,1.730264,1.72,0.01,3360
input/test_n1000_m30000_f2_no1.utv,1000,30000,0.064402,2.801043,,0.007976,2.873421,2.86,0.01,4240
input/test_n1000_m30000_f2_no2.utv,1000,30000,0.065151,2.762503,,0.005643,2.833297,2.82,0.01,4300
input/test_n1000_m30000_f2_no3.utv,1000,30000,0.064765,2.715509,,0.007867,2.788141,2.77,0.01,4292
input/test_n1000_m40000_f2_no1.utv,1000,40000,0.084067,4.205821,,0.010575,4.300463,4.28,0.02,5256
input/test_n1000_m40000_f2_no2.utv,1000,40000,0.082578,4.268603,,0.010416,4.361597,4.34,0.02,5188
input/test_n1000_m40000_f2_no3.utv,1000,40000,0.090625,4.206694,,0.014450,4.311769,4.27,0.04,5204
input/test_n1000_m50000_f2_no1.utv,1000,50000,0.109129,7.536179,,0.018927,7.664235,7.62,0.04,6120
input/test_n1000_m50000_f2_no2.utv,1000,50000,0.107144,7.694688,,0.014858,7.816690,7.76,0.06,6196
input/test_n1000_m50000_f2_no3.utv,1000,50000,0.109650,7.614235,,0.018283,7.742168,7.72,0.02,6140
input/test_n1000_m60000_f2_no1.utv,1000,60000,0.126238,14.926918,,0.025713,15.078869,15.02,0.06,7052
input/test_n1000_m60000_f2_no2.utv,1000,60000,0.130424,14.915804,,0.031785,15.078013,15.04,0.03,7064
input/test_n1000_m60000_f2_no3.utv,1000,60000,0.131551,13.423644,,0.029571,13.584766,13.54,0.04,7092
input/test_n1000_m70000_f2_no1.utv,1000,70000,0.152260,24.550283,,0.044920,24.747463,24.63,0.11,7996
input/test_n1000_m70000_f2_no2.utv,1000,70000,0.151489,23.949703,,0.045996,24.147188,24.08,0.06,8024
input/test_n1000_m70000_f2_no3.utv,1000,70000,0.150652,23.752658,,0.043869,23.947179,23.89,0.06,8028
input/test_n1000_m80000_f2_no1.utv,1000,80000,0.178067,34.025173,,0.060178,34.263418,34.18,0.08,8924
input/test_n1000_m80000_f2_no2.utv,1000,80000,0.169645,34.383322,,0.062121,34.615088,34.54,0.07,9016
input/test_n1000_m80000_f2_no3.utv,1000,80000,0.168612,34.883014,,0.067207,35.118833,35.04,0.08,8960
input/test_n1000_m90000_f2_no1.utv,1000,90000,0.194052,45.481391,,0.078851,45.754294,45.68,0.08,9876
input/test_n1000_m90000_f2_no2.utv,1000,90000,0.196580,45.061370,,0.078409,45.336359,45.26,0.08,9852
input/test_n1000_m90000_f2_no3.utv,1000,90000,0.189666,44.749025,,0.077286,45.015977,44.95,0.06,9896
input/test_n1000_m100000_f2_no1.utv,1000,100000,0.214820,54.692412,,0.076666,54.983898,54.83,0.15,10832
input/test_n1000_m100000_f2_no2.utv,1000,100000,0.254247,54.713206,,0.091297,55.058750,54.88,0.17,10892
input/test_n1000_m100000_f2_no3.utv,1000,100000,0.216563,54.725182,,0.092647,55.034392,54.97,0.06,10836
input/test_n1000_m110000_f2_no1.utv,1000,110000,0.235806,65.338924,,0.123322,65.698052,65.62,0.07,11760
input/test_n1000_m110000_f2_no2.utv,1000,110000,0.251525,64.810456,,0.108602,65.170583,65.06,0.11,11772
input/test_n1000_m110000_f2_no3.utv,1000,110000,0.236303,65.668531,,0.108417,66.013251,65.95,0.06,11760
input/test_n1000_m120000_f2_no1.utv,1000,120000,0.298427,74.921504,,0.126781,75.346712,75.24,0.11,12768
input/test_n1000_m120000_f2_no2.utv,1000,120000,0.267107,74.880718,,0.127121,75.274946,75.17,0.10,12712
input/test_n1000_m120000_f2_no3.utv,1000,120000,0.272221,72.738189,,0.124522,73.134932,73.03,0.10,12736
input/test_n1000_m130000_f2_no1.utv,1000,130000,0.299718,78.910505,,0.139745,79.349968,79.23,0.11,13672
input/test_n1000_m130000_f2_no2.utv,1000,130000,0.272556,78.410249,,0.128400,78.811205,78.68,0.13,13656
input/test_n1000_m130000_f2_no3.utv,1000,130000,0.275123,78.099243,,0.131254,78.505620,78.44,0.07,13704
input/test_n1000_m140000_f2_no1.utv,1000,140000,0.288418,87.961536,,0.151857,88.401811,88.28,0.12,14624
input/test_n1000_m140000_f2_no2.utv,1000,140000,0.290577,87.584050,,0.152314,88.026941,87.96,0.07,14624
input/test_n1000_m140000_f2_no3.utv,1000,140000,0.294341,87.934443,,0.147949,88.376733,88.23,0.14,14636
input/test_n1000_m150000_f2_no1.utv,1000,150000,0.303614,97.656464,,0.167034,98.127112,97.86,0.26,15540
input/test_n1000_m150000_f2_no2.utv,1000,150000,0.380073,98.759186,,0.163747,99.303006,99.10,0.20,15580
input/test_n1000_m150000_f2_no3.utv,1000,150000,0.326714,97.479104,,0.176361,97.982179,97.86,0.12,15544
input/test_n1000_m160000_f2_no1.utv,1000,160000,0.349058,108.126389,,0.187744,108.663191,108.52,0.14,16464
input/test_n1000_m160000_f2_no2.utv,1000,160000,0.364336,107.698988,,0.190658,108.253982,108.16,0.08,16460
input/test_n1000_m160000_f2_no3.utv,1000,160000,0.339281,107.785361,,0.182125,108.306767,108.20,0.11,16496
