input file,variables,constraints,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m100000_f2_no1.utv,1000,100000,0.215530,48.158509,,0.075108,48.449147,48.36,0.08,10832
input/test_n1000_m100000_f2_no2.utv,1000,100000,0.214739,48.297824,,0.083509,48.596072,48.49,0.10,10860
input/test_n1000_m100000_f2_no3.utv,1000,100000,0.211810,51.159125,,0.092892,51.463827,51.40,0.06,10824
input/test_n2000_m100000_f2_no1.utv,2000,100000,0.217838,107.207137,,0.090317,107.515292,107.40,0.11,10964
input/test_n2000_m100000_f2_no2.utv,2000,100000,0.232686,108.369528,,0.090199,108.692413,108.60,0.08,10868
input/test_n2000_m100000_f2_no3.utv,2000,100000,0.234238,109.332635,,0.092121,109.658994,109.56,0.09,10900
input/test_n3000_m100000_f2_no1.utv,3000,100000,0.230847,166.488921,,0.091712,166.811480,166.57,0.24,11008
input/test_n3000_m100000_f2_no2.utv,3000,100000,0.229761,166.631824,,0.092419,166.954004,166.85,0.10,10968
input/test_n3000_m100000_f2_no3.utv,3000,100000,0.237688,168.386314,,0.092506,168.716508,168.63,0.08,10984
input/test_n4000_m100000_f2_no1.utv,4000,100000,0.234260,211.209386,,0.038120,211.481766,211.40,0.08,11072
input/test_n4000_m100000_f2_no2.utv,4000,100000,0.225857,201.920478,,0.032567,202.178902,202.10,0.07,11104
input/test_n4000_m100000_f2_no3.utv,4000,100000,0.234686,202.854437,,0.032278,203.121401,203.00,0.12,11076
input/test_n5000_m100000_f2_no1.utv,5000,100000,0.218920,260.234841,,0.034976,260.488737,260.25,0.24,11172
input/test_n5000_m100000_f2_no2.utv,5000,100000,0.251063,257.117591,,0.032289,257.400943,257.31,0.09,11152
input/test_n5000_m100000_f2_no3.utv,5000,100000,0.228340,256.070057,,0.032356,256.330753,256.25,0.08,11152
input/test_n6000_m100000_f2_no1.utv,6000,100000,0.240289,314.627851,,0.032879,314.901019,314.76,0.14,11224
