input file,variables,constraints,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m100000_f0_no1.utv,1000,100000,0.217801,13.743707,,0.063405,14.024913,13.94,0.08,13984
input/test_n1000_m100000_f0_no2.utv,1000,100000,0.219220,13.765889,,0.063035,14.048144,13.96,0.08,14048
input/test_n1000_m100000_f0_no3.utv,1000,100000,0.211752,13.753919,,0.063445,14.029116,13.95,0.08,13952
input/test_n2000_m100000_f0_no1.utv,2000,100000,0.222640,27.686755,,0.025548,27.934943,27.87,0.06,14064
input/test_n2000_m100000_f0_no2.utv,2000,100000,0.218137,27.656391,,0.025171,27.899699,27.84,0.05,14072
input/test_n2000_m100000_f0_no3.utv,2000,100000,0.221344,30.735156,,0.029639,30.986139,30.91,0.07,14140
input/test_n3000_m100000_f0_no1.utv,3000,100000,0.219677,45.402051,,0.028638,45.650366,45.59,0.06,14212
input/test_n3000_m100000_f0_no2.utv,3000,100000,0.272192,47.495998,,0.030302,47.798492,47.66,0.14,14200
input/test_n3000_m100000_f0_no3.utv,3000,100000,0.235779,51.244232,,0.031013,51.511024,51.41,0.10,14208
input/test_n4000_m100000_f0_no1.utv,4000,100000,0.236786,74.355015,,0.037198,74.628999,74.52,0.11,14308
input/test_n4000_m100000_f0_no2.utv,4000,100000,0.243697,81.617633,,0.044304,81.905634,81.80,0.10,14316
input/test_n4000_m100000_f0_no3.utv,4000,100000,0.231020,80.350533,,0.038555,80.620108,80.53,0.09,14284
input/test_n5000_m100000_f0_no1.utv,5000,100000,0.250887,102.004915,,0.041296,102.297098,102.17,0.13,14404
input/test_n5000_m100000_f0_no2.utv,5000,100000,0.263864,105.768222,,0.041508,106.073594,105.90,0.18,14400
input/test_n5000_m100000_f0_no3.utv,5000,100000,0.263090,106.571864,,0.048080,106.883034,106.77,0.11,14468
input/test_n6000_m100000_f0_no1.utv,6000,100000,0.247073,129.816821,,0.044143,130.108037,129.98,0.13,14492
input/test_n6000_m100000_f0_no2.utv,6000,100000,0.263795,129.001862,,0.044551,129.310208,129.10,0.21,14600
input/test_n6000_m100000_f0_no3.utv,6000,100000,0.260391,130.399140,,0.045109,130.704640,130.62,0.08,14532
input/test_n7000_m100000_f0_no1.utv,7000,100000,0.260527,153.219553,,0.047074,153.527154,153.45,0.07,14652
input/test_n7000_m100000_f0_no2.utv,7000,100000,0.255595,152.669190,,0.040741,152.965526,152.88,0.08,14612
input/test_n7000_m100000_f0_no3.utv,7000,100000,0.259254,148.583714,,0.039770,148.882738,148.81,0.07,14632
input/test_n8000_m100000_f0_no1.utv,8000,100000,0.243612,170.532945,,0.040633,170.817190,170.72,0.10,14752
input/test_n8000_m100000_f0_no2.utv,8000,100000,0.243245,170.844814,,0.043767,171.131826,171.05,0.08,14760
input/test_n8000_m100000_f0_no3.utv,8000,100000,0.262186,170.207534,,0.042792,170.512512,170.23,0.28,14720
input/test_n9000_m100000_f0_no1.utv,9000,100000,0.260893,193.843740,,0.044994,194.149627,194.06,0.09,14832
input/test_n9000_m100000_f0_no2.utv,9000,100000,0.267645,194.448353,,0.041500,194.757498,194.66,0.10,14832
input/test_n9000_m100000_f0_no3.utv,9000,100000,0.248369,194.168439,,0.037447,194.454255,194.35,0.10,14868
input/test_n10000_m100000_f0_no1.utv,10000,100000,0.267833,217.416954,,0.041825,217.726612,217.64,0.08,14976
input/test_n10000_m100000_f0_no2.utv,10000,100000,0.265273,217.792704,,0.041917,218.099894,217.98,0.12,14976
input/test_n10000_m100000_f0_no3.utv,10000,100000,0.264616,217.762997,,0.044026,218.071639,217.95,0.12,15036
input/test_n11000_m100000_f0_no1.utv,11000,100000,0.263161,241.956054,,0.044647,242.263862,242.16,0.10,15068
input/test_n11000_m100000_f0_no2.utv,11000,100000,0.269968,242.008643,,0.042570,242.321181,242.24,0.08,15088
input/test_n11000_m100000_f0_no3.utv,11000,100000,0.262161,241.928215,,0.046378,242.236754,242.12,0.11,15048
input/test_n12000_m100000_f0_no1.utv,12000,100000,0.266013,254.261337,,0.043006,254.570356,254.28,0.29,15152
input/test_n12000_m100000_f0_no2.utv,12000,100000,0.240319,251.788006,,0.042516,252.070841,251.98,0.08,15164
input/test_n12000_m100000_f0_no3.utv,12000,100000,0.248600,252.244447,,0.041827,252.534874,252.41,0.12,15208
input/test_n13000_m100000_f0_no1.utv,13000,100000,0.242406,275.354183,,0.042500,275.639089,275.54,0.10,15284
input/test_n13000_m100000_f0_no2.utv,13000,100000,0.246998,274.994663,,0.042825,275.284486,275.23,0.05,15276
input/test_n13000_m100000_f0_no3.utv,13000,100000,0.245896,275.461477,,0.042792,275.750165,275.63,0.12,15344
input/test_n14000_m100000_f0_no1.utv,14000,100000,0.250172,297.377471,,0.043184,297.670827,297.58,0.09,15420
input/test_n14000_m100000_f0_no2.utv,14000,100000,0.250453,297.892629,,0.043229,298.186311,298.04,0.14,15416
input/test_n14000_m100000_f0_no3.utv,14000,100000,0.247067,300.565974,,0.043836,300.856877,300.78,0.08,15392
input/test_n15000_m100000_f0_no1.utv,15000,100000,0.252346,324.393719,,0.043600,324.689665,324.55,0.13,15496
input/test_n15000_m100000_f0_no2.utv,15000,100000,0.253067,327.051659,,0.044008,327.348734,327.22,0.13,15480
input/test_n15000_m100000_f0_no3.utv,15000,100000,0.248599,326.824494,,0.043840,327.116933,326.99,0.12,15548
input/test_n16000_m100000_f0_no1.utv,16000,100000,0.259365,349.845949,,0.044620,350.149934,349.92,0.23,15612
input/test_n16000_m100000_f0_no2.utv,16000,100000,0.252212,352.018413,,0.044307,352.314932,352.22,0.09,15636
input/test_n16000_m100000_f0_no3.utv,16000,100000,0.251003,350.825753,,0.044685,351.121441,350.94,0.17,15588
input/test_n17000_m100000_f0_no1.utv,17000,100000,0.252755,377.807323,,0.045405,378.105483,377.99,0.11,15764
input/test_n17000_m100000_f0_no2.utv,17000,100000,0.249862,378.406484,,0.045755,378.702101,378.59,0.11,15744
input/test_n17000_m100000_f0_no3.utv,17000,100000,0.248290,378.270506,,0.045235,378.564031,378.42,0.14,15712
input/test_n18000_m100000_f0_no1.utv,18000,100000,0.261528,405.039430,,0.045310,405.346268,405.25,0.09,15816
input/test_n18000_m100000_f0_no2.utv,18000,100000,0.251648,406.271238,,0.045817,406.568703,406.47,0.10,15860
input/test_n18000_m100000_f0_no3.utv,18000,100000,0.254474,404.767873,,0.045879,405.068226,404.92,0.14,15848
input/test_n19000_m100000_f0_no1.utv,19000,100000,0.254791,430.666476,,0.046014,430.967281,430.84,0.13,15960
input/test_n19000_m100000_f0_no2.utv,19000,100000,0.254315,434.563852,,0.046355,434.864522,434.74,0.12,15936
input/test_n19000_m100000_f0_no3.utv,19000,100000,0.260343,434.553831,,0.046131,434.860305,434.75,0.11,15980
input/test_n20000_m100000_f0_no1.utv,20000,100000,0.259013,463.949746,,0.047230,464.255989,464.15,0.10,16060
input/test_n20000_m100000_f0_no2.utv,20000,100000,0.251654,466.130543,,0.046746,466.428943,466.32,0.10,16108
input/test_n20000_m100000_f0_no3.utv,20000,100000,0.268513,398.006219,,0.040280,398.315012,398.20,0.11,16104
