input file,variables,constraints,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m10000_f2_no1.utv,1000,10000,0.032318,0.439679,,0.001750,0.473747,0.46,0.01,2740
input/test_n1000_m10000_f2_no2.utv,1000,10000,0.025322,0.438942,,0.001837,0.466101,0.45,0.01,2768
input/test_n1000_m10000_f2_no3.utv,1000,10000,0.025369,0.440305,,0.001787,0.467461,0.45,0.02,2740
input/test_n1000_m20000_f2_no1.utv,1000,20000,0.055295,0.877783,,0.003978,0.937056,0.90,0.04,4044
input/test_n1000_m20000_f2_no2.utv,1000,20000,0.048387,0.878740,,0.003988,0.931115,0.91,0.02,3968
input/test_n1000_m20000_f2_no3.utv,1000,20000,0.048458,0.879860,,0.004222,0.932540,0.90,0.02,4000
input/test_n1000_m30000_f2_no1.utv,1000,30000,0.078664,1.328920,,0.006568,1.414152,1.37,0.04,5232
input/test_n1000_m30000_f2_no2.utv,1000,30000,0.072680,1.329884,,0.006500,1.409064,1.37,0.04,5288
input/test_n1000_m30000_f2_no3.utv,1000,30000,0.071598,1.329849,,0.006523,1.407970,1.38,0.02,5244
input/test_n1000_m40000_f2_no1.utv,1000,40000,0.101449,3.033276,,0.011055,3.145780,3.08,0.06,6500
input/test_n1000_m40000_f2_no2.utv,1000,40000,0.093113,2.689090,,0.011230,2.793433,2.76,0.03,6444
input/test_n1000_m40000_f2_no3.utv,1000,40000,0.097749,3.072796,,0.011595,3.182140,3.16,0.02,6528
input/test_n1000_m50000_f2_no1.utv,1000,50000,0.115295,6.510483,,0.021177,6.646955,6.59,0.05,7780
input/test_n1000_m50000_f2_no2.utv,1000,50000,0.114447,6.523325,,0.019796,6.657568,6.60,0.06,7744
input/test_n1000_m50000_f2_no3.utv,1000,50000,0.117722,6.973957,,0.020517,7.112196,7.07,0.04,7728
input/test_n1000_m60000_f2_no1.utv,1000,60000,0.145238,10.887969,,0.032971,11.066178,10.99,0.07,9048
input/test_n1000_m60000_f2_no2.utv,1000,60000,0.150659,10.479778,,0.032720,10.663157,10.62,0.04,9040
input/test_n1000_m60000_f2_no3.utv,1000,60000,0.136403,10.639468,,0.033121,10.808992,10.78,0.02,8968
input/test_n1000_m70000_f2_no1.utv,1000,70000,0.176275,13.462992,,0.049170,13.688437,13.60,0.08,10264
